#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Key statistics for lung cancer. Key statistics for lung cancer. 2023;None.,Key statistics for lung cancer,Key statistics for lung cancer,2023,,,,,,
2, Cancer. World Health Organization website. Cancer. World Health Organization website. 2023;None.,Cancer. World Health Organization website,Cancer. World Health Organization website,2023,,,,,,
3,"Yuan M, Huang L, Chen J, Wu J, Xu Q. The emerging treatment landscape of targeted therapy in non-small-cell lung cancer. Signal Transduct Target Ther. 2019;4(1):61.",The emerging treatment landscape of targeted therapy in non-small-cell lung cancer,Signal Transduct Target Ther,2019,4,1,61,,,Yuan M; Huang L; Chen J; Wu J; Xu Q
4,"Ofiara LM, Navasakulpong A, Ezer N, Gonzalez AV. The importance of a satisfactory biopsy for the diagnosis of lung cancer in the era of personalized treatment. Curr Oncol. 2012;19(suppl 1).",The importance of a satisfactory biopsy for the diagnosis of lung cancer in the era of personalized treatment,Curr Oncol,2012,19,suppl 1,,,,Ofiara LM; Navasakulpong A; Ezer N; Gonzalez AV
5,"Katsis JM, Rickman OB, Maldonado F, Lentz RJ. Bronchoscopic biopsy of peripheral pulmonary lesions in 2020: a review of existing technologies. J Thorac Dis. 2020;12(6).",Bronchoscopic biopsy of peripheral pulmonary lesions in 2020: a review of existing technologies,J Thorac Dis,2020,12,6,,,,Katsis JM; Rickman OB; Maldonado F; Lentz RJ
6,"Tanner NT, Yarmus L, Chen A. Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: a multicenter, prospective, randomized trial. Chest. 2018;154(5).","Standard bronchoscopy with fluoroscopy vs thin bronchoscopy and radial endobronchial ultrasound for biopsy of pulmonary lesions: a multicenter, prospective, randomized trial",Chest,2018,154,5,,,,Tanner NT; Yarmus L; Chen A
7,"Oki M, Saka H, Ando M. Ultrathin bronchoscopy with multimodal devices for peripheral pulmonary lesions. A randomized trial. Am J Respir Crit Care Med. 2015;192(4).",Ultrathin bronchoscopy with multimodal devices for peripheral pulmonary lesions. A randomized trial,Am J Respir Crit Care Med,2015,192,4,,,,Oki M; Saka H; Ando M
8,"Eberhardt R, Anantham D, Ernst A, Feller-Kopman D, Herth F. Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial. Am J Respir Crit Care Med. 2007;176(1).",Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial,Am J Respir Crit Care Med,2007,176,1,,,,Eberhardt R; Anantham D; Ernst A; Feller-Kopman D; Herth F
9,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142(2).",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,2,,,,Memoli W; Nietert JS; Silvestri PJ; GA
10,"Chen A, Chenna P, Loiselle A, Massoni J, Mayse M, Misselhorn D. Radial probe endobronchial ultrasound for peripheral pulmonary lesions. A 5-year institutional experience. Ann Am Thorac Soc. 2014;11(4).",Radial probe endobronchial ultrasound for peripheral pulmonary lesions. A 5-year institutional experience,Ann Am Thorac Soc,2014,11,4,,,,Chen A; Chenna P; Loiselle A; Massoni J; Mayse M; Misselhorn D
11,"Nadig TR, Thomas N, Nietert PJ. Guided bronchoscopy for the evaluation of pulmonary lesions: an updated metaanalysis. Chest. 2023;163(6).",Guided bronchoscopy for the evaluation of pulmonary lesions: an updated metaanalysis,Chest,2023,163,6,,,,Nadig TR; Thomas N; Nietert PJ
