#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,G. Global strategy for asthma management and prevention: updated. Global strategy for asthma management and prevention: updated. 2015;None.,Global strategy for asthma management and prevention: updated,Global strategy for asthma management and prevention: updated,2015,,,,,,G
2,"Mayse ML, Laviolette M, Rubin AS et al.. Clinical pearls for bronchial thermoplasty. J Bronchol. 2007;14(2).",Clinical pearls for bronchial thermoplasty,J Bronchol,2007,14,2,,,,Mayse ML; Laviolette M; Rubin AS; Lampron N; Simoff M; Duhamel D; Musani A; Yung R; Mehta A
3,"James A, Bai R, Mauad T et al.. Airway smooth muscle thickness in asthma is related to severity but not duration of asthma. Eur Respir J. 2009;34.",Airway smooth muscle thickness in asthma is related to severity but not duration of asthma,Eur Respir J,2009,34,,,,,James A; Bai R; Mauad T; Abramson M; Dohlnikoff M; Mckay K; Maxwell P; Elliot J; Green F
4,"Pretolani M, Dombret MC, Thabut G, Knap D, Hamidi F, Debray MP. Reduction of airway smooth muscle mass by bronchial thermoplasty in patients with severe asthma. Am J Respir Crit Care Med. 2014;190(12).",Reduction of airway smooth muscle mass by bronchial thermoplasty in patients with severe asthma,Am J Respir Crit Care Med,2014,190,12,,,,Pretolani M; Dombret MC; Thabut G; Knap D; Hamidi F; Debray MP
5,"Thomson NC, Rubin AS, Niven RM et al.. Long-term (5 year) safety of bronchial thermoplasty: asthma intervention research (AIR) trial. BMC Pulm Med. 2011;11:8.",Long-term (5 year) safety of bronchial thermoplasty: asthma intervention research (AIR) trial,BMC Pulm Med,2011,11,,8,,,Thomson NC; Rubin AS; Niven RM; Corris P; Siersted H; Olivenstein R; Pavord I; Mccomack D; Laviolette M; Shargill N; Cox G
6,"Wechsler ME, Laviolette M, Rubin AS et al.. Bronchial thermoplasty: long-term safety and effectiveness in patients with severe persistent asthma. J Allergy Clin Immunol. 2013;132(6).",Bronchial thermoplasty: long-term safety and effectiveness in patients with severe persistent asthma,J Allergy Clin Immunol,2013,132,6,,,,Wechsler ME; Laviolette M; Rubin AS; Fiterman J; Lapa E Silva J; Shah P; Fiss E; Olivenstein O; Thomson N; Pavord NR; Simoff I; Hales M; Mcevoy J; Slebos C; Holmes D; Phillips M; Erzurum M; Hanania E; Sumino I; Kraft K; Cox M; Sterman G; Hogarth D; Kline K; Mansur J; Luoie A; Leeds B; Babers W; Austin R; Shargill J; Quiring N; Armstrong J; Castrom B; M
7,"Pavord ID, Thomson NC, Niven RM et al.. Safety of bronchial thermoplasty in patients with severe refractory asthma. Ann Allergy Asthma Immunol. 2013;111(5).",Safety of bronchial thermoplasty in patients with severe refractory asthma,Ann Allergy Asthma Immunol,2013,111,5,,,,Pavord ID; Thomson NC; Niven RM; Corris P; Cox G; Armostrong B; Shargill N; Laviolette M
8,"Chupp G, Laviolette M, Cohn L et al.. Long-term outcomes of bronchial thermoplasty in subjects with severe asthma: a comparison of 3-year follow-up results from two prospective multicenter studies. Eur Respir J. 2017;50:1700017.",Long-term outcomes of bronchial thermoplasty in subjects with severe asthma: a comparison of 3-year follow-up results from two prospective multicenter studies,Eur Respir J,2017,50,,1700017,,,Chupp G; Laviolette M; Cohn L; Mcevoy C; Bansal S; Shifren A; Khatri S; Grubbm ME; Strauven R; Kline J
9,"Langton D, Ing A, Fielding D et al.. Safety and effectiveness of bronchial thermoplasty when FEV1 less than 50%. Chest. 2019;None. doi:10.1016/j.chest.2019.08.2193.",Safety and effectiveness of bronchial thermoplasty when FEV1 less than 50%,Chest,2019,,,,10.1016/j.chest.2019.08.2193,,Langton D; Ing A; Fielding D; Hersch N; Sha J; Plummer V; Thien F
10,"Torrego A, Herth F, Munoz A et al.. Bronchial thermoplasty Global Registry: one year results. Eur Respir J. 1921;52(62).",Bronchial thermoplasty Global Registry: one year results,Eur Respir J,1921,52,62,,,,Torrego A; Herth F; Munoz A; Facciolongo N; Bicknell S; Novali M; Gasparini S; Bonifazi M; Dheda K; Andreo F; Votruba J; Langton D; Fiandes J; Fielding D; Bonta P; Skowasch D; Ing A; Schultz C; Darwiche K; Mcmullen E; Nolan F; NR
11,"Langton D, Wang W, Thien F, Plummer V. The acute effects of bronchial thermoplasty on FEV1. Respir Med. 2018;137.",The acute effects of bronchial thermoplasty on FEV1,Respir Med,2018,137,,,,,Langton D; Wang W; Thien F; Plummer V
12,"Chung FK, Wenzel SE, Brozek JL et al.. International ERS/ATS guidelines on definition, evaluation and treatment of severe asthma. Eur Respir J. 2014;43.","International ERS/ATS guidelines on definition, evaluation and treatment of severe asthma",Eur Respir J,2014,43,,,,,Chung FK; Wenzel SE; Brozek JL; Bush A; Castro M; Sterk P; Adcock I; Bateman E; Bel E; Bleecker E; Boulet LP; Brightling C; Chanez P; Dahlen SE; Djukanovic R; Frey U; Gaga M; Gibson P; Hamid Q; Jajour N; Mauad T; Sorkness R; Teague WG
13,"Juniper EF, Byrne O, Guyatt PM, Ferrie GH, King PJ, DR. Development and validation of a questionnaire to measure asthma control. Eur Respir J. 1999;14.",Development and validation of a questionnaire to measure asthma control,Eur Respir J,1999,14,,,,,Juniper EF; Byrne O; Guyatt PM; Ferrie GH; King PJ; DR
14,"Miller MR, Hankinson J, Brusasco V et al.. ATS/ERS Task Force: standardisation of spirometry. Eur Respir J. 2005;26(2).",ATS/ERS Task Force: standardisation of spirometry,Eur Respir J,2005,26,2,,,,Miller MR; Hankinson J; Brusasco V; Burgos F; Casaburi R; Coates A; Crapo R; Enright P; Van Der Grinten CP; Gustafsson P; Jensen R; Johnson DC; Macintyre N; Mckay R; Navajas D; Pedersen OF; Pellegrino R; Viegi G; Wanger J
15,"Cooper BG, Stocks J, Hall GL et al.. The Global Lung Function Initiative (GLI) Network: bringing the world's respiratory reference values together. Breathe. 2017;13.",The Global Lung Function Initiative (GLI) Network: bringing the world's respiratory reference values together,Breathe,2017,13,,,,,Cooper BG; Stocks J; Hall GL; Culver B; Steenbruggen I; Carter KW; Thompson BR; Graham BL; Miller MR; Ruppel G; Henderson J; Fragoso C; Stanojevic S
16,"Cox G, Thomson NC, Rubin AS, Niven RM, Corris PA, Siersted HC. Asthma control during the year after bronchial thermoplasty. N Engl J Med. 2007;356(13).",Asthma control during the year after bronchial thermoplasty,N Engl J Med,2007,356,13,,,,Cox G; Thomson NC; Rubin AS; Niven RM; Corris PA; Siersted HC
17,"Castro M, Rubin AS, Laviolette M et al.. Effectiveness and safety of bronchial thermoplasty in the treatment of severe asthma: a multicenter, randomized, double-blind, sham-controlled clinical trial. Am J Respir Crit Care Med. 2010;181(2).","Effectiveness and safety of bronchial thermoplasty in the treatment of severe asthma: a multicenter, randomized, double-blind, sham-controlled clinical trial",Am J Respir Crit Care Med,2010,181,2,,,,Castro M; Rubin AS; Laviolette M; Fiterman J; Andrade D; Shah LM; PL
18,"Pavord ID, Cox G, Thomson NC, Rubin AS, Corris PA, Niven RM. Safety and efficacy of bronchial thermoplasty in symptomatic, severe asthma. Am J Respir Crit Care Med. 2007;176(12).","Safety and efficacy of bronchial thermoplasty in symptomatic, severe asthma",Am J Respir Crit Care Med,2007,176,12,,,,Pavord ID; Cox G; Thomson NC; Rubin AS; Corris PA; Niven RM
19,"Tan LD, Yoneda KY, Louie S, Hogarth DK, Castro M. Bronchial thermoplasty: a decade of experience: state of the art. J Allergy Clin Immunol Pract. 2019;7(1).",Bronchial thermoplasty: a decade of experience: state of the art,J Allergy Clin Immunol Pract,2019,7,1,,,,Tan LD; Yoneda KY; Louie S; Hogarth DK; Castro M
