#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Light RW. Pleural effusions. Med Clin North Am. 2011;95.,Pleural effusions,Med Clin North Am,2011,95,,,,,Light RW
2,"Grijalva CG, Zhu Y, Nuorti JP, Griffin MR. Emergence of parapneumonic empyema in the USA. Thorax. 2011;66.",Emergence of parapneumonic empyema in the USA,Thorax,2011,66,,,,,Grijalva CG; Zhu Y; Nuorti JP; Griffin MR
3,"Davies HE, Davies R, Davies C, Bts P, Disease G, Group. Management of pleural infection in adults: British Thoracic Society pleural disease guideline 2010. Thorax. 2010;65.",Management of pleural infection in adults: British Thoracic Society pleural disease guideline 2010,Thorax,2010,65,,,,,Davies HE; Davies R; Davies C; Bts P; Disease G; Group
4,"Søgaard M, Nielsen RB, Nørgaard M, Kornum JB, Schønheyder HC, Thomsen RW. Incidence, length of stay, and prognosis of hospitalized patients with pleural empyema: a 15-year Danish nationwide cohort study. Chest. 2014;145.","Incidence, length of stay, and prognosis of hospitalized patients with pleural empyema: a 15-year Danish nationwide cohort study",Chest,2014,145,,,,,Søgaard M; Nielsen RB; Nørgaard M; Kornum JB; Schønheyder HC; Thomsen RW
5,"Maskell NA, Davies CW, Nunn AJ et al.. First Multicenter Intrapleural Sepsis Trial (MIST1) Group. U.K. controlled trial of intrapleural streptokinase for pleural infection. N Engl J Med. 2005;352.",First Multicenter Intrapleural Sepsis Trial (MIST1) Group. U.K. controlled trial of intrapleural streptokinase for pleural infection,N Engl J Med,2005,352,,,,,Maskell NA; Davies CW; Nunn AJ; Hedley EL; Gleeson FV; Miller R; Gabe R; Rees GL; Peto TE; Woodhead MA
6,"Rahman NM, Maskell NA, West A et al.. Intrapleural use of tissue plasminogen activator and DNase in pleural infection. N Engl J Med. 2011;365.",Intrapleural use of tissue plasminogen activator and DNase in pleural infection,N Engl J Med,2011,365,,,,,Rahman NM; Maskell NA; West A; Teoh R; Arnold A; Mackinlay C; Peckham D; Davies CW; Ali N; Kinnear W
7,"Piccolo F, Pitman N, Bhatnagar R et al.. Intrapleural tissue plasminogen activator and deoxyribonuclease for pleural infection: an effective and safe alternative to surgery. Ann Am Thorac Soc. 2014;11.",Intrapleural tissue plasminogen activator and deoxyribonuclease for pleural infection: an effective and safe alternative to surgery,Ann Am Thorac Soc,2014,11,,,,,Piccolo F; Pitman N; Bhatnagar R; Popowicz N; Smith NA; Brockway B; Nickels R; Burke AJ; Wong CA; Mccartney R
8,Porcel JM. Distinguishing complicated from uncomplicated parapneumonic effusions. Curr Opin Pulm Med. 2015;21.,Distinguishing complicated from uncomplicated parapneumonic effusions,Curr Opin Pulm Med,2015,21,,,,,Porcel JM
9,"Tsai TH, Yang PC. Ultrasound in the diagnosis and management of pleural disease. Curr Opin Pulm Med. 2003;9.",Ultrasound in the diagnosis and management of pleural disease,Curr Opin Pulm Med,2003,9,,,,,Tsai TH; Yang PC
10,"Yang PC, Luh KT, Chang DB, Wu HD, Yu CJ, Kuo SH. Value of sonography in determining the nature of pleural effusion: analysis of 320 cases. AJR Am J Roentgenol. 1992;159.",Value of sonography in determining the nature of pleural effusion: analysis of 320 cases,AJR Am J Roentgenol,1992,159,,,,,Yang PC; Luh KT; Chang DB; Wu HD; Yu CJ; Kuo SH
11,"Énez A, Alonso-Charterina J, S et al.. Evaluation of CT findings for diagnosis of pleural effusions. Eur Radiol. 2000;10.",Evaluation of CT findings for diagnosis of pleural effusions,Eur Radiol,2000,10,,,,,Énez A; Alonso-Charterina J; S; Ánchez-Pay Á S; J; Ández-Latorre F; F; Ánchez G; Lloret-Llorens S; M
