#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Respiration. Respiration. 2020;99. doi:10.1159/000506815.,Respiration,Respiration,2020,99,,,10.1159/000506815,,
2,"Murgu SD, Egressy K, Laxmanan B, Doblare G, Ortiz-Comino R, Hogarth DK. Central airway obstruction: benign strictures, tracheobronchomalacia, and malignancy-related obstruction. Chest. 2016;150(2).","Central airway obstruction: benign strictures, tracheobronchomalacia, and malignancy-related obstruction",Chest,2016,150,2,,,,Murgu SD; Egressy K; Laxmanan B; Doblare G; Ortiz-Comino R; Hogarth DK
3,"Mahmood K, Wahidi MM, Thomas S, Argento AC, Ninan NA, Smathers EC. Therapeutic bronchoscopy improves spirometry, quality of life, and survival in central airway obstruction. Respiration. 2015;89(5).","Therapeutic bronchoscopy improves spirometry, quality of life, and survival in central airway obstruction",Respiration,2015,89,5,,,,Mahmood K; Wahidi MM; Thomas S; Argento AC; Ninan NA; Smathers EC
4,"Ost DE, Ernst A, Grosu HB, Lei X, Diaz-Mendoza J, Slade M. AQuIRE Bronchoscopy Registry. Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life. Chest. 2015;147(5).",AQuIRE Bronchoscopy Registry. Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life,Chest,2015,147,5,,,,Ost DE; Ernst A; Grosu HB; Lei X; Diaz-Mendoza J; Slade M
5,"Ost DE, Ernst A, Grosu HB, Lei X, Diaz-Mendoza J, Slade M. AQuIRE Bronchoscopy Registry. Complications following therapeutic bronchoscopy for malignant central airway obstruction: results of the AQuIRE registry. Chest. 2015;148(2).",AQuIRE Bronchoscopy Registry. Complications following therapeutic bronchoscopy for malignant central airway obstruction: results of the AQuIRE registry,Chest,2015,148,2,,,,Ost DE; Ernst A; Grosu HB; Lei X; Diaz-Mendoza J; Slade M
6,"Avasarala SK, Freitag L, Mehta AC. Metallic endobronchial stents: a contemporary resurrection. Chest. 2019;155(6).",Metallic endobronchial stents: a contemporary resurrection,Chest,2019,155,6,,,,Avasarala SK; Freitag L; Mehta AC
7, Summary BONASTENT ® Tracheal/Bronchial. Summary BONASTENT ® Tracheal/Bronchial. 2014;None:510.,Summary BONASTENT ® Tracheal/Bronchial,Summary BONASTENT ® Tracheal/Bronchial,2014,,,510,,,
8,"Avasarala SK, Sethi S, Machuzak M, Almeida FA, Gildea TR. A single-center case series describing tracheobronchial Bonastent implantation. J Bronchology Interv Pulmonol. 2019;26(4).",A single-center case series describing tracheobronchial Bonastent implantation,J Bronchology Interv Pulmonol,2019,26,4,,,,Avasarala SK; Sethi S; Machuzak M; Almeida FA; Gildea TR
9,"Makkar P, Revelo A, Lee R, Chawla M. A single center experience of feasibility of a novel self-expanding metallic airway stent (Bonastent): a case series. J Bronchology Interv Pulmonol. 2019;26(4).",A single center experience of feasibility of a novel self-expanding metallic airway stent (Bonastent): a case series,J Bronchology Interv Pulmonol,2019,26,4,,,,Makkar P; Revelo A; Lee R; Chawla M
10,"Chung FT, Chen HC, Chou CL, Yu CT, Kuo CH, Kuo HP. An outcome analysis of self-expandable metallic stents in central airway obstruction: a cohort study. J Cardiothorac Surg. 2011;6(1):46.",An outcome analysis of self-expandable metallic stents in central airway obstruction: a cohort study,J Cardiothorac Surg,2011,6,1,46,,,Chung FT; Chen HC; Chou CL; Yu CT; Kuo CH; Kuo HP
11,"Ost DE, Shah AM, Lei X, Godoy MC, Jimenez CA, Eapen GA. Respiratory infections increase the risk of granulation tissue formation following airway stenting in patients with malignant airway obstruction. Chest. 2012;141(6).",Respiratory infections increase the risk of granulation tissue formation following airway stenting in patients with malignant airway obstruction,Chest,2012,141,6,,,,Ost DE; Shah AM; Lei X; Godoy MC; Jimenez CA; Eapen GA
12,"Saad CP, Murthy S, Krizmanich G, Mehta AC. Self-expandable metallic airway stents and flexible bronchoscopy: long-term outcomes analysis. Chest. 2003;124(5).",Self-expandable metallic airway stents and flexible bronchoscopy: long-term outcomes analysis,Chest,2003,124,5,,,,Saad CP; Murthy S; Krizmanich G; Mehta AC
13,"Shin JH, Kim SW, Shim TS, Jung GS, Kim TH, Ko GY. Malignant tracheobronchial strictures: palliation with covered retrievable expandable nitinol stent. J Vasc Interv Radiol. 2003;14(12).",Malignant tracheobronchial strictures: palliation with covered retrievable expandable nitinol stent,J Vasc Interv Radiol,2003,14,12,,,,Shin JH; Kim SW; Shim TS; Jung GS; Kim TH; Ko GY
14,"Kim JH, Shin JH, Song HY, Lee SC, Kim KR, Park JH. Use of a retrievable metallic stent internally coated with silicone to treat airway obstruction. J Vasc Interv Radiol. 2008;19(8).",Use of a retrievable metallic stent internally coated with silicone to treat airway obstruction,J Vasc Interv Radiol,2008,19,8,,,,Kim JH; Shin JH; Song HY; Lee SC; Kim KR; Park JH
15,"Breitenbücher A, Chhajed PN, Brutsche MH, Mordasini C, Schilter D, Tamm M. Longterm follow-up and survival after Ultraflex stent insertion in the management of complex malignant airway stenoses. Respiration. 2008;75(4).",Longterm follow-up and survival after Ultraflex stent insertion in the management of complex malignant airway stenoses,Respiration,2008,75,4,,,,Breitenbücher A; Chhajed PN; Brutsche MH; Mordasini C; Schilter D; Tamm M
16,"Marchese R, Poidomani G, Paglino G et al.. Fully covered selfexpandable metal stent in tracheobronchial disorders: clinical experience. Respiration. 2015;89(1).",Fully covered selfexpandable metal stent in tracheobronchial disorders: clinical experience,Respiration,2015,89,1,,,,Marchese R; Poidomani G; Paglino G; Crimi C; Nigro L; Argano C; V
17,"Pejhan S, Javaherzadeh M, Daneshvar A, Farzanegan R. A safe method of tracheal Polyflex stent placement: a review of 20 patients. Iran Red Crescent Med J. 2015;17(8):e13798.",A safe method of tracheal Polyflex stent placement: a review of 20 patients,Iran Red Crescent Med J,2015,17,8,e13798,,,Pejhan S; Javaherzadeh M; Daneshvar A; Farzanegan R
18,"Monnier P, Mudry A, Stanzel F, Haeussinger K, Heitz M, Probst R. The use of the covered Wallstent for the palliative treatment of inoperable tracheobronchial cancers. A prospective, multicenter study. Chest. 1996;110(5).","The use of the covered Wallstent for the palliative treatment of inoperable tracheobronchial cancers. A prospective, multicenter study",Chest,1996,110,5,,,,Monnier P; Mudry A; Stanzel F; Haeussinger K; Heitz M; Probst R
19,"Lee HJ, Labaki W, Yu DH, Salwen B, Gilbert C, Schneider AL. Airway stent complications: the role of follow-up bronchoscopy as a surveillance method. J Thorac Dis. 2017;9(11).",Airway stent complications: the role of follow-up bronchoscopy as a surveillance method,J Thorac Dis,2017,9,11,,,,Lee HJ; Labaki W; Yu DH; Salwen B; Gilbert C; Schneider AL
