#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Sahn SA, Heffner JE. Pleural fluid analysis. Textbook of pleural diseases. 2008;None.",Pleural fluid analysis,Textbook of pleural diseases,2008,,,,,,Sahn SA; Heffner JE
2,"Yap E, Anderson G, Donald J. Pleural effusion in patients with pulmonary embolism. Respirology. 2008;13(3).",Pleural effusion in patients with pulmonary embolism,Respirology,2008,13,3,,,,Yap E; Anderson G; Donald J
3,"Porcel JM, Madronero AB, Pardina M. Analysis of pleural effusions in acute pulmonary embolism: radiological and pleural fluid data from 230 patients. Respirology. 2007;12(3).",Analysis of pleural effusions in acute pulmonary embolism: radiological and pleural fluid data from 230 patients,Respirology,2007,12,3,,,,Porcel JM; Madronero AB; Pardina M
4,"Blackmore CC, Black WC, Dallas RV. Pleural fluid volume estimation: a chest radiograph prediction rule. Acad Radiol. 1996;3(2+).",Pleural fluid volume estimation: a chest radiograph prediction rule,Acad Radiol,1996,3,2+,,,,Blackmore CC; Black WC; Dallas RV
5,"Ruskin JA, Gurney JW, Thorsen MK. Detection of pleural effusions on supine chest radiographs. AJR Am J Roentgenol. 1987;148(2+).",Detection of pleural effusions on supine chest radiographs,AJR Am J Roentgenol,1987,148,2+,,,,Ruskin JA; Gurney JW; Thorsen MK
6,"Armstrong P, Wilson AG, Dee P. Imaging of diseases of the chest. Imaging of diseases of the chest. 2001;None.",Imaging of diseases of the chest,Imaging of diseases of the chest,2001,,,,,,Armstrong P; Wilson AG; Dee P
7,"Hirsch JH, Rogers JV, Mack LA. Real-time sonography of pleural opacities. AJR Am J Roentgenol. 1981;136(2).",Real-time sonography of pleural opacities,AJR Am J Roentgenol,1981,136,2,,,,Hirsch JH; Rogers JV; Mack LA
8,"Kohan JM, Poe RH, Israel RH. Value of chest ultrasonography versus decubitus roentgenology for thoracentesis. Am Rev Respir Dis. 1986;133(2+).",Value of chest ultrasonography versus decubitus roentgenology for thoracentesis,Am Rev Respir Dis,1986,133,2+,,,,Kohan JM; Poe RH; Israel RH
9,"O'moore PV, Mueller PR, Simeone JF. Sonographic guidance in diagnostic and therapeutic interventions in the pleural space. AJR Am J Roentgenol. 1987;149(3).",Sonographic guidance in diagnostic and therapeutic interventions in the pleural space,AJR Am J Roentgenol,1987,149,3,,,,O'moore PV; Mueller PR; Simeone JF
10,"Barnes TW, Morgenthaler TI, Olson EJ. Sonographically guided thoracentesis and rate of pneumothorax. J Clin Ultrasound. 2005;33(3).",Sonographically guided thoracentesis and rate of pneumothorax,J Clin Ultrasound,2005,33,3,,,,Barnes TW; Morgenthaler TI; Olson EJ
11,"Grogan DR, Irwin RS, Channick R. Complications associated with thoracentesis. A prospective randomized study comparing three different methods. Arch Intern Med. 1990;150(1+).",Complications associated with thoracentesis. A prospective randomized study comparing three different methods,Arch Intern Med,1990,150,1+,,,,Grogan DR; Irwin RS; Channick R
12,"Raptopoulos V, Davis LM, Lee G. Factors affecting the development of pneumothorax associated with thoracentesis. AJR Am J Roentgenol. 1990;156(3).",Factors affecting the development of pneumothorax associated with thoracentesis,AJR Am J Roentgenol,1990,156,3,,,,Raptopoulos V; Davis LM; Lee G
13,"Lipscomb DJ, Flower C, Hadfield JW. Ultrsound of the pleura: an assessment of its clinical value. Clin Radiol. 1981;32(2+).",Ultrsound of the pleura: an assessment of its clinical value,Clin Radiol,1981,32,2+,,,,Lipscomb DJ; Flower C; Hadfield JW
14,"Wu RG, Yuan A, Liaw YS. Image comparison of real-time gray-scale ultrasound and colour Doppler ultrasound for use in diagnosis of minimal pleural effusion. Am J Respir Crit Care Med. 1994;150(2+).",Image comparison of real-time gray-scale ultrasound and colour Doppler ultrasound for use in diagnosis of minimal pleural effusion,Am J Respir Crit Care Med,1994,150,2+,,,,Wu RG; Yuan A; Liaw YS
15,"Roch A, Bojan M, Michelet P. Usefulness of ultrasonography in predicting pleural effusions >500 ml in patients receiving mechanical ventilation. Chest. 2005;127(2+).",Usefulness of ultrasonography in predicting pleural effusions >500 ml in patients receiving mechanical ventilation,Chest,2005,127,2+,,,,Roch A; Bojan M; Michelet P
16,"Eibenberger KL, Dock WI, Ammann ME. Quantification of pleural effusions: sonography versus radiography. Radiology. 1994;191.",Quantification of pleural effusions: sonography versus radiography,Radiology,1994,191,,,,,Eibenberger KL; Dock WI; Ammann ME
17,"Kearney SE, Davies C, Davies R. Computed tomography and ultrasound in parapneumonic effusions and empyema. Clin Radiol. 2000;55(3).",Computed tomography and ultrasound in parapneumonic effusions and empyema,Clin Radiol,2000,55,3,,,,Kearney SE; Davies C; Davies R
18,"Go ¨rg CH, Restrepo I, Schwerk WB. Sonography of malignant pleural effusion. Eur Radiol. 1997;7(3).",Sonography of malignant pleural effusion,Eur Radiol,1997,7,3,,,,Go ¨rg CH; Restrepo I; Schwerk WB
19,"Yang PC, Luh KT, Chang D. Value of sonography in determining the nature of pleural effusion: analysis of 320 cases. AJR Am J Roentgenol. 1992;159.",Value of sonography in determining the nature of pleural effusion: analysis of 320 cases,AJR Am J Roentgenol,1992,159,,,,,Yang PC; Luh KT; Chang D
20,"Qureshi NR, Rahman NM, Gleeson FV. Thoracic ultrasound in the diagnosis of malignant pleural effusion. Thorax. 2009;64.",Thoracic ultrasound in the diagnosis of malignant pleural effusion,Thorax,2009,64,,,,,Qureshi NR; Rahman NM; Gleeson FV
21,"Diacon AH, Brutsche MH, Soler M. Accuracy of pleural puncture sites. A prospective comparison of clinical examination with ultrasound. Chest. 2003;123(2+).",Accuracy of pleural puncture sites. A prospective comparison of clinical examination with ultrasound,Chest,2003,123,2+,,,,Diacon AH; Brutsche MH; Soler M
22,"Ferrer A, Osset J, Alegre J. Prospective clinical and microbiological study of pleural effusions. Eur J Clin Microbiol Infect Dis. 1999;18(2+).",Prospective clinical and microbiological study of pleural effusions,Eur J Clin Microbiol Infect Dis,1999,18,2+,,,,Ferrer A; Osset J; Alegre J
23,"Abouzgheib W, Bartter T, Dagher H. A prospective study of the volume of pleural fluid required for accurate diagnosis of malignant pleural effusion. Chest. 2009;135.",A prospective study of the volume of pleural fluid required for accurate diagnosis of malignant pleural effusion,Chest,2009,135,,,,,Abouzgheib W; Bartter T; Dagher H
24,"Swiderek J, Donthireddy MS, V. Prospective study to determine the volume of pleural fluid required to diagnose malignancy. Chest. 2010;137.",Prospective study to determine the volume of pleural fluid required to diagnose malignancy,Chest,2010,137,,,,,Swiderek J; Donthireddy MS; V
25,"Manosca F, Schinstine M, Fetsch PA. Diagnostic effects of prolonged storage on fresh effusion samples. Diagn Cytopathol. 2007;35(2+).",Diagnostic effects of prolonged storage on fresh effusion samples,Diagn Cytopathol,2007,35,2+,,,,Manosca F; Schinstine M; Fetsch PA
26,Sahn S. Pleural fluid analysis: narrowing the differential diagnosis. Semin Respir Med. 1987;9(4).,Pleural fluid analysis: narrowing the differential diagnosis,Semin Respir Med,1987,9,4,,,,Sahn S
27,"Villena V, Lopez-Encuentra A, Garcia-Lujan R. Clinical implications of appearance of pleural fluid at thoracentesis. Chest. 2004;125(3).",Clinical implications of appearance of pleural fluid at thoracentesis,Chest,2004,125,3,,,,Villena V; Lopez-Encuentra A; Garcia-Lujan R
28,"Light RW, Erozan YS, Ball W. Cells in pleural fluid. Their value in differential diagnosis. Arch Intern Med. 1973;132(3).",Cells in pleural fluid. Their value in differential diagnosis,Arch Intern Med,1973,132,3,,,,Light RW; Erozan YS; Ball W
29,"Ali HA, Lippmann M, Mundathaje U. Spontaneous hemothorax. Chest. 2008;134(4).",Spontaneous hemothorax,Chest,2008,134,4,,,,Ali HA; Lippmann M; Mundathaje U
30,"Light RW, Macgreggor I, Luchsinger PC. Pleural effusions: the diagnostic separation of transudates and exudates. Ann Intern Med. 1972;77.",Pleural effusions: the diagnostic separation of transudates and exudates,Ann Intern Med,1972,77,,,,,Light RW; Macgreggor I; Luchsinger PC
31,"Heffner JE, Brown LK, Barbieri CA. Diagnostic value of tests that discriminate between exudative and transudative pleural effusions. Chest. 1997;111(1+).",Diagnostic value of tests that discriminate between exudative and transudative pleural effusions,Chest,1997,111,1+,,,,Heffner JE; Brown LK; Barbieri CA
32,"Romero-Candiera S, Romero-Brufao S, Fernandez C. Is it meaningful to use biochemical parameters to discriminate between transudative and exudative pleural effusions?. Chest. 2002;122.",Is it meaningful to use biochemical parameters to discriminate between transudative and exudative pleural effusions?,Chest,2002,122,,,,,Romero-Candiera S; Romero-Brufao S; Fernandez C
33,"Romero-Candiera S, Fernandez C, Martin C. Influence of diuretics on the concentration of proteins and other components of pleural transudates in patients with heart failure. Am J Med. 2001;110(3).",Influence of diuretics on the concentration of proteins and other components of pleural transudates in patients with heart failure,Am J Med,2001,110,3,,,,Romero-Candiera S; Fernandez C; Martin C
34,"Gotsman I, Fridlender Z, Meirovitz A. The evaluation of pleural effusions in patients with heart failure. Am J Med. 2001;111(3).",The evaluation of pleural effusions in patients with heart failure,Am J Med,2001,111,3,,,,Gotsman I; Fridlender Z; Meirovitz A
35,"Porcel JM, Pena JM, De Vera V, C. Bayesian analysis using continuous likelihood ratios for identifying pleural exudates. Respir Med. 2006;100(2L).",Bayesian analysis using continuous likelihood ratios for identifying pleural exudates,Respir Med,2006,100,2L,,,,Porcel JM; Pena JM; De Vera V; C
36,"Liao H, Na MJ, Dikensoy O. Diagnostic value of pleural fluid N-terminal pro-brain natriuretic peptide levels in patients with cardiovascular diseases. Respirology. 2008;13(2L).",Diagnostic value of pleural fluid N-terminal pro-brain natriuretic peptide levels in patients with cardiovascular diseases,Respirology,2008,13,2L,,,,Liao H; Na MJ; Dikensoy O
37,"Kolditz M, Halank M, Schiemanck CS. High diagnostic accuracy of NT-proBNP for cardiac origin of pleural effusions. Eur Respir J. 2006;28.",High diagnostic accuracy of NT-proBNP for cardiac origin of pleural effusions,Eur Respir J,2006,28,,,,,Kolditz M; Halank M; Schiemanck CS
38,"Porcel JM, Chorda J, Cao G. Comparing serum and pleural fluid pro-brain natriuretic peptide (NT-proBNP) levels with pleural-to-serum albumin gradient for the identification of cardiac effusions misclassified by Light's criteria. Respirology. 2007;12.",Comparing serum and pleural fluid pro-brain natriuretic peptide (NT-proBNP) levels with pleural-to-serum albumin gradient for the identification of cardiac effusions misclassified by Light's criteria,Respirology,2007,12,,,,,Porcel JM; Chorda J; Cao G
39,"Gegenhuber A, Mueller T, Dieplinger B. Plasma B-type Natriuretic peptide in patients with pleural effusions. Chest. 2005;128.",Plasma B-type Natriuretic peptide in patients with pleural effusions,Chest,2005,128,,,,,Gegenhuber A; Mueller T; Dieplinger B
