#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Armstrong C. Lung Cancer Screening Recommendations from the ACCP. Am. Fam. Physician. 2018;98(11).,Lung Cancer Screening Recommendations from the ACCP,Am. Fam. Physician,2018,98,11,,,,Armstrong C
2,"Callister ME, Baldwin DR, Akram AR. British Thoracic Society guidelines for the investigation and management of pulmonary nodules. Thorax. 2015;70(Suppl 2). doi:10.1136/thoraxjnl-2015-207168.",British Thoracic Society guidelines for the investigation and management of pulmonary nodules,Thorax,2015,70,Suppl 2,,10.1136/thoraxjnl-2015-207168,,Callister ME; Baldwin DR; Akram AR
3,"Tanner NT, Yarmus L, Chen A et al.. Standard Bronchoscopy With Fluoroscopy vs Thin Bronchoscopy and Radial Endobronchial Ultrasound for Biopsy of Pulmonary Lesions: A Multicenter, Prospective, Randomized Trial. Chest. 2018;154(5).","Standard Bronchoscopy With Fluoroscopy vs Thin Bronchoscopy and Radial Endobronchial Ultrasound for Biopsy of Pulmonary Lesions: A Multicenter, Prospective, Randomized Trial",Chest,2018,154,5,,,,Tanner NT; Yarmus L; Chen A; Memoli JW; Mehta HJ; Pastis NJ; Lee H; Jantz MA; Nietert PJ; Silvestri GA
4,"Wang Memoli JS, Nietert PJ, Silvestri GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142(2). doi:10.1378/chest.11-1764.",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,2,,10.1378/chest.11-1764,,Wang Memoli JS; Nietert PJ; Silvestri GA
5,"Verhoeven RL, Futterer JJ, Hoefsloot W. Cone-Beam CT Image Guidance With and Without Electromagnetic Navigation Bronchoscopy for Biopsy of Peripheral Pulmonary Lesions. J. Bronchology Interv. Pulmonol. 2021;28(1). doi:10.1097/LBR.0000000000000697.",Cone-Beam CT Image Guidance With and Without Electromagnetic Navigation Bronchoscopy for Biopsy of Peripheral Pulmonary Lesions,J. Bronchology Interv. Pulmonol,2021,28,1,,10.1097/LBR.0000000000000697,,Verhoeven RL; Futterer JJ; Hoefsloot W
6,Pritchett MA. Prospective Analysis of a Novel Endobronchial Augmented Fluoroscopic Navigation System for Diagnosis of Peripheral Pulmonary Lesions. J. Bronchol. Interv. Pulmonol. 2021;28(2). doi:10.1097/LBR.0000000000000700.,Prospective Analysis of a Novel Endobronchial Augmented Fluoroscopic Navigation System for Diagnosis of Peripheral Pulmonary Lesions,J. Bronchol. Interv. Pulmonol,2021,28,2,,10.1097/LBR.0000000000000700,,Pritchett MA
7,"Fielding D, Oki M. Technologies for targeting the peripheral pulmonary nodule including robotics. Respirology. 2020;25(9). doi:10.1111/resp.13791.",Technologies for targeting the peripheral pulmonary nodule including robotics,Respirology,2020,25,9,,10.1111/resp.13791,,Fielding D; Oki M
8,"Vachani A, Maldonado F, Laxmanan B, Kalsekar I, Murgu S. The Impact of Alternative Approaches to Diagnostic Yield Calculation in Studies of Bronchoscopy. Chest. 2022;161(5).",The Impact of Alternative Approaches to Diagnostic Yield Calculation in Studies of Bronchoscopy,Chest,2022,161,5,,,,Vachani A; Maldonado F; Laxmanan B; Kalsekar I; Murgu S
9,"Folch EE, Labarca G, Ospina-Delgado D et al.. Sensitivity and Safety of Electromagnetic Navigation Bronchoscopy for Lung Cancer Diagnosis: Systematic Review and Meta-analysis. Chest. 2020;158(4).",Sensitivity and Safety of Electromagnetic Navigation Bronchoscopy for Lung Cancer Diagnosis: Systematic Review and Meta-analysis,Chest,2020,158,4,,,,Folch EE; Labarca G; Ospina-Delgado D; Kheir F; Majid A; Khandhar SJ; Mehta HJ; Jantz MA; Fernandez-Bussy S
10,"Han Y, Kim HJ, Kong KA et al.. Diagnosis of small pulmonary lesions by transbronchial lung biopsy with radial endobronchial ultrasound and virtual bronchoscopic navigation versus CT-guided transthoracic needle biopsy: A systematic review and meta-analysis. PLoS One. 2018;13(1):191590.",Diagnosis of small pulmonary lesions by transbronchial lung biopsy with radial endobronchial ultrasound and virtual bronchoscopic navigation versus CT-guided transthoracic needle biopsy: A systematic review and meta-analysis,PLoS One,2018,13,1,191590,,,Han Y; Kim HJ; Kong KA; Kim SJ; Lee SH; Ryu YJ; Lee JH; Kim Y; Shim SS; Chang JH; Agarwal R
11,"Qian K, Krimsky WS, Sarkar SA, Deng YI. Efficiency of Electromagnetic Navigation Bronchoscopy and Virtual Bronchoscopic Navigation. Ann. Thorac. Surg. 2020;109(6).",Efficiency of Electromagnetic Navigation Bronchoscopy and Virtual Bronchoscopic Navigation,Ann. Thorac. Surg,2020,109,6,,,,Qian K; Krimsky WS; Sarkar SA; Deng YI
