#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Rosen SH, Castleman B, Liebow AA. Pulmonary alveolar proteinosis. N Engl J Med. 1958;258.",Pulmonary alveolar proteinosis,N Engl J Med,1958,258,,,,,Rosen SH; Castleman B; Liebow AA
2,"Trapnell BC, Whitsett JA, Nakata K. Pulmonary alveolar proteinosis. N Engl J Med. 2003;349.",Pulmonary alveolar proteinosis,N Engl J Med,2003,349,,,,,Trapnell BC; Whitsett JA; Nakata K
3,"Kitamura T, Tanaka N, Watanabe J. Idiopathic pulmonary alveolar proteinosis as an autoimmune disease with neutralizing antibody against granulocyte/ macrophage colony-stimulating factor. J Exp Med. 1999;190.",Idiopathic pulmonary alveolar proteinosis as an autoimmune disease with neutralizing antibody against granulocyte/ macrophage colony-stimulating factor,J Exp Med,1999,190,,,,,Kitamura T; Tanaka N; Watanabe J
4,"Uchida K, Nakata K, Trapnell BC. High-affinity autoantibodies specifically eliminate granulocyte-macrophage colonystimulating factor activity in the lungs of patients with idiopathic pulmonary alveolar proteinosis. Blood. 2004;103.",High-affinity autoantibodies specifically eliminate granulocyte-macrophage colonystimulating factor activity in the lungs of patients with idiopathic pulmonary alveolar proteinosis,Blood,2004,103,,,,,Uchida K; Nakata K; Trapnell BC
5,"Dranoff G, Crawford AD, Sadelain M. Involvement of granulocyte-macrophage colony-stimulating factor in pulmonary homeostasis. Science. 1994;264.",Involvement of granulocyte-macrophage colony-stimulating factor in pulmonary homeostasis,Science,1994,264,,,,,Dranoff G; Crawford AD; Sadelain M
6,"Stanley E, Lieschke GJ, Grail D. Granulocyte/macrophage colony-stimulating factor-deficient mice show no major perturbation of hematopoiesis but develop a characteristic pulmonary pathology. Proc Natl Acad Sci U S A. 1994;91.",Granulocyte/macrophage colony-stimulating factor-deficient mice show no major perturbation of hematopoiesis but develop a characteristic pulmonary pathology,Proc Natl Acad Sci U S A,1994,91,,,,,Stanley E; Lieschke GJ; Grail D
7,"Ikegami M, Ueda T, Hull W. Surfactant metabolism in transgenic mice after granulocyte macrophage-colony stimulating factor ablation. Am J Physiol. 1996;270.",Surfactant metabolism in transgenic mice after granulocyte macrophage-colony stimulating factor ablation,Am J Physiol,1996,270,,,,,Ikegami M; Ueda T; Hull W
8,"Suzuki T, Sakagami T, Rubin BK. Familial pulmonary alveolar proteinosis caused by mutations in CSF2RA. J Exp Med. 2008;205.",Familial pulmonary alveolar proteinosis caused by mutations in CSF2RA,J Exp Med,2008,205,,,,,Suzuki T; Sakagami T; Rubin BK
9,"Sakagami T, Uchida K, Suzuki T. Human GM-CSF autoantibodies and reproduction of pulmonary alveolar proteinosis. N Engl J Med. 2009;361.",Human GM-CSF autoantibodies and reproduction of pulmonary alveolar proteinosis,N Engl J Med,2009,361,,,,,Sakagami T; Uchida K; Suzuki T
10,"Inoue Y, Trapnell BC, Tazawa R. Characteristics of a large cohort of autoimmune pulmonary alveolar proteinosis patients in Japan. Am J Respir Crit Care Med. 2008;177.",Characteristics of a large cohort of autoimmune pulmonary alveolar proteinosis patients in Japan,Am J Respir Crit Care Med,2008,177,,,,,Inoue Y; Trapnell BC; Tazawa R
11,"Wasserman K, Blank N, Fletcher G. Lung lavage (alveolar washing) in alveolar proteinosis. Am J Med. 1968;44.",Lung lavage (alveolar washing) in alveolar proteinosis,Am J Med,1968,44,,,,,Wasserman K; Blank N; Fletcher G
12,"Beccaria M, Luisetti M, Rodi G. Long-term durable benefit after whole lung lavage in pulmonary alveolar proteinosis. Eur Respir J. 2004;23.",Long-term durable benefit after whole lung lavage in pulmonary alveolar proteinosis,Eur Respir J,2004,23,,,,,Beccaria M; Luisetti M; Rodi G
13,"Seymour JF, Presneill JJ. Pulmonary alveolar proteinosis: progress in the first 44 years. Am J Respir Crit Care Med. 2002;166.",Pulmonary alveolar proteinosis: progress in the first 44 years,Am J Respir Crit Care Med,2002,166,,,,,Seymour JF; Presneill JJ
14,"Seymour JF, Dunn AR, Vincent JM, Presneill JJ, Pain MC. Efficacy of granulocyte-macrophage colony-stimulating factor in acquired alveolar proteinosis. N Engl J Med. 1996;335.",Efficacy of granulocyte-macrophage colony-stimulating factor in acquired alveolar proteinosis,N Engl J Med,1996,335,,,,,Seymour JF; Dunn AR; Vincent JM; Presneill JJ; Pain MC
15,"Seymour JF, Presneill JJ, Schoch OD. Therapeutic efficacy of granulocytemacrophage colony-stimulating factor in patients with idiopathic acquired alveolar proteinosis. Am J Respir Crit Care Med. 2001;163.",Therapeutic efficacy of granulocytemacrophage colony-stimulating factor in patients with idiopathic acquired alveolar proteinosis,Am J Respir Crit Care Med,2001,163,,,,,Seymour JF; Presneill JJ; Schoch OD
16,"Venkateshiah SB, Yan TD, Bonfield TL. An open-label trial of granulocyte macrophage colony stimulating factor therapy for moderate symptomatic pulmonary alveolar proteinosis. Chest. 2006;130.",An open-label trial of granulocyte macrophage colony stimulating factor therapy for moderate symptomatic pulmonary alveolar proteinosis,Chest,2006,130,,,,,Venkateshiah SB; Yan TD; Bonfield TL
17,"Reed JA, Ikegami M, Cianciolo ER. Aerosolized GM-CSF ameliorates pulmonary alveolar proteinosis in GM-CSF-deficient mice. Am J Physiol. 1999;276.",Aerosolized GM-CSF ameliorates pulmonary alveolar proteinosis in GM-CSF-deficient mice,Am J Physiol,1999,276,,,,,Reed JA; Ikegami M; Cianciolo ER
18,"Wylam ME, Ten RM, Katzmann JA, Clawson M, Prakash U, Anderson PM. Aerosolized GM-CSF improves pulmonary function in idiopathic pulmonary alveolar proteinosis. Am J Respir Crit Care Med. 2000;161:A889.",Aerosolized GM-CSF improves pulmonary function in idiopathic pulmonary alveolar proteinosis,Am J Respir Crit Care Med,2000,161,,A889,,,Wylam ME; Ten RM; Katzmann JA; Clawson M; Prakash U; Anderson PM
19,"Tazawa R, Hamano E, Arai T. Granulocyte-macrophage colony-stimulating factor and lung immunity in pulmonary alveolar proteinosis. Am J Respir Crit Care Med. 2005;171.",Granulocyte-macrophage colony-stimulating factor and lung immunity in pulmonary alveolar proteinosis,Am J Respir Crit Care Med,2005,171,,,,,Tazawa R; Hamano E; Arai T
20,"Wylam ME, Ten R, Prakash UB, Nadrous HF, Clawson ML, Anderson PM. Aerosol granulocyte-macrophage colony-stimulating factor for pulmonary alveolar proteinosis. Eur Respir J. 2006;27.",Aerosol granulocyte-macrophage colony-stimulating factor for pulmonary alveolar proteinosis,Eur Respir J,2006,27,,,,,Wylam ME; Ten R; Prakash UB; Nadrous HF; Clawson ML; Anderson PM
21,"Tazawa R, Trapnell BC, Inoue Y. Inhaled granulocyte/macrophage-colony stimulating factor as therapy for pulmonary alveolar proteinosis. Am J Respir Crit Care Med. 2010;181.",Inhaled granulocyte/macrophage-colony stimulating factor as therapy for pulmonary alveolar proteinosis,Am J Respir Crit Care Med,2010,181,,,,,Tazawa R; Trapnell BC; Inoue Y
22,"Uchida K, Nakata K, Carey B. Standardized serum GM-CSF autoantibody testing for the routine clinical diagnosis of autoimmune pulmonary alveolar proteinosis. J Immunol Methods. 2014;402.",Standardized serum GM-CSF autoantibody testing for the routine clinical diagnosis of autoimmune pulmonary alveolar proteinosis,J Immunol Methods,2014,402,,,,,Uchida K; Nakata K; Carey B
23,"Coates AL, Dinh L, Macneish CF. Accounting for radioactivity before and after nebulization of tobramycin to insure accuracy of quantification of lung deposition. J Aerosol Med. 2000;13.",Accounting for radioactivity before and after nebulization of tobramycin to insure accuracy of quantification of lung deposition,J Aerosol Med,2000,13,,,,,Coates AL; Dinh L; Macneish CF
24, Common Terminology Criteria for Adverse Events. Common Terminology Criteria for Adverse Events. None;3.,Common Terminology Criteria for Adverse Events,Common Terminology Criteria for Adverse Events,,3,,,,,
25,"Robinson TE, Trapnell BC, Goris ML, Quittell LM, Cornfield DN. Quantitative analysis of longitudinal response to aerosolized granulocyte-macrophage colonystimulating factor in two adolescents with autoimmune pulmonary alveolar proteinosis. Chest. 2009;135.",Quantitative analysis of longitudinal response to aerosolized granulocyte-macrophage colonystimulating factor in two adolescents with autoimmune pulmonary alveolar proteinosis,Chest,2009,135,,,,,Robinson TE; Trapnell BC; Goris ML; Quittell LM; Cornfield DN
26,"Ragnhammar P, Friesen HJ, Frödin JE. Induction of anti-recombinant human granulocyte-macrophage colonystimulating factor (Escherichia coli-derived) antibodies and clinical effects in nonimmunocompromised patients. Blood. 1994;84.",Induction of anti-recombinant human granulocyte-macrophage colonystimulating factor (Escherichia coli-derived) antibodies and clinical effects in nonimmunocompromised patients,Blood,1994,84,,,,,Ragnhammar P; Friesen HJ; Frödin JE
27,"Wadhwa M, Bird C, Fagerberg J. Production of neutralizing granulocytemacrophage colony-stimulating factor (GM-CSF) antibodies in carcinoma patients following GM-CSF combination therapy. Clin Exp Immunol. 1996;104.",Production of neutralizing granulocytemacrophage colony-stimulating factor (GM-CSF) antibodies in carcinoma patients following GM-CSF combination therapy,Clin Exp Immunol,1996,104,,,,,Wadhwa M; Bird C; Fagerberg J
28,"Gribben JG, Devereux S, Thomas NS. Development of antibodies to unprotected glycosylation sites on recombinant human GM-CSF. Lancet. 1990;335.",Development of antibodies to unprotected glycosylation sites on recombinant human GM-CSF,Lancet,1990,335,,,,,Gribben JG; Devereux S; Thomas NS
