#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Textbook of Pleural Diseases. Textbook of Pleural Diseases. 2016;None.,Textbook of Pleural Diseases,Textbook of Pleural Diseases,2016,,,,,,
2,"Roberts ME, Neville E, Berrisford RG, Antunes G, Ali NJ. Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(suppl 2).",Management of a malignant pleural effusion: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,suppl 2,,,,Roberts ME; Neville E; Berrisford RG; Antunes G; Ali NJ
3,"Clive AO, Kahan BC, Hooper CE. Predicting survival in malignant pleural effusion: development and validation of the LENT prognostic score. Thorax. 2014;69(12).",Predicting survival in malignant pleural effusion: development and validation of the LENT prognostic score,Thorax,2014,69,12,,,,Clive AO; Kahan BC; Hooper CE
4,"Antony V, Loddenkemper R, Astoul P. Management of malignant pleural effusions. Am J Respir Crit Care Med. 2000;162(5).",Management of malignant pleural effusions,Am J Respir Crit Care Med,2000,162,5,,,,Antony V; Loddenkemper R; Astoul P
5,"Azzopardi M, Porcel JM, Koegelenberg C, Lee Y, Fysh E. Current controversies in the management of malignant pleural effusions. Semin Respir Crit Care Med. 2014;35(6).",Current controversies in the management of malignant pleural effusions,Semin Respir Crit Care Med,2014,35,6,,,,Azzopardi M; Porcel JM; Koegelenberg C; Lee Y; Fysh E
6,"Dresler CM, Olak J, Herndon JE, Ii. Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion. Chest. 2005;127(3).",Phase III intergroup study of talc poudrage vs talc slurry sclerosis for malignant pleural effusion,Chest,2005,127,3,,,,Dresler CM; Olak J; Herndon JE; Ii
7,"Rahman NM, Pepperell J, Rehal S. Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial. JAMA. 2015;314(24).",Effect of opioids vs NSAIDs and larger vs smaller chest tube size on pain control and pleurodesis efficacy among patients with malignant pleural effusion: the TIME1 randomized clinical trial,JAMA,2015,314,24,,,,Rahman NM; Pepperell J; Rehal S
8,"Tremblay A, Mason C, Michaud G. Use of tunnelled catheters for malignant pleural effusions in patients fit for pleurodesis. Eur Respir J. 2007;30(4).",Use of tunnelled catheters for malignant pleural effusions in patients fit for pleurodesis,Eur Respir J,2007,30,4,,,,Tremblay A; Mason C; Michaud G
9,"Davies HE, Mishra EK, Kahan BC. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307(22).",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,22,,,,Davies HE; Mishra EK; Kahan BC
10,"Putnam JB, Light RW, Rodriguez RM. A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions. Cancer. 1999;86(10).",A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions,Cancer,1999,86,10,,,,Putnam JB; Light RW; Rodriguez RM
11,"Lui M, Thomas R, Lee Y. Complications of indwelling pleural catheter use and their management. BMJ Open Respir Res. 2016;3(1):e000123.",Complications of indwelling pleural catheter use and their management,BMJ Open Respir Res,2016,3,1,e000123,,,Lui M; Thomas R; Lee Y
12,"Van Meter ME, Mckee KY, Kohlwes RJ. Efficacy and safety of tunneled pleural catheters in adults with malignant pleural effusions: a systematic review. J Gen Intern Med. 2011;26(1).",Efficacy and safety of tunneled pleural catheters in adults with malignant pleural effusions: a systematic review,J Gen Intern Med,2011,26,1,,,,Van Meter ME; Mckee KY; Kohlwes RJ
13,"Tremblay A, Michaud G. Single-center experience with 250 tunnelled pleural catheter insertions for malignant pleural effusion. Chest. 2006;129(2).",Single-center experience with 250 tunnelled pleural catheter insertions for malignant pleural effusion,Chest,2006,129,2,,,,Tremblay A; Michaud G
14,"Fysh E, Waterer GW, Kendall PA. Indwelling pleural catheters reduce inpatient days over pleurodesis for malignant pleural effusion. Chest. 2012;142(2).",Indwelling pleural catheters reduce inpatient days over pleurodesis for malignant pleural effusion,Chest,2012,142,2,,,,Fysh E; Waterer GW; Kendall PA
15,"Fysh E, Thomas R, Read CA. Protocol of the Australasian Malignant Pleural Effusion (AMPLE) trial: a multicentre randomised study comparing indwelling pleural catheter versus talc pleurodesis [published correction appears. BMJ Open. 2014;5(5):6757.",Protocol of the Australasian Malignant Pleural Effusion (AMPLE) trial: a multicentre randomised study comparing indwelling pleural catheter versus talc pleurodesis [published correction appears,BMJ Open,2014,5,5,6757,,,Fysh E; Thomas R; Read CA
