#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Chernow B, Sahn SA. Carcinomatous involvement of the pleura: an analysis of 96 patients. Am J Med. 1977;63(3).",Carcinomatous involvement of the pleura: an analysis of 96 patients,Am J Med,1977,63,3,,,,Chernow B; Sahn SA
2,"Abbruzzese JL, Abbruzzese MC, Hess KR. Unknown primary carcinoma: natural history and prognostic factors in 657 consecutive patients. J Clin Oncol. 1994;12(2+).",Unknown primary carcinoma: natural history and prognostic factors in 657 consecutive patients,J Clin Oncol,1994,12,2+,,,,Abbruzzese JL; Abbruzzese MC; Hess KR
3,"Van De Molengraft FJ, Vooijs GP. Survival of patients with malignancy-associated effusions. Acta Cytol. 1989;33(2+).",Survival of patients with malignancy-associated effusions,Acta Cytol,1989,33,2+,,,,Van De Molengraft FJ; Vooijs GP
4,"Sears D, Hajdu SI. The cytologic diagnosis of malignant neoplasms in pleural and peritoneal effusions. Acta Cytol. 1987;31(2+).",The cytologic diagnosis of malignant neoplasms in pleural and peritoneal effusions,Acta Cytol,1987,31,2+,,,,Sears D; Hajdu SI
5,"Bonnefoi H, Smith IE. How should cancer presenting as a malignant pleural effusion be managed?. Br J Cancer. 1996;74(2L).",How should cancer presenting as a malignant pleural effusion be managed?,Br J Cancer,1996,74,2L,,,,Bonnefoi H; Smith IE
6,"Kolschmann S, Ballin A, Gillissen A. Clinical efficacy and safety of thoracoscopic talc pleurodesis in malignant pleural effusions. Chest. 2005;128(2L).",Clinical efficacy and safety of thoracoscopic talc pleurodesis in malignant pleural effusions,Chest,2005,128,2L,,,,Kolschmann S; Ballin A; Gillissen A
7,"Raju RN, Kardinal CG. Pleural effusion in breast carcinoma: analysis of 122 cases. Cancer. 1981;48(3).",Pleural effusion in breast carcinoma: analysis of 122 cases,Cancer,1981,48,3,,,,Raju RN; Kardinal CG
8,"Fentiman IS, Millis R, Sexton S. Pleural effusion in breast cancer: a review of 105 cases. Cancer. 1981;47(3).",Pleural effusion in breast cancer: a review of 105 cases,Cancer,1981,47,3,,,,Fentiman IS; Millis R; Sexton S
9,"Banerjee AK, Willetts I, Robertson JF. Pleural effusion in breast cancer: a review of the Nottingham experience. Eur J Surg Oncol. 1994;20(3).",Pleural effusion in breast cancer: a review of the Nottingham experience,Eur J Surg Oncol,1994,20,3,,,,Banerjee AK; Willetts I; Robertson JF
10,"Dieterich M, Goodman SN, Rojas-Corona RR. Multivariate analysis of prognostic features in malignant pleural effusions from breast cancer patients. Acta Cytol. 1994;38(3).",Multivariate analysis of prognostic features in malignant pleural effusions from breast cancer patients,Acta Cytol,1994,38,3,,,,Dieterich M; Goodman SN; Rojas-Corona RR
11,"Dibonito L, Falconieri G, Colautti I. The positive pleural effusion. A retrospective study of cytopathologic diagnoses with autopsy confirmation. Acta Cytol. 1992;36(2+).",The positive pleural effusion. A retrospective study of cytopathologic diagnoses with autopsy confirmation,Acta Cytol,1992,36,2+,,,,Dibonito L; Falconieri G; Colautti I
12,"Hsu C. Cytologic detection of malignancy in pleural effusion: a review of 5,255 samples from 3,811 patients. Diagn Cytopathol. 1987;3(2L).","Cytologic detection of malignancy in pleural effusion: a review of 5,255 samples from 3,811 patients",Diagn Cytopathol,1987,3,2L,,,,Hsu C
