#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Baumann MH. Management of spontaneous pneumothorax. Clin Chest Med. 2006;27.,Management of spontaneous pneumothorax,Clin Chest Med,2006,27,,,,,Baumann MH
2,"Ruppert AM, Perrin J, Khalil A et al.. Effect of cannabis and tobacco on emphysema in patients with spontaneous pneumothorax. Diagn Interv Imaging. 2018;99.",Effect of cannabis and tobacco on emphysema in patients with spontaneous pneumothorax,Diagn Interv Imaging,2018,99,,,,,Ruppert AM; Perrin J; Khalil A; Vieira T; Abou-Chedid D; Masmoudi H; Crequit P; Giol M; Cadranel J; Assaouad J; Gounant V
3,"Bense L, Eklund G, Wiman LG. Smoking and the increased risk of contracting spontaneous pneumothorax. Chest. 1987;92.",Smoking and the increased risk of contracting spontaneous pneumothorax,Chest,1987,92,,,,,Bense L; Eklund G; Wiman LG
4,"Plojoux J, Froudarakis M, Janssens JP, Soccal PM, Tschopp JM. New insights and improved strategies for the management of primary spontaneous pneumothorax. Clin Respir J. 2019;None. doi:10.1111/crj.12990.",New insights and improved strategies for the management of primary spontaneous pneumothorax,Clin Respir J,2019,,,,10.1111/crj.12990,,Plojoux J; Froudarakis M; Janssens JP; Soccal PM; Tschopp JM
5,"Tschopp JM, Bintcliffe O, Astoul P et al.. ERS task force statement: diagnosis and treatment of primary spontaneous pneumothorax. Eur Respir J. 2015;46.",ERS task force statement: diagnosis and treatment of primary spontaneous pneumothorax,Eur Respir J,2015,46,,,,,Tschopp JM; Bintcliffe O; Astoul P; Canalis E; Driesen P; Janssen J; Krasnik M; Maskell M; Van Schil P; Tonia T; Waller DA; Marquette CH; Cardillo G
6,"Walker SP, Bibby AC, Halford P, Stadon L, White P, Maskell NA. Recurrence rates in primary spontaneous pneumothorax: a systematic review and metaanalysis. Eur Respir J. 2018;52:18000864.",Recurrence rates in primary spontaneous pneumothorax: a systematic review and metaanalysis,Eur Respir J,2018,52,,18000864,,,Walker SP; Bibby AC; Halford P; Stadon L; White P; Maskell NA
7,"Massongo M, Leroy S, Scherpereel A et al.. Outpatient management of primary spontaneous pneumothorax: a prospective study. Eur Respir J. 2014;43.",Outpatient management of primary spontaneous pneumothorax: a prospective study,Eur Respir J,2014,43,,,,,Massongo M; Leroy S; Scherpereel A; Vaniet F; Dhalluin X; Chahine B; Sanfiorenzo C; Genin M; Marquette CH
8,"Vuong NL, Elshafay A, Thao LP et al.. Efficacy of treatments in primary spontaneous pneumothorax: a systematic review and network meta-analysis of randomized clinical trials. Respir Med. 2018;137.",Efficacy of treatments in primary spontaneous pneumothorax: a systematic review and network meta-analysis of randomized clinical trials,Respir Med,2018,137,,,,,Vuong NL; Elshafay A; Thao LP; Abdalla AR; Mohyeldin IA; Elsabaa K; Omran ES; Yu F; Hirayama K; Huy NT
9,"Wang C, Lyu M, Zhou J, Liu Y, JY. Chest tube drainage versus needle aspiration for primary spontaneous pneumothorax: which is better?. J Thorac Dis. 2017;9.",Chest tube drainage versus needle aspiration for primary spontaneous pneumothorax: which is better?,J Thorac Dis,2017,9,,,,,Wang C; Lyu M; Zhou J; Liu Y; JY
10,"Wakai C, Van Agteren A, Smith JE et al.. Simple aspiration versus intercostal tube drainage for primary spontaneous pneumothorax in adults. Cochrane Database Syst Rev. 2017;9:4479.",Simple aspiration versus intercostal tube drainage for primary spontaneous pneumothorax in adults,Cochrane Database Syst Rev,2017,9,,4479,,,Wakai C; Van Agteren A; Smith JE; Mccabe BJ; Brinn G; MP; Sullivan O; R
11,"Noppen M, Alexander P, Driesen P, Slabbynck H, Verstraeten A. Manual aspiration versus chest tube drainage in first episodes of primary spontaneous pneumothorax: a multicenter, prospective, randomized pilot study. Am J Respir Crit Care Med. 2002;165.","Manual aspiration versus chest tube drainage in first episodes of primary spontaneous pneumothorax: a multicenter, prospective, randomized pilot study",Am J Respir Crit Care Med,2002,165,,,,,Noppen M; Alexander P; Driesen P; Slabbynck H; Verstraeten A
12,"Thelle A, Gjerdevik M, Suechu M, Hagen OM, Bakke P. Randomised comparison of needle aspiration and chest tube drainage in spontaneous pneumothorax. Eur Respir J. 2017;49:1601296.",Randomised comparison of needle aspiration and chest tube drainage in spontaneous pneumothorax,Eur Respir J,2017,49,,1601296,,,Thelle A; Gjerdevik M; Suechu M; Hagen OM; Bakke P
13,"Macduff A, Arnold A, Harvey J. Management of spontaneous pneumothorax: British Thoracic Society Pleural Disease Guideline. Thorax. 2010;65(supplement 2).",Management of spontaneous pneumothorax: British Thoracic Society Pleural Disease Guideline,Thorax,2010,65,supplement 2,,,,Macduff A; Arnold A; Harvey J
14,Raymond DP. Are we ready for the digital age?. J Thorac Cardiovasc Surg. 2018;155.,Are we ready for the digital age?,J Thorac Cardiovasc Surg,2018,155,,,,,Raymond DP
15, Thopaz Digital Chest Drainage System. Thopaz Digital Chest Drainage System. 2011;None.,Thopaz Digital Chest Drainage System,Thopaz Digital Chest Drainage System,2011,,,,,,
16,"Zhou J, Lyu M, Chen N et al.. Digital chest drainage is better than traditional chest drainage following pulmonary surgery: a meta analysis. Eur J Cardiothorac Surg. 2018;54.",Digital chest drainage is better than traditional chest drainage following pulmonary surgery: a meta analysis,Eur J Cardiothorac Surg,2018,54,,,,,Zhou J; Lyu M; Chen N; Wang Z; Hai Y; Hao J; Liu L
