#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Siegel RL, Miller KD, Jemal A. Cancer statistics. CA Cancer J Clin. 2018;68(1).",Cancer statistics,CA Cancer J Clin,2018,68,1,,,,Siegel RL; Miller KD; Jemal A
2,"Patel MI, Mckinley M, Cheng I. Lung cancer incidence trends in California by race/ethnicity, histology, sex, and neighborhood socioeconomic status: an analysis spanning 28 years. Lung Cancer. 2017;108.","Lung cancer incidence trends in California by race/ethnicity, histology, sex, and neighborhood socioeconomic status: an analysis spanning 28 years",Lung Cancer,2017,108,,,,,Patel MI; Mckinley M; Cheng I
3,"Aberle DR, Adams AM, Berg CD. Reduced lung-cancer mortality with low-dose computed tomographic screening. N Engl J Med. 2011;365(5).",Reduced lung-cancer mortality with low-dose computed tomographic screening,N Engl J Med,2011,365,5,,,,Aberle DR; Adams AM; Berg CD
4,"Macmahon H, Naidich DP, Goo JM. Guidelines for management of incidental pulmonary nodules detected on CT images: from the Fleischner Society. Radiology. 2017;284(1).",Guidelines for management of incidental pulmonary nodules detected on CT images: from the Fleischner Society,Radiology,2017,284,1,,,,Macmahon H; Naidich DP; Goo JM
5," Non-small cell lung cancer, version 2. NCCN Clinical Practice Guidelines in Oncology. 2018;None.","Non-small cell lung cancer, version 2",NCCN Clinical Practice Guidelines in Oncology,2018,,,,,,
6,"Tanner NT, Porter A, Gould M. Physician assessment of pretest probability of malignancy and adherence with guidelines for pulmonary nodule evaluation. Chest. 2017;152(2).",Physician assessment of pretest probability of malignancy and adherence with guidelines for pulmonary nodule evaluation,Chest,2017,152,2,,,,Tanner NT; Porter A; Gould M
7,"Gutierrez ME, Choi K, Lanman RB. Genomic profiling of advanced non-small cell lung cancer in community settings: gaps and opportunities. Clin Lung Cancer. 2017;18(6).",Genomic profiling of advanced non-small cell lung cancer in community settings: gaps and opportunities,Clin Lung Cancer,2017,18,6,,,,Gutierrez ME; Choi K; Lanman RB
8,"Khemasuwan D, Küpeli E, Mehta AC. Electromagnetic Navigation: A Review. Interventions in Pulmonary Medicine. Electromagnetic Navigation: A Review. Interventions in Pulmonary Medicine. 2018;None.",Electromagnetic Navigation: A Review. Interventions in Pulmonary Medicine,Electromagnetic Navigation: A Review. Interventions in Pulmonary Medicine,2018,,,,,,Khemasuwan D; Küpeli E; Mehta AC
9,"Muñoz-Largacha JA, Litle VR, Fernando HC. Navigation bronchoscopy for diagnosis and small nodule location. J Thorac Dis. 2017;9(2).",Navigation bronchoscopy for diagnosis and small nodule location,J Thorac Dis,2017,9,2,,,,Muñoz-Largacha JA; Litle VR; Fernando HC
10,"Bowling MR, Anciano CJ. Updates in advanced diagnostic bronchoscopy: electromagnetic navigational bronchoscopy chasing the solitary pulmonary nodule. Clin Pulm Med. 2017;24(2).",Updates in advanced diagnostic bronchoscopy: electromagnetic navigational bronchoscopy chasing the solitary pulmonary nodule,Clin Pulm Med,2017,24,2,,,,Bowling MR; Anciano CJ
11,"Kaminsky J, Brinker T, Samii A. Technical considerations regarding accuracy of the MKM navigation system. An experimental study on impact factors. Neurol Res. 1999;21(4).",Technical considerations regarding accuracy of the MKM navigation system. An experimental study on impact factors,Neurol Res,1999,21,4,,,,Kaminsky J; Brinker T; Samii A
12,"Solomon SB, Patriciu A, Bohlman ME. Robotically driven interventions: a method of using CT fluoroscopy without radiation exposure to the physician. Radiology. 2002;225(1).",Robotically driven interventions: a method of using CT fluoroscopy without radiation exposure to the physician,Radiology,2002,225,1,,,,Solomon SB; Patriciu A; Bohlman ME
13,"Eljamel MS. Accuracy, efficacy, and clinical applications of the Radionics Operating Arm System. Comput Aided Surg. 1997;2(5).","Accuracy, efficacy, and clinical applications of the Radionics Operating Arm System",Comput Aided Surg,1997,2,5,,,,Eljamel MS
14,"Grunert P, Charalampaki K, Kassem M. Frame-based and frameless stereotaxy in the localization of cavernous angiomas. Neurosurg Rev. 2003;26(1).",Frame-based and frameless stereotaxy in the localization of cavernous angiomas,Neurosurg Rev,2003,26,1,,,,Grunert P; Charalampaki K; Kassem M
15,Solomon SB. Interactive images in the operating room. J Endourol. 1999;13(7).,Interactive images in the operating room,J Endourol,1999,13,7,,,,Solomon SB
16,"Strong EB, Rafii A, Holhweg-Majert B. Comparison of 3 optical navigation systems for computer-aided maxillofacial surgery. Arch Otolaryngol Head Neck Surg. 2008;134(10).",Comparison of 3 optical navigation systems for computer-aided maxillofacial surgery,Arch Otolaryngol Head Neck Surg,2008,134,10,,,,Strong EB; Rafii A; Holhweg-Majert B
17,Reardon EJ. The impact of image-guidance systems on sinus surgery. Otolaryngol Clin North Am. 2005;38(3).,The impact of image-guidance systems on sinus surgery,Otolaryngol Clin North Am,2005,38,3,,,,Reardon EJ
18,"Zaaroor M, Bejerano Y, Weinfeld Z. Novel magnetic technology for intraoperative intracranial frameless navigation: in vivo and in vitro results. Neurosurgery. 2001;48(5).",Novel magnetic technology for intraoperative intracranial frameless navigation: in vivo and in vitro results,Neurosurgery,2001,48,5,,,,Zaaroor M; Bejerano Y; Weinfeld Z
19,"Franz AM, Haidegger T, Birkfellner W. Electromagnetic tracking in medicine-a review of technology, validation, and applications. IEEE Trans Med Imaging. 2014;33(8).","Electromagnetic tracking in medicine-a review of technology, validation, and applications",IEEE Trans Med Imaging,2014,33,8,,,,Franz AM; Haidegger T; Birkfellner W
20,"Sa B, Osadchy D, Schuster I. Nonfluoroscopic, in vivo navigation and mapping technology. Nat Med. 1996;2(12).","Nonfluoroscopic, in vivo navigation and mapping technology",Nat Med,1996,2,12,,,,Sa B; Osadchy D; Schuster I
21,"Solomon SB, White P, Jr, Acker DE. Real-time bronchoscope tip localization enables three-dimensional CT image guidance for transbronchial needle aspiration in swine. Chest. 1998;114(5).",Real-time bronchoscope tip localization enables three-dimensional CT image guidance for transbronchial needle aspiration in swine,Chest,1998,114,5,,,,Solomon SB; White P; Jr; Acker DE
22,"Elliott RS. Electromagnetics: History, Theory and Applications. Electromagnetics: History, Theory and Applications. 1993;None.","Electromagnetics: History, Theory and Applications","Electromagnetics: History, Theory and Applications",1993,,,,,,Elliott RS
23,"Solomon SB, Magee C, Acker DE. TIPS placement in swine, guided by electromagnetic real-time needle tip localization displayed on previously acquired 3-D CT. Cardiovasc Intervent Radiol. 1999;22(5).","TIPS placement in swine, guided by electromagnetic real-time needle tip localization displayed on previously acquired 3-D CT",Cardiovasc Intervent Radiol,1999,22,5,,,,Solomon SB; Magee C; Acker DE
24,"Solomon SB, Venbrux AC, Acker DE. Real-time needle tip localization technology enables 3D CT image guidance for transjugular intrahepatic portosystemic shunt formation. Radiology. 1997;202(58).",Real-time needle tip localization technology enables 3D CT image guidance for transjugular intrahepatic portosystemic shunt formation,Radiology,1997,202,58,,,,Solomon SB; Venbrux AC; Acker DE
25,"Solomon SB, White P, Jr, Wiener CM. Three-dimensional CT-guided bronchoscopy with a real-time electromagnetic position sensor. Chest. 2000;118(6).",Three-dimensional CT-guided bronchoscopy with a real-time electromagnetic position sensor,Chest,2000,118,6,,,,Solomon SB; White P; Jr; Wiener CM
26,Dvorin N. superDimension: guided bronchoscopy to the lungs' periphery. Start-Up. Windhover's Review of Emerging Medical Ventures. 2005;10(2).,superDimension: guided bronchoscopy to the lungs' periphery. Start-Up,Windhover's Review of Emerging Medical Ventures,2005,10,2,,,,Dvorin N
27,"Schwarz Y, Mehta AC, Ernst A. Electromagnetic navigation during flexible bronchoscopy. Respiration. 2003;70(5).",Electromagnetic navigation during flexible bronchoscopy,Respiration,2003,70,5,,,,Schwarz Y; Mehta AC; Ernst A
28,"Schwarz Y, Greif J, Becker HD. Real-time electromagnetic navigation bronchoscopy to peripheral lung lesions using overlaid CT images: the first human study. Chest. 2006;129(4).",Real-time electromagnetic navigation bronchoscopy to peripheral lung lesions using overlaid CT images: the first human study,Chest,2006,129,4,,,,Schwarz Y; Greif J; Becker HD
29,"Becker HD, Herth F, Ernst A. Bronchoscopic biopsy of peripheral lung lesions under electromagnetic guidance: a pilot study. J Bronchology Interv Pulmonol. 2005;12(1).",Bronchoscopic biopsy of peripheral lung lesions under electromagnetic guidance: a pilot study,J Bronchology Interv Pulmonol,2005,12,1,,,,Becker HD; Herth F; Ernst A
30,"Hautmann H, Schneider A, Pinkau T. Electromagnetic catheter navigation during bronchoscopy: validation of a novel method by conventional fluoroscopy. Chest. 2005;128(1).",Electromagnetic catheter navigation during bronchoscopy: validation of a novel method by conventional fluoroscopy,Chest,2005,128,1,,,,Hautmann H; Schneider A; Pinkau T
31,"Gildea TR, Mazzone PJ, Karnak D. Electromagnetic navigation diagnostic bronchoscopy: a prospective study. Am J Respir Crit Care Med. 2006;174(9).",Electromagnetic navigation diagnostic bronchoscopy: a prospective study,Am J Respir Crit Care Med,2006,174,9,,,,Gildea TR; Mazzone PJ; Karnak D
32,"Gilbert C, Akulian J, Ortiz R. Novel bronchoscopic strategies for the diagnosis of peripheral lung lesions: present techniques and future directions. Respirology. 2014;19(5).",Novel bronchoscopic strategies for the diagnosis of peripheral lung lesions: present techniques and future directions,Respirology,2014,19,5,,,,Gilbert C; Akulian J; Ortiz R
33,"Yarmus LB, Arias S, Feller-Kopman D. Electromagnetic navigation transthoracic needle aspiration for the diagnosis of pulmonary nodules: a safety and feasibility pilot study. J Thorac Dis. 2016;8(1).",Electromagnetic navigation transthoracic needle aspiration for the diagnosis of pulmonary nodules: a safety and feasibility pilot study,J Thorac Dis,2016,8,1,,,,Yarmus LB; Arias S; Feller-Kopman D
34,"Flenaugh E, Mohammed K. Initial experience using 4D electromagnetic navigation bronchoscopy system with tip tracked instruments for localization of peripheral lung nodules. Int J Pulm Med. 2016;18(1).",Initial experience using 4D electromagnetic navigation bronchoscopy system with tip tracked instruments for localization of peripheral lung nodules,Int J Pulm Med,2016,18,1,,,,Flenaugh E; Mohammed K
35,"Al-Jaghbeer M, Marcus M, Durkin M. Diagnostic yield of electromagnetic navigational bronchoscopy. Ther Adv Respir Dis. 2016;10(4).",Diagnostic yield of electromagnetic navigational bronchoscopy,Ther Adv Respir Dis,2016,10,4,,,,Al-Jaghbeer M; Marcus M; Durkin M
36,"Balbo PE, Bodini BD, Patrucco F. Electromagnetic navigation bronchoscopy and rapid on site evaluation added to fluoroscopyguided assisted bronchoscopy and rapid on site evaluation: improved yield in pulmonary nodules. Minerva Chir. 2013;68(6).",Electromagnetic navigation bronchoscopy and rapid on site evaluation added to fluoroscopyguided assisted bronchoscopy and rapid on site evaluation: improved yield in pulmonary nodules,Minerva Chir,2013,68,6,,,,Balbo PE; Bodini BD; Patrucco F
37,"Bertoletti L, Robert A, Cottier M. Accuracy and feasibility of electromagnetic navigated bronchoscopy under nitrous oxide sedation for pulmonary peripheral opacities: an outpatient study. Respiration. 2009;78(3).",Accuracy and feasibility of electromagnetic navigated bronchoscopy under nitrous oxide sedation for pulmonary peripheral opacities: an outpatient study,Respiration,2009,78,3,,,,Bertoletti L; Robert A; Cottier M
38,"Bowling MR, Kohan MW, Walker P. The effect of general anesthesia versus intravenous sedation on diagnostic yield and success in electromagnetic navigation bronchoscopy. J Bronchology Interv Pulmonol. 2015;22(1).",The effect of general anesthesia versus intravenous sedation on diagnostic yield and success in electromagnetic navigation bronchoscopy,J Bronchology Interv Pulmonol,2015,22,1,,,,Bowling MR; Kohan MW; Walker P
39,"Brownback KR, Quijano F, Latham HE. Electromagnetic navigational bronchoscopy in the diagnosis of lung lesions. J Bronchology Interv Pulmonol. 2012;19(2).",Electromagnetic navigational bronchoscopy in the diagnosis of lung lesions,J Bronchology Interv Pulmonol,2012,19,2,,,,Brownback KR; Quijano F; Latham HE
40,"Chee A, Stather DR, Maceachern P. Diagnostic utility of peripheral endobronchial ultrasound with electromagnetic navigation bronchoscopy in peripheral lung nodules. Respirology. 2013;18(5).",Diagnostic utility of peripheral endobronchial ultrasound with electromagnetic navigation bronchoscopy in peripheral lung nodules,Respirology,2013,18,5,,,,Chee A; Stather DR; Maceachern P
41,"Copeland S, Kambali S, Berdine G. Electromagnetic navigational bronchoscopy in patients with solitary pulmonary nodules. Southwest Respir Crit Care Chron. 2017;5(17).",Electromagnetic navigational bronchoscopy in patients with solitary pulmonary nodules,Southwest Respir Crit Care Chron,2017,5,17,,,,Copeland S; Kambali S; Berdine G
42,"Diken ÖE, Karnak D, Çileda G A. Electromagnetic navigationguided TBNA vs conventional TBNA in the diagnosis of mediastinal lymphadenopathy. Clin Respir J. 2015;9(2).",Electromagnetic navigationguided TBNA vs conventional TBNA in the diagnosis of mediastinal lymphadenopathy,Clin Respir J,2015,9,2,,,,Diken ÖE; Karnak D; Çileda G A
43,"Eberhardt R, Anantham D, Ernst A. Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial. Am J Respir Crit Care Med. 2007;176(1).",Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial,Am J Respir Crit Care Med,2007,176,1,,,,Eberhardt R; Anantham D; Ernst A
44,"Eberhardt R, Anantham D, Herth F. Electromagnetic navigation diagnostic bronchoscopy in peripheral lung lesions. Chest. 2007;131(6).",Electromagnetic navigation diagnostic bronchoscopy in peripheral lung lesions,Chest,2007,131,6,,,,Eberhardt R; Anantham D; Herth F
45,"Eberhardt R, Morgan RK, Ernst A. Comparison of suction catheter versus forceps biopsy for sampling of solitary pulmonary nodules guided by electromagnetic navigational bronchoscopy. Respiration. 2010;79(1).",Comparison of suction catheter versus forceps biopsy for sampling of solitary pulmonary nodules guided by electromagnetic navigational bronchoscopy,Respiration,2010,79,1,,,,Eberhardt R; Morgan RK; Ernst A
46,"Garwood SK, Clendening P, Hevelone ND. Navigational bronchoscopy at a community hospital: clinical and economic outcomes. Lung Cancer Management. 2016;5(3).",Navigational bronchoscopy at a community hospital: clinical and economic outcomes,Lung Cancer Management,2016,5,3,,,,Garwood SK; Clendening P; Hevelone ND
47,"Jensen KW, Hsia DW, Seijo LM. Multicenter experience with electromagnetic navigation bronchoscopy for the diagnosis of pulmonary nodules. J Bronchology Interv Pulmonol. 2012;19(3).",Multicenter experience with electromagnetic navigation bronchoscopy for the diagnosis of pulmonary nodules,J Bronchology Interv Pulmonol,2012,19,3,,,,Jensen KW; Hsia DW; Seijo LM
48,"Karnak D, Ciledag A, Ceyhan K. Rapid on-site evaluation and low registration error enhance the success of electromagnetic navigation bronchoscopy. Ann Thorac Med. 2013;8(1).",Rapid on-site evaluation and low registration error enhance the success of electromagnetic navigation bronchoscopy,Ann Thorac Med,2013,8,1,,,,Karnak D; Ciledag A; Ceyhan K
49,"Khan AY, Berkowitz D, Krimsky WS. Safety of pacemakers and defibrillators in electromagnetic navigation bronchoscopy. Chest. 2013;143(1).",Safety of pacemakers and defibrillators in electromagnetic navigation bronchoscopy,Chest,2013,143,1,,,,Khan AY; Berkowitz D; Krimsky WS
50,"Lamprecht B, Porsch P, Pirich C. Electromagnetic navigation bronchoscopy in combination with PET-CT and rapid on-site cytopathologic examination for diagnosis of peripheral lung lesions. Lung. 2009;187(1).",Electromagnetic navigation bronchoscopy in combination with PET-CT and rapid on-site cytopathologic examination for diagnosis of peripheral lung lesions,Lung,2009,187,1,,,,Lamprecht B; Porsch P; Pirich C
51,"Lamprecht B, Porsch P, Wegleitner B. Electromagnetic navigation bronchoscopy (ENB): increasing diagnostic yield. Respir Med. 2012;106(5).",Electromagnetic navigation bronchoscopy (ENB): increasing diagnostic yield,Respir Med,2012,106,5,,,,Lamprecht B; Porsch P; Wegleitner B
52,"Loo FL, Halligan AM, Port JL. The emerging technique of electromagnetic navigation bronchoscopy-guided fine-needle aspiration of peripheral lung lesions: promising results in 50 lesions. Cancer Cytopathol. 2014;122(3).",The emerging technique of electromagnetic navigation bronchoscopy-guided fine-needle aspiration of peripheral lung lesions: promising results in 50 lesions,Cancer Cytopathol,2014,122,3,,,,Loo FL; Halligan AM; Port JL
53,"Mahajan AK, Patel S, Hogarth DK. Electromagnetic navigational bronchoscopy: an effective and safe approach to diagnose peripheral lung lesions unreachable by conventional bronchoscopy in high-risk patients. J Bronchology Interv Pulmonol. 2011;18(2).",Electromagnetic navigational bronchoscopy: an effective and safe approach to diagnose peripheral lung lesions unreachable by conventional bronchoscopy in high-risk patients,J Bronchology Interv Pulmonol,2011,18,2,,,,Mahajan AK; Patel S; Hogarth DK
54,"Makris D, Scherpereel A, Leroy S. Electromagnetic navigation diagnostic bronchoscopy for small peripheral lung lesions. Eur Respir J. 2007;29(6).",Electromagnetic navigation diagnostic bronchoscopy for small peripheral lung lesions,Eur Respir J,2007,29,6,,,,Makris D; Scherpereel A; Leroy S
55,"Mohanasundaram U, Ho LA, Kuschner WG. The diagnostic yield of navigational bronchoscopy performed with propofol deep sedation. ISRN Endosc. 2013;2013.",The diagnostic yield of navigational bronchoscopy performed with propofol deep sedation,ISRN Endosc,2013,2013,,,,,Mohanasundaram U; Ho LA; Kuschner WG
56,"Mukherjee S, Chacey M. Diagnostic yield of electromagnetic navigation bronchoscopy using a curved-tip catheter to aid in the diagnosis of pulmonary lesions. J Bronchology Interv Pulmonol. 2017;24(1).",Diagnostic yield of electromagnetic navigation bronchoscopy using a curved-tip catheter to aid in the diagnosis of pulmonary lesions,J Bronchology Interv Pulmonol,2017,24,1,,,,Mukherjee S; Chacey M
57,"Odronic SI, Gildea TR, Chute DJ. Electromagnetic navigation bronchoscopy-guided fine needle aspiration for the diagnosis of lung lesions. Diagn Cytopathol. 2014;42(12).",Electromagnetic navigation bronchoscopy-guided fine needle aspiration for the diagnosis of lung lesions,Diagn Cytopathol,2014,42,12,,,,Odronic SI; Gildea TR; Chute DJ
58,"Ost DE, Ernst A, Lei X. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE Registry. Am J Respir Crit Care Med. 2016;193(1).",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE Registry,Am J Respir Crit Care Med,2016,193,1,,,,Ost DE; Ernst A; Lei X
