#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Bolliger CT, Mathur PN. ERS/ATS statement on interventional pulmonology. Eur Respir J. 2002;19(2).",ERS/ATS statement on interventional pulmonology,Eur Respir J,2002,19,2,,,,Bolliger CT; Mathur PN
2,"Charlson ME, Pompei P, Ales KL, Mackenzie CR. A new method of classifying prognostic comorbidity in longitudinal studies: development and validation. J Chronic Dis. 1987;40(5).",A new method of classifying prognostic comorbidity in longitudinal studies: development and validation,J Chronic Dis,1987,40,5,,,,Charlson ME; Pompei P; Ales KL; Mackenzie CR
3,"Chhajed PN, Baty F, Pless M, Somandin S, Tamm M, Brutsche MH. Outcome of treated advanced non-small cell lung cancer with and without central airway obstruction. Chest. 2006;130(6).",Outcome of treated advanced non-small cell lung cancer with and without central airway obstruction,Chest,2006,130,6,,,,Chhajed PN; Baty F; Pless M; Somandin S; Tamm M; Brutsche MH
4,Daneshvar C. Prevalence and outcome of central airway obstruction in patients with lung cancer. BMJ Open Respir Res. 2019;6.,Prevalence and outcome of central airway obstruction in patients with lung cancer,BMJ Open Respir Res,2019,6,,,,,Daneshvar C
5,"Ernst A, Feller-Kopman D, Becker HD, Mehta AC. Central airway obstruction. Am J Respir Crit Care Med. 2004;169(12).",Central airway obstruction,Am J Respir Crit Care Med,2004,169,12,,,,Ernst A; Feller-Kopman D; Becker HD; Mehta AC
6,"Han CC, Prasetyo D, Wright GM. Endobronchial palliation using Nd:YAG laser is associated with improved survival when combined with multimodal adjuvant treatments. J Thorac Oncol. 2007;2(1).",Endobronchial palliation using Nd:YAG laser is associated with improved survival when combined with multimodal adjuvant treatments,J Thorac Oncol,2007,2,1,,,,Han CC; Prasetyo D; Wright GM
7,"Lubner MG, Brace CL, Hinshaw JL, Lee FT. Microwave tumor ablation: mechanism of action, clinical results, and devices. J Vasc Interv Radiol. 2010;21(8).","Microwave tumor ablation: mechanism of action, clinical results, and devices",J Vasc Interv Radiol,2010,21,8,,,,Lubner MG; Brace CL; Hinshaw JL; Lee FT
8,"Mahmood K. Therapeutic bronchoscopy improves spirometry, quality of life, and survival in central airway obstruction. Respiration. 2015;89(5).","Therapeutic bronchoscopy improves spirometry, quality of life, and survival in central airway obstruction",Respiration,2015,89,5,,,,Mahmood K
9,"Mudambi L, Miller R, Eapen GA. Malignant central airway obstruction. J Thoracic Dis. 2017;9(10).",Malignant central airway obstruction,J Thoracic Dis,2017,9,10,,,,Mudambi L; Miller R; Eapen GA
10,"Murgu S, Langer S, Colt H. Bronchoscopic intervention obviates the need for continued mechanical ventilation in patients with airway obstruction and respiratory failure from inoperable nonsmall-cell lung cancer. Respiration. 2012;84(1).",Bronchoscopic intervention obviates the need for continued mechanical ventilation in patients with airway obstruction and respiratory failure from inoperable nonsmall-cell lung cancer,Respiration,2012,84,1,,,,Murgu S; Langer S; Colt H
11,Ost DE. Complications following therapeutic bronchoscopy for malignant central airway obstruction: results of the AQuIRE registry. Chest. 2015;148(2).,Complications following therapeutic bronchoscopy for malignant central airway obstruction: results of the AQuIRE registry,Chest,2015,148,2,,,,Ost DE
12,Ost DE. Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life. Chest. 2015;147(5).,Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life,Chest,2015,147,5,,,,Ost DE
13,"Shin B, Chang B, Kim H, Jeong BH. Interventional bronchoscopy in malignant central airway obstruction by extra-pulmonary malignancy. BMC Pulm Med. 2018;18(1):46.",Interventional bronchoscopy in malignant central airway obstruction by extra-pulmonary malignancy,BMC Pulm Med,2018,18,1,46,,,Shin B; Chang B; Kim H; Jeong BH
14,"Stephens KE, Wood DE. Bronchoscopic management of central airway obstruction. J Thorac Cardiovasc Surg. 2000;119(2).",Bronchoscopic management of central airway obstruction,J Thorac Cardiovasc Surg,2000,119,2,,,,Stephens KE; Wood DE
15,Stratakos G. Survival and quality of life benefit after endoscopic management of malignant central airway obstruction. J Cancer. 2016;7(7).,Survival and quality of life benefit after endoscopic management of malignant central airway obstruction,J Cancer,2016,7,7,,,,Stratakos G
16,Verma A. Outcome of advanced lung cancer with central airway obstruction versus without central airway obstruction. ERJ Open Res. 2018;4(2).,Outcome of advanced lung cancer with central airway obstruction versus without central airway obstruction,ERJ Open Res,2018,4,2,,,,Verma A
17,Verma A. Outcome differences between recanalized malignant central airway obstruction from endoluminal disease versus extrinsic compression. Lasers Med Sci. 2019;34(5).,Outcome differences between recanalized malignant central airway obstruction from endoluminal disease versus extrinsic compression,Lasers Med Sci,2019,34,5,,,,Verma A
18,"Wolf FJ, Grand DJ, Machan JT, Dipetrillo TA, Mayo-Smith WW, Dupuy DE. Microwave ablation of lung malignancies: effectiveness, CT findings, and safety in 50 patients. Radiology. 2008;247(3).","Microwave ablation of lung malignancies: effectiveness, CT findings, and safety in 50 patients",Radiology,2008,247,3,,,,Wolf FJ; Grand DJ; Machan JT; Dipetrillo TA; Mayo-Smith WW; Dupuy DE
