#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Goldstraw P, Ball D, Jett JR. Nonsmall-cell lung cancer. Lancet. 2011;378.",Nonsmall-cell lung cancer,Lancet,2011,378,,,,,Goldstraw P; Ball D; Jett JR
2,"Silvestri GA, Gonzalez AV, Jantz MA. Methods for staging non-small cell lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Methods for staging non-small cell lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Silvestri GA; Gonzalez AV; Jantz MA
3,"Labarca G, Aravena C, Ortega F. Minimally invasive methods for staging in lung cancer: systematic review and meta-analysis. Pulm Med. 2016;2016:1024709.",Minimally invasive methods for staging in lung cancer: systematic review and meta-analysis,Pulm Med,2016,2016,,1024709,,,Labarca G; Aravena C; Ortega F
4,"Ost DE, Ernst A, Lei X. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry. Am J Respir Crit Care Med. 2016;193(1).",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry,Am J Respir Crit Care Med,2016,193,1,,,,Ost DE; Ernst A; Lei X
5,Shinagawa N. A review of existing and new methods of bronchoscopic diagnosis of lung cancer. Respir Investig. 2019;57(1).,A review of existing and new methods of bronchoscopic diagnosis of lung cancer,Respir Investig,2019,57,1,,,,Shinagawa N
6,"Dibardino DM, Yarmus LB, Semaan RW. Transthoracic needle biopsy of the lung. J Thorac Dis. 2015;7(suppl 4).",Transthoracic needle biopsy of the lung,J Thorac Dis,2015,7,suppl 4,,,,Dibardino DM; Yarmus LB; Semaan RW
7,"Heerink WJ, De Bock GH, De Jonge GJ, Groen HJ, Vliegenthart R, Oudkerk M. Complication rates of CT-guided transthoracic lung biopsy: meta-analysis. Eur Radiol. 2017;27(1).",Complication rates of CT-guided transthoracic lung biopsy: meta-analysis,Eur Radiol,2017,27,1,,,,Heerink WJ; De Bock GH; De Jonge GJ; Groen HJ; Vliegenthart R; Oudkerk M
8,"Mcinnes M, Moher D, Thombs BD. Preferred Reporting Items for a Systematic Review and Meta-analysis of Diagnostic Test Accuracy Studies: the PRISMA-DTA statement. JAMA. 2018;319(4).",Preferred Reporting Items for a Systematic Review and Meta-analysis of Diagnostic Test Accuracy Studies: the PRISMA-DTA statement,JAMA,2018,319,4,,,,Mcinnes M; Moher D; Thombs BD
9,"Whiting PF, Rutjes AW, Westwood ME. QUADAS-2: a revised tool for the quality assessment of diagnostic accuracy studies. Ann Intern Med. 2011;155(8).",QUADAS-2: a revised tool for the quality assessment of diagnostic accuracy studies,Ann Intern Med,2011,155,8,,,,Whiting PF; Rutjes AW; Westwood ME
10,"Hamza TH, Van Houwelingen HC, Stijnen T. The binomial distribution of meta-analysis was preferred to model within-study variability. J Clin Epidemiol. 2008;61(1).",The binomial distribution of meta-analysis was preferred to model within-study variability,J Clin Epidemiol,2008,61,1,,,,Hamza TH; Van Houwelingen HC; Stijnen T
11,"Nyaga VN, Arbyn M, Aerts M. Metaprop: a Stata command to perform metaanalysis of binomial data. Arch Public Health. 2014;72(1):39.",Metaprop: a Stata command to perform metaanalysis of binomial data,Arch Public Health,2014,72,1,39,,,Nyaga VN; Arbyn M; Aerts M
12,"Wallace BC, Schmid CH, Lau J, Trikalinos TA. Meta-Analyst: software for meta-analysis of binary, continuous and diagnostic data. BMC Med Res Methodol. 2009;9:80.","Meta-Analyst: software for meta-analysis of binary, continuous and diagnostic data",BMC Med Res Methodol,2009,9,,80,,,Wallace BC; Schmid CH; Lau J; Trikalinos TA
13,"Leeflang MM, Deeks JJ, Gatsonis C, Bossuyt PM. Cochrane Diagnostic Test Accuracy Working Group. Systematic reviews of diagnostic test accuracy. Ann Intern Med. 2008;149(12).",Cochrane Diagnostic Test Accuracy Working Group. Systematic reviews of diagnostic test accuracy,Ann Intern Med,2008,149,12,,,,Leeflang MM; Deeks JJ; Gatsonis C; Bossuyt PM
14,"Higgins JP, Thompson SG, Deeks JJ, Altman DG. Measuring inconsistency in meta-analyses. BMJ. 2003;327(7414).",Measuring inconsistency in meta-analyses,BMJ,2003,327,7414,,,,Higgins JP; Thompson SG; Deeks JJ; Altman DG
15,"Sun X, Ioannidis J, Agoritsas T, Alba AC, Guyatt G. How to use a subgroup analysis. User's Guides to the Medical Literature. 2015;None.",How to use a subgroup analysis,User's Guides to the Medical Literature,2015,,,,,,Sun X; Ioannidis J; Agoritsas T; Alba AC; Guyatt G
16,"Macaskill P, Walter SD, Irwig L. A comparison of methods to detect publication bias in meta-analysis. Stat Med. 2001;20(4).",A comparison of methods to detect publication bias in meta-analysis,Stat Med,2001,20,4,,,,Macaskill P; Walter SD; Irwig L
17,"Thompson SG, Higgins JP. How should meta-regression analyses be undertaken and interpreted?. Stat Med. 2002;21(11).",How should meta-regression analyses be undertaken and interpreted?,Stat Med,2002,21,11,,,,Thompson SG; Higgins JP
18,"Schunemann HJ, Oxman AD, Brozek J. Grading quality of evidence and strength of recommendations for diagnostic tests and strategies. BMJ. 2008;336(7653).",Grading quality of evidence and strength of recommendations for diagnostic tests and strategies,BMJ,2008,336,7653,,,,Schunemann HJ; Oxman AD; Brozek J
19,"Becker H, Herth F, Ernst A, Schwarz Y. Bronchoscopic biopsy of peripheral lung lesions under electromagnetic guidance: a pilot study. J Bronchol. 2005;12(1).",Bronchoscopic biopsy of peripheral lung lesions under electromagnetic guidance: a pilot study,J Bronchol,2005,12,1,,,,Becker H; Herth F; Ernst A; Schwarz Y
20,"Hautmann H, Schneider A, Pinkau T, Peltz F, Feussner H. Electromagnetic catheter navigation during bronchoscopy: validation of a novel method by conventional fluoroscopy. Chest. 2005;128(1).",Electromagnetic catheter navigation during bronchoscopy: validation of a novel method by conventional fluoroscopy,Chest,2005,128,1,,,,Hautmann H; Schneider A; Pinkau T; Peltz F; Feussner H
21,"Gildea TR, Mazzone PJ, Karnak D, Meziane M, Mehta AC. Electromagnetic navigation diagnostic bronchoscopy: a prospective study. Am J Respir Crit Care Med. 2006;174(9).",Electromagnetic navigation diagnostic bronchoscopy: a prospective study,Am J Respir Crit Care Med,2006,174,9,,,,Gildea TR; Mazzone PJ; Karnak D; Meziane M; Mehta AC
22,"Schwarz Y, Greif J, Becker HD, Ernst A, Mehta A. Real-time electromagnetic navigation bronchoscopy to peripheral lung lesions using overlaid CT images: the first human study. Chest. 2006;129(4).",Real-time electromagnetic navigation bronchoscopy to peripheral lung lesions using overlaid CT images: the first human study,Chest,2006,129,4,,,,Schwarz Y; Greif J; Becker HD; Ernst A; Mehta A
23,"Eberhardt R, Anantham D, Ernst A, Feller-Kopman D, Herth F. Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial. Am J Respir Crit Care Med. 2007;176(1).",Multimodality bronchoscopic diagnosis of peripheral lung lesions: a randomized controlled trial,Am J Respir Crit Care Med,2007,176,1,,,,Eberhardt R; Anantham D; Ernst A; Feller-Kopman D; Herth F
24,"Eberhardt R, Anantham D, Herth F, Feller-Kopman D, EA. Electromagnetic navigation diagnostic bronchoscopy in peripheral lung lesions. Chest. 2007;131(6).",Electromagnetic navigation diagnostic bronchoscopy in peripheral lung lesions,Chest,2007,131,6,,,,Eberhardt R; Anantham D; Herth F; Feller-Kopman D; EA
25,"Makris D, Scherpereel A, Leroy S. Electromagnetic navigation diagnostic bronchoscopy for small peripheral lung lesions. Eur Respir J. 2007;29(6).",Electromagnetic navigation diagnostic bronchoscopy for small peripheral lung lesions,Eur Respir J,2007,29,6,,,,Makris D; Scherpereel A; Leroy S
