#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Kunz PL. Carcinoid and neuroendocrine tumors: building on success. J Clin Oncol. 2015;16.,Carcinoid and neuroendocrine tumors: building on success,J Clin Oncol,2015,16,,,,,Kunz PL
2,"Dasari A, Shen C, Halperin D. Trends in the incidence, prevalence, and survival outcomes in patients with neuroendocrine tumors in the United States. JAMA Oncol. 2017;3.","Trends in the incidence, prevalence, and survival outcomes in patients with neuroendocrine tumors in the United States",JAMA Oncol,2017,3,,,,,Dasari A; Shen C; Halperin D
3,"Thomas R, Christopher DJ, Balamugesh T. Clinico-pathologic study of pulmonary carcinoid tumours: a retrospective analysis and review of literature. Respir Med. 2008;102.",Clinico-pathologic study of pulmonary carcinoid tumours: a retrospective analysis and review of literature,Respir Med,2008,102,,,,,Thomas R; Christopher DJ; Balamugesh T
4,"Filosso PL, Rena O, Donati G. Bronchial carcinoid tumors: surgical management and long-term outcome. J Thorac Cardiovasc Surg. 2002;123.",Bronchial carcinoid tumors: surgical management and long-term outcome,J Thorac Cardiovasc Surg,2002,123,,,,,Filosso PL; Rena O; Donati G
5,"Rea F, Binda R, Spreafico G. Bronchial carcinoids: a review of 60 patients. Ann Thorac Surg. 1989;47.",Bronchial carcinoids: a review of 60 patients,Ann Thorac Surg,1989,47,,,,,Rea F; Binda R; Spreafico G
6,"Fink G, Krelbaum T, Yellin A. Pulmonary carcinoid: presentation, diagnosis, and outcome in 142 cases in Israel and review of 640 cases from the literature. Chest. 2001;119.","Pulmonary carcinoid: presentation, diagnosis, and outcome in 142 cases in Israel and review of 640 cases from the literature",Chest,2001,119,,,,,Fink G; Krelbaum T; Yellin A
7,"Rand D, Blaikley IA, Booton J, R. British Thoracic Society guideline for diagnostic flexible bronchoscopy in adults: accredited by NICE. Thorax. 2013;68(Suppl 1).",British Thoracic Society guideline for diagnostic flexible bronchoscopy in adults: accredited by NICE,Thorax,2013,68,Suppl 1,,,,Rand D; Blaikley IA; Booton J; R
8,"Travis WD. World Health Organization. International Agency for Research on Cancer. Pathology and Genetics of Tumours of the Lung, Pleura, Thymus and Heart. 2004;None.",World Health Organization,"International Agency for Research on Cancer. Pathology and Genetics of Tumours of the Lung, Pleura, Thymus and Heart",2004,,,,,,Travis WD
9,"Todd TR, Cooper JD, Weissberg D. Bronchial carcinoid tumors: twenty years' experience. J Thorac Cardiovasc Surg. 1980;79.",Bronchial carcinoid tumors: twenty years' experience,J Thorac Cardiovasc Surg,1980,79,,,,,Todd TR; Cooper JD; Weissberg D
10,"Hurt R, Bates M. Carcinoid tumours of the bronchus: a 33 year experience. Thorax. 1984;39.",Carcinoid tumours of the bronchus: a 33 year experience,Thorax,1984,39,,,,,Hurt R; Bates M
11,"Mccaughan BC, Martini N, Bains MS. Bronchial carcinoids. Review of 124 cases. J Thorac Cardiovasc Surg. 1985;89.",Bronchial carcinoids. Review of 124 cases,J Thorac Cardiovasc Surg,1985,89,,,,,Mccaughan BC; Martini N; Bains MS
12,"Conley YD, Cafoncelli AR, Khan JH. Bronchial carcinoid tumor: experience over 20 years. Am Surg. 1992;58.",Bronchial carcinoid tumor: experience over 20 years,Am Surg,1992,58,,,,,Conley YD; Cafoncelli AR; Khan JH
