#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Non-small cell lung cancer (PDQ): Treatment. Non-small cell lung cancer (PDQ): Treatment. 2005;None.,Non-small cell lung cancer (PDQ): Treatment,Non-small cell lung cancer (PDQ): Treatment,2005,,,,,,
2, Advisory Committee on Collaboration with Industry in Medical Education of the European School of Oncolofy (ESO) ; Vienna Medical Association . Consensus on medical treatment of non-small cell lung cancer. Lung Cancer. 2002;38(suppl 3).,Advisory Committee on Collaboration with Industry in Medical Education of the European School of Oncolofy (ESO) ; Vienna Medical Association . Consensus on medical treatment of non-small cell lung cancer,Lung Cancer,2002,38,suppl 3,,,,
3,"Baldwin DR, White B, Schmidt-Hansen M, Champion AR, Melder AM. Guideline Development Group. Diagnosis and treatment of lung cancer: summary of updated NICE guidance. BMJ. 2011;342:2110.",Guideline Development Group. Diagnosis and treatment of lung cancer: summary of updated NICE guidance,BMJ,2011,342,,2110,,,Baldwin DR; White B; Schmidt-Hansen M; Champion AR; Melder AM
4,"Lim E, Baldwin D, Beckles M. Guidelines on the radical management of patients with lung cancer. Thorax. 2010;65(suppl 3).",Guidelines on the radical management of patients with lung cancer,Thorax,2010,65,suppl 3,,,,Lim E; Baldwin D; Beckles M
5,"Brunelli A, Charloux A, Bolliger CT. ERS/ESTS clinical guidelines on fi tness for radical therapy in lung cancer patients (surgery and chemo-radiotherapy). Eur Respir J. 2009;34(1).",ERS/ESTS clinical guidelines on fi tness for radical therapy in lung cancer patients (surgery and chemo-radiotherapy),Eur Respir J,2009,34,1,,,,Brunelli A; Charloux A; Bolliger CT
6,"Muers MF, Haward RA. Management of lung cancer. Thorax. 1996;51(6).",Management of lung cancer,Thorax,1996,51,6,,,,Muers MF; Haward RA
7,"Brown JS, Eraut D, Trask C, Davison AG. Age and the treatment of lung cancer. Thorax. 1996;51(6).",Age and the treatment of lung cancer,Thorax,1996,51,6,,,,Brown JS; Eraut D; Trask C; Davison AG
8,"Coory M, Gkolia P, Yang IA, Bowman RV, Fong KM. Systematic review of multidisciplinary teams in the management of lung cancer. Lung Cancer. 2008;60(1).",Systematic review of multidisciplinary teams in the management of lung cancer,Lung Cancer,2008,60,1,,,,Coory M; Gkolia P; Yang IA; Bowman RV; Fong KM
9,"Price A, Kg, Gregor A, Ironside J, Little F. The impact of multidisciplinary teams and site specialisation on the use of radiotherapy in elderly people with non-small cell lung cancer (NSCLC). Radiotherapy and Oncology. 2002;64(suppl 1):23.",The impact of multidisciplinary teams and site specialisation on the use of radiotherapy in elderly people with non-small cell lung cancer (NSCLC),Radiotherapy and Oncology,2002,64,suppl 1,23,,,Price A; Kg; Gregor A; Ironside J; Little F
10,"Forrest LM, Mcmillan DC, Mcardle CS, Dunlop DJ. An evaluation of the impact of a multidisciplinary team, in a single centre, on treatment and survival in patients with inoperable non-small-cell lung cancer. Br J Cancer. 2005;93(9).","An evaluation of the impact of a multidisciplinary team, in a single centre, on treatment and survival in patients with inoperable non-small-cell lung cancer",Br J Cancer,2005,93,9,,,,Forrest LM; Mcmillan DC; Mcardle CS; Dunlop DJ
11,"Bowen EF, Anderson JR, Me R. Improving surgical resection rates in lung cancer without a two stop service. Thorax. 2003;58(4):368.",Improving surgical resection rates in lung cancer without a two stop service,Thorax,2003,58,4,368,,,Bowen EF; Anderson JR; Me R
12,"Davison AG, Eraut CD, Haque AS. Telemedicine for multidisciplinary lung cancer meetings. J Telemed Telecare. 2004;10(3).",Telemedicine for multidisciplinary lung cancer meetings,J Telemed Telecare,2004,10,3,,,,Davison AG; Eraut CD; Haque AS
13,"Boxer MM, Vinod SK, Shafi Q J, Duggan KJ. Do multidisciplinary team meetings make a difference in the management of lung cancer?. Cancer. 2011;117(22).",Do multidisciplinary team meetings make a difference in the management of lung cancer?,Cancer,2011,117,22,,,,Boxer MM; Vinod SK; Shafi Q J; Duggan KJ
14,"Freeman RK, Van Woerkom JM, Vyverberg A, Ascioti AJ. The effect of a multidisciplinary thoracic malignancy conference on the treatment of patients with lung cancer. Eur J Cardiothorac Surg. 2010;38(1).",The effect of a multidisciplinary thoracic malignancy conference on the treatment of patients with lung cancer,Eur J Cardiothorac Surg,2010,38,1,,,,Freeman RK; Van Woerkom JM; Vyverberg A; Ascioti AJ
15,"Dowie J, Wildman M. Choosing the surgical mortality threshold for high risk patients with stage Ia non-small cell lung cancer: insights from decision analysis. Thorax. 2002;57(1).",Choosing the surgical mortality threshold for high risk patients with stage Ia non-small cell lung cancer: insights from decision analysis,Thorax,2002,57,1,,,,Dowie J; Wildman M
16,"Pallis AG, Gridelli C, Van Meerbeeck JP. EORTC Elderly Task Force and Lung Cancer Group and International Society for Geriatric Oncology (SIOG) experts' opinion for the treatment of non-small-cell lung cancer in an elderly population. Ann Oncol. 2010;21(4).",EORTC Elderly Task Force and Lung Cancer Group and International Society for Geriatric Oncology (SIOG) experts' opinion for the treatment of non-small-cell lung cancer in an elderly population,Ann Oncol,2010,21,4,,,,Pallis AG; Gridelli C; Van Meerbeeck JP
17,"Brock MV, Kim MP, Hooker CM. Pulmonary resection in octogenarians with stage I nonsmall cell lung cancer: a 22-year experience. Ann Thorac Surg. 2004;77(1).",Pulmonary resection in octogenarians with stage I nonsmall cell lung cancer: a 22-year experience,Ann Thorac Surg,2004,77,1,,,,Brock MV; Kim MP; Hooker CM
18,"Port JL, Kent M, Korst RJ. Surgical resection for lung cancer in the octogenarian. Chest. 2004;126(3).",Surgical resection for lung cancer in the octogenarian,Chest,2004,126,3,,,,Port JL; Kent M; Korst RJ
19,"Allen MS, Darling GE, Pechet TT. Morbidity and mortality of major pulmonary References. Morbidity and mortality of major pulmonary References. 0030;None.",Morbidity and mortality of major pulmonary References,Morbidity and mortality of major pulmonary References,0030,,,,,,Allen MS; Darling GE; Pechet TT
20,"Lewis SZ, Diekemper R, Dj A. Methodology for development of guidelines for lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Methodology for development of guidelines for lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Lewis SZ; Diekemper R; Dj A
21,"Beckles MA, Spiro SG, Colice GL, Rudd R, Of C, Physicians. The physiologic evaluation of patients with lung cancer being considered for resectional surgery. Chest. 2003;123(suppl 1).",The physiologic evaluation of patients with lung cancer being considered for resectional surgery,Chest,2003,123,suppl 1,,,,Beckles MA; Spiro SG; Colice GL; Rudd R; Of C; Physicians
