#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Sim YT, Poon FW. Imaging of solitary pulmonary nodule-a clinical review. Quant Imaging Med Surg. 2013;3.",Imaging of solitary pulmonary nodule-a clinical review,Quant Imaging Med Surg,2013,3,,,,,Sim YT; Poon FW
2,"Yarmus LB, Arias S, Feller-Kopman D. Electromagnetic navigation transthoracic needle aspiration for the diagnosis of pulmonary nodules: a safety and feasibility pilot study. J Thorac Dis. 2016;8.",Electromagnetic navigation transthoracic needle aspiration for the diagnosis of pulmonary nodules: a safety and feasibility pilot study,J Thorac Dis,2016,8,,,,,Yarmus LB; Arias S; Feller-Kopman D
3,"Swensen SJ, Silverstein MD, Ilstrup DM. The probability of malignancy in solitary pulmonary nodules. Application to small radiologically indeterminate nodules. Arch Intern Med. 1997;157.",The probability of malignancy in solitary pulmonary nodules. Application to small radiologically indeterminate nodules,Arch Intern Med,1997,157,,,,,Swensen SJ; Silverstein MD; Ilstrup DM
4,"Lung N, Trial Research S, Team, Aberle DR, Adams AM. Reduced lung-cancer mortality with low-dose computed tomographic screening. N Engl J Med. 2011;365.",Reduced lung-cancer mortality with low-dose computed tomographic screening,N Engl J Med,2011,365,,,,,Lung N; Trial Research S; Team; Aberle DR; Adams AM
5,"Howlader N, Noone AM, Krapcho M. SEER Cancer Statistics Review, 1975-2013. SEER Cancer Statistics Review, 1975-2013. 2016;None.","SEER Cancer Statistics Review, 1975-2013","SEER Cancer Statistics Review, 1975-2013",2016,,,,,,Howlader N; Noone AM; Krapcho M
6,"Gould MK, Donington J, Lynch WR. Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Evaluation of individuals with pulmonary nodules: when is it lung cancer? Diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Gould MK; Donington J; Lynch WR
7,"Paul S, Altorki NK, Sheng S. Thoracoscopic lobectomy is associated with lower morbidity than open lobectomy: a propensity-matched analysis from the STS database. J Thorac Cardiovasc Surg. 2010;139.",Thoracoscopic lobectomy is associated with lower morbidity than open lobectomy: a propensity-matched analysis from the STS database,J Thorac Cardiovasc Surg,2010,139,,,,,Paul S; Altorki NK; Sheng S
8,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(Suppl 5).","Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,Suppl 5,,,,Rivera MP; Mehta AC; Wahidi MM
9,"Wiener RS, Schwartz LM, Woloshin S, Welch HG. Population-based risk for complications after transthoracic needle lung biopsy of a pulmonary nodule: an analysis of discharge records. Ann Intern Med. 2011;155.",Population-based risk for complications after transthoracic needle lung biopsy of a pulmonary nodule: an analysis of discharge records,Ann Intern Med,2011,155,,,,,Wiener RS; Schwartz LM; Woloshin S; Welch HG
10,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142.",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,,,,,Memoli W; Nietert JS; Silvestri PJ; GA
11,"Schreiber G, Mccrory DC. Performance characteristics of different modalities for diagnosis of suspected lung cancer: summary of published evidence. Chest. 2003;123.",Performance characteristics of different modalities for diagnosis of suspected lung cancer: summary of published evidence,Chest,2003,123,,,,,Schreiber G; Mccrory DC
12,"Baaklini WA, Reinoso MA, Gorin AB. Diagnostic yield of fiberoptic bronchoscopy in evaluating solitary pulmonary nodules. Chest. 2000;117.",Diagnostic yield of fiberoptic bronchoscopy in evaluating solitary pulmonary nodules,Chest,2000,117,,,,,Baaklini WA; Reinoso MA; Gorin AB
13,"Bauer TL, Berkheim DB. Bronchoscopy: diagnostic and therapeutic for non-small cell lung cancer. Surg Oncol Clin N Am. 2016;25.",Bronchoscopy: diagnostic and therapeutic for non-small cell lung cancer,Surg Oncol Clin N Am,2016,25,,,,,Bauer TL; Berkheim DB
14,"Schwarz Y, Greif J, Becker HD. Real-time electromagnetic navigation bronchoscopy to peripheral lung lesions using overlaid CT images: the first human study. Chest. 2006;129.",Real-time electromagnetic navigation bronchoscopy to peripheral lung lesions using overlaid CT images: the first human study,Chest,2006,129,,,,,Schwarz Y; Greif J; Becker HD
15,"Rooney CP, Wolf K, Mclennan G. Ultrathin bronchoscopy as an adjunct to standard bronchoscopy in the diagnosis of peripheral lung lesions. Respiration. 2002;69.",Ultrathin bronchoscopy as an adjunct to standard bronchoscopy in the diagnosis of peripheral lung lesions,Respiration,2002,69,,,,,Rooney CP; Wolf K; Mclennan G
16,"Schuurmans MM, Michaud GC, Diacon AH, Bolliger CT. Use of an ultrathin bronchoscope in the assessment of central airway obstruction. Chest. 2003;124.",Use of an ultrathin bronchoscope in the assessment of central airway obstruction,Chest,2003,124,,,,,Schuurmans MM; Michaud GC; Diacon AH; Bolliger CT
17,"Arias S, Yarmus L, Argento AC. Navigational transbronchial needle aspiration, percutaneous needle aspiration and its future. J Thorac Dis. 2015;7(Suppl 4).","Navigational transbronchial needle aspiration, percutaneous needle aspiration and its future",J Thorac Dis,2015,7,Suppl 4,,,,Arias S; Yarmus L; Argento AC
18,"Asano F, Eberhardt R, Herth FJ. Virtual bronchoscopic navigation for peripheral pulmonary lesions. Respiration. 2014;88.",Virtual bronchoscopic navigation for peripheral pulmonary lesions,Respiration,2014,88,,,,,Asano F; Eberhardt R; Herth FJ
19,"Balamugesh T, Herth FJ. Endobronchial ultrasound: a new innovation in bronchoscopy. Lung India. 2009;26.",Endobronchial ultrasound: a new innovation in bronchoscopy,Lung India,2009,26,,,,,Balamugesh T; Herth FJ
20,"Eberhardt R, Anantham D, Herth F. Electromagnetic navigation diagnostic bronchoscopy in peripheral lung lesions. Chest. 2007;131.",Electromagnetic navigation diagnostic bronchoscopy in peripheral lung lesions,Chest,2007,131,,,,,Eberhardt R; Anantham D; Herth F
21,"Ost DE, Ernst A, Lei X. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry. Am J Respir Crit Care Med. 2016;193.",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions. Results of the AQuIRE registry,Am J Respir Crit Care Med,2016,193,,,,,Ost DE; Ernst A; Lei X
