#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Wahidi MM, Herth FJ, Ernst A. State of the art: interventional pulmonology. Chest. 2007;131(1).",State of the art: interventional pulmonology,Chest,2007,131,1,,,,Wahidi MM; Herth FJ; Ernst A
2,Wahidi MM. Interventional pulmonology: marching forward together. J Bronchology Interv Pulmonol. 2016;23(2).,Interventional pulmonology: marching forward together,J Bronchology Interv Pulmonol,2016,23,2,,,,Wahidi MM
3,"Mullon JJ, Burkart KM, Silvestri G. Interventional Pulmonology Fellowship accreditation standards: executive summary of the Multisociety Interventional Pulmonology Fellowship Accreditation Committee. Chest. 2017;151(5).",Interventional Pulmonology Fellowship accreditation standards: executive summary of the Multisociety Interventional Pulmonology Fellowship Accreditation Committee,Chest,2017,151,5,,,,Mullon JJ; Burkart KM; Silvestri G
4,"Lee HJ, Sachdeva A. Training program of interventional pulmonology fellowships: USA. J Thorac Dis. 2015;7(suppl 4).",Training program of interventional pulmonology fellowships: USA,J Thorac Dis,2015,7,suppl 4,,,,Lee HJ; Sachdeva A
5,"Lee HJ, Feller-Kopman D, Shepherd RW. Validation of an interventional pulmonary examination. Chest. 2013;143(6).",Validation of an interventional pulmonary examination,Chest,2013,143,6,,,,Lee HJ; Feller-Kopman D; Shepherd RW
6,"Lee HJ, Yarmus LB. The new application and match system for interventional pulmonology fellowships. J Bronchology Interv Pulmonol. 2011;18(1).",The new application and match system for interventional pulmonology fellowships,J Bronchology Interv Pulmonol,2011,18,1,,,,Lee HJ; Yarmus LB
7,"Mudambi L, Miller R, Eapen GA. Malignant central airway obstruction. J Thorac Dis. 2017;9(suppl 10).",Malignant central airway obstruction,J Thorac Dis,2017,9,suppl 10,,,,Mudambi L; Miller R; Eapen GA
8,"Toty L, Personne C, Colchen A, Vourc ', G. Bronchoscopic management of tracheal lesions using the neodynium yttrium aluminium garnet laser. Thorax. 1981;36.",Bronchoscopic management of tracheal lesions using the neodynium yttrium aluminium garnet laser,Thorax,1981,36,,,,,Toty L; Personne C; Colchen A; Vourc '; G
9,"Mahmood K, Wahidi MM. Ablative therapies for central airway obstruction. Semin Respir Crit Care Med. 2014;35(6).",Ablative therapies for central airway obstruction,Semin Respir Crit Care Med,2014,35,6,,,,Mahmood K; Wahidi MM
10,"Ernst A, Feller-Kopman D, Becker HD, Mehta AC. Central airway obstruction. Am J Respir Crit Care Med. 2004;169(12).",Central airway obstruction,Am J Respir Crit Care Med,2004,169,12,,,,Ernst A; Feller-Kopman D; Becker HD; Mehta AC
11,"Seaman JC, Musani AI. Endobronchial ablative therapies. Clin Chest Med. 2013;34(3).",Endobronchial ablative therapies,Clin Chest Med,2013,34,3,,,,Seaman JC; Musani AI
12,"Schreiber J, Hofman B, Schumann HJ, Rosahl W. Influence of oxygen concentration on argon plasma coagulation-induced tissue damage in isolated pig tracheas. Respiration. 2000;67(3).",Influence of oxygen concentration on argon plasma coagulation-induced tissue damage in isolated pig tracheas,Respiration,2000,67,3,,,,Schreiber J; Hofman B; Schumann HJ; Rosahl W
13,"Herth FJ, Eberhardt R, Ernst A. The future of bronchoscopy in diagnosing, staging and treatment of lung cancer. Respiration. 2006;73(4).","The future of bronchoscopy in diagnosing, staging and treatment of lung cancer",Respiration,2006,73,4,,,,Herth FJ; Eberhardt R; Ernst A
14,"Dibardino DM, Lanfranco AR, Haas AR. Bronchoscopic cryotherapy: clinical applications of the cryoprobe, cryospray, and cryoadhesion. Ann Am Thorac Soc. 2016;13(8).","Bronchoscopic cryotherapy: clinical applications of the cryoprobe, cryospray, and cryoadhesion",Ann Am Thorac Soc,2016,13,8,,,,Dibardino DM; Lanfranco AR; Haas AR
15,"Cavaliere S, Venuta F, Foccoli P, Toninelli C, Face L, B. Endoscopic treatment of malignant airway obstructions in 2,008 patients. Chest. 1996;110(6).","Endoscopic treatment of malignant airway obstructions in 2,008 patients",Chest,1996,110,6,,,,Cavaliere S; Venuta F; Foccoli P; Toninelli C; Face L; B
16,"Mahmood K, Wahidi MM, Thomas S. Therapeutic bronchoscopy improves spirometry, quality of life, and survival in central airway obstruction. Respiration. 2015;89(5).","Therapeutic bronchoscopy improves spirometry, quality of life, and survival in central airway obstruction",Respiration,2015,89,5,,,,Mahmood K; Wahidi MM; Thomas S
17,"Ost DE, Ernst A, Grosu HB. Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life. Chest. 2015;147(5).",Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life,Chest,2015,147,5,,,,Ost DE; Ernst A; Grosu HB
18,"Maziak DE, Markman BR, Mackay JA, Evans WK. Photodynamic therapy in nonsmall cell lung cancer: a systematic review. Ann Thorac Surg. 2004;77(4).",Photodynamic therapy in nonsmall cell lung cancer: a systematic review,Ann Thorac Surg,2004,77,4,,,,Maziak DE; Markman BR; Mackay JA; Evans WK
19,"Flannery A, Daneshvar C, Dutau H, Breen D. The art of rigid bronchoscopy and airway stenting. Clin Chest Med. 2018;39(1).",The art of rigid bronchoscopy and airway stenting,Clin Chest Med,2018,39,1,,,,Flannery A; Daneshvar C; Dutau H; Breen D
