#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Evans E, Biro P, Bedforth N. Jet ventilation. Continuing Education in Anaesthesia. 2007;7(1).",Jet ventilation,Continuing Education in Anaesthesia,2007,7,1,,,,Evans E; Biro P; Bedforth N
2,"Rouby J, Viars P. Clinical use of high frequency ventilation. Acta Anaesthesiologica Scandinavica, Supplement. 1989;33(90).",Clinical use of high frequency ventilation,"Acta Anaesthesiologica Scandinavica, Supplement",1989,33,90,,,,Rouby J; Viars P
3,"Bourgain J, Chollet M, Fischler M, Gueret G, Mayne A. Guide for the use of jet-ventilation during ENT and oral surgery. Annales Francaises d'Anesthesie et de Reanimation. 2010;29(10).",Guide for the use of jet-ventilation during ENT and oral surgery,Annales Francaises d'Anesthesie et de Reanimation,2010,29,10,,,,Bourgain J; Chollet M; Fischler M; Gueret G; Mayne A
4,Pawlowski J. Anesthetic considerations for interventional pulmonary procedures. Current Opinion in Anaesthesiology. 2013;26(1).,Anesthetic considerations for interventional pulmonary procedures,Current Opinion in Anaesthesiology,2013,26,1,,,,Pawlowski J
5,"Jiang Y, Kacmarek RM. Efficacy of superimposed high-frequency jet ventilation applied to variable degrees of tracheal Stenosis: one step forward to optimized patient care. Anesthesiology. 2015;123(4).",Efficacy of superimposed high-frequency jet ventilation applied to variable degrees of tracheal Stenosis: one step forward to optimized patient care,Anesthesiology,2015,123,4,,,,Jiang Y; Kacmarek RM
6,"Kraincuk P, Kepka A, Ihra G, Schabernig C, Aloy A. A new prototype of an electronic jet-ventilator and its humidification system. Critical Care. 1999;3(4).",A new prototype of an electronic jet-ventilator and its humidification system,Critical Care,1999,3,4,,,,Kraincuk P; Kepka A; Ihra G; Schabernig C; Aloy A
7,"Wood MJ, Lin ES, Thompson JP. Flow dynamics using high-frequency jet ventilation in a model of bronchopleural fistula. British Journal of Anaesthesia. 2014;112(2).",Flow dynamics using high-frequency jet ventilation in a model of bronchopleural fistula,British Journal of Anaesthesia,2014,112,2,,,,Wood MJ; Lin ES; Thompson JP
8,"Ihra G, Hieber C, Schabernig C. Supralaryngeal tubeless combined high-frequency jet ventilation for laser surgery of the larynx and trachea. British Journal of Anaesthesia. 1999;83(6).",Supralaryngeal tubeless combined high-frequency jet ventilation for laser surgery of the larynx and trachea,British Journal of Anaesthesia,1999,83,6,,,,Ihra G; Hieber C; Schabernig C
9,"Rezaie-Majd A, Bigenzahn W, Denk D. Superimposed high-frequency jet ventilation (SHFJV) for endoscopic laryngotracheal surgery in more than 1500 patients. British Journal of Anaesthesia. 2006;96(5).",Superimposed high-frequency jet ventilation (SHFJV) for endoscopic laryngotracheal surgery in more than 1500 patients,British Journal of Anaesthesia,2006,96,5,,,,Rezaie-Majd A; Bigenzahn W; Denk D
10,"Schragl E, Donner A, Grasl MC, Kashanipour A, Aloy A. Ventilation during tracheotomy in extensive, 90% laryngeal stenosis using superimposed high frequency jet ventilation via the jet laryngoscope. Laryngorhinootologie. 1995;74(4).","Ventilation during tracheotomy in extensive, 90% laryngeal stenosis using superimposed high frequency jet ventilation via the jet laryngoscope",Laryngorhinootologie,1995,74,4,,,,Schragl E; Donner A; Grasl MC; Kashanipour A; Aloy A
11,"Schragl E, Donner A, Kashanipour A, Gradwohl I, Ullrich R, Aloy A. Anesthesia in acute respiratory tract obstructions caused by high degree laryngeal and tracheobronchial stenoses. Anasthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie. 1994;29(5).",Anesthesia in acute respiratory tract obstructions caused by high degree laryngeal and tracheobronchial stenoses,"Anasthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie",1994,29,5,,,,Schragl E; Donner A; Kashanipour A; Gradwohl I; Ullrich R; Aloy A
