#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Introduction to bronchoscopy. Introduction to bronchoscopy. 2009;None.,Introduction to bronchoscopy,Introduction to bronchoscopy,2009,,,,,,
2,"Rand D, Blaikley IA, Booton J et al.. British thoracic society guideline for diagnostic flexible bronchoscopy in adults: accredited by NICE. Thorax. 2013;68(Suppl 1).",British thoracic society guideline for diagnostic flexible bronchoscopy in adults: accredited by NICE,Thorax,2013,68,Suppl 1,,,,Rand D; Blaikley IA; Booton J; Chaudhuri R; Gupta N; Khalid V; S
3," PICO process: wikipedia, the free encyclopedia. PICO process: wikipedia, the free encyclopedia. 2016;None.","PICO process: wikipedia, the free encyclopedia","PICO process: wikipedia, the free encyclopedia",2016,,,,,,
4,"Kanemoto K, Satoh H, Ishikawa H, Ishikawa S, Ohtsuka M, Sekizawa K. Prospective study of fever and pneumonia after flexible fiberoptic bronchoscopy in older people. J Am Geriatr Soc. 2006;54.",Prospective study of fever and pneumonia after flexible fiberoptic bronchoscopy in older people,J Am Geriatr Soc,2006,54,,,,,Kanemoto K; Satoh H; Ishikawa H; Ishikawa S; Ohtsuka M; Sekizawa K
5,"Elston WJ, Whittaker AJ, Khan LN, Flood-Page P, Ramsay C, Jeffery PK. Safety of research bronchoscopy, biopsy and bronchoalveolar lavage in asthma. Eur Respir J. 2004;24.","Safety of research bronchoscopy, biopsy and bronchoalveolar lavage in asthma",Eur Respir J,2004,24,,,,,Elston WJ; Whittaker AJ; Khan LN; Flood-Page P; Ramsay C; Jeffery PK
6,"Hattotuwa K, Gamble EA, Shaughnessy O, Jeffery T, Barnes PK, NC. Safety of bronchoscopy, biopsy, and BAL in research patients with COPD. Chest. 2002;122.","Safety of bronchoscopy, biopsy, and BAL in research patients with COPD",Chest,2002,122,,,,,Hattotuwa K; Gamble EA; Shaughnessy O; Jeffery T; Barnes PK; NC
7,"De Fenoyl O, Capron F, Lebeau B, Rochemaure J. Transbronchial biopsy without fluoroscopy: a five year experience in outpatients. Thorax. 1989;44.",Transbronchial biopsy without fluoroscopy: a five year experience in outpatients,Thorax,1989,44,,,,,De Fenoyl O; Capron F; Lebeau B; Rochemaure J
8,"Alzeer AH, Al-Otair HA, Ms A. Yield and complications of flexible fiberoptic bronchoscopy in a teaching hospital. Saudi Med J. 2008;29.",Yield and complications of flexible fiberoptic bronchoscopy in a teaching hospital,Saudi Med J,2008,29,,,,,Alzeer AH; Al-Otair HA; Ms A
9,"Brimacombe J, Tucker P, Simons S. The laryngeal mask airway for awake diagnostic bronchoscopy. A retrospective study of 200 consecutive patients. Eur J Anaesthesiol. 1995;12.",The laryngeal mask airway for awake diagnostic bronchoscopy. A retrospective study of 200 consecutive patients,Eur J Anaesthesiol,1995,12,,,,,Brimacombe J; Tucker P; Simons S
10,"Pue CA, Pacht ER. Complications of fiberoptic bronchoscopy at a university hospital. Chest. 1995;107.",Complications of fiberoptic bronchoscopy at a university hospital,Chest,1995,107,,,,,Pue CA; Pacht ER
11,"Milam MG, Evins AE, Sahn SA. Immediate chest roentgenography following fiberoptic bronchoscopy. Chest. 1989;96.",Immediate chest roentgenography following fiberoptic bronchoscopy,Chest,1989,96,,,,,Milam MG; Evins AE; Sahn SA
12,"Ahmad M, Livingston DR, Golish JA, Mehta AC, Wiedemann HP. The safety of outpatient transbronchial biopsy. Chest. 1986;90.",The safety of outpatient transbronchial biopsy,Chest,1986,90,,,,,Ahmad M; Livingston DR; Golish JA; Mehta AC; Wiedemann HP
13,"Hummel M, Rudert S, Hof H, Hehlmann R, Buchheidt D. Diagnostic yield of bronchoscopy with bronchoalveolar lavage in febrile patients with hematologic malignancies and pulmonary infiltrates. Ann Hematol. 2008;87.",Diagnostic yield of bronchoscopy with bronchoalveolar lavage in febrile patients with hematologic malignancies and pulmonary infiltrates,Ann Hematol,2008,87,,,,,Hummel M; Rudert S; Hof H; Hehlmann R; Buchheidt D
14,"Cazzadori A, Perri D, Todeschini G et al.. Transbronchial biopsy in the diagnosis of pulmonary infiltrates in immunocompromised patients. Chest. 1995;107.",Transbronchial biopsy in the diagnosis of pulmonary infiltrates in immunocompromised patients,Chest,1995,107,,,,,Cazzadori A; Perri D; Todeschini G; Luzzati G; Boschiero R; Perona L; G
15,"Fruchter O, Fridel L, Raouf E et al.. Histological diagnosis of interstitial lung diseases by cryo-transbronchial biopsy. Respirology. 2014;19(5).",Histological diagnosis of interstitial lung diseases by cryo-transbronchial biopsy,Respirology,2014,19,5,,,,Fruchter O; Fridel L; Raouf E; Abdel-Rahman BA; Rosengarten N; Kramer D; MR
16,"Kumar R, Gupta N. Role of bronchoscopy in evaluation of cases with sputum smear negative pulmonary tuberculosis, interstitial lung disease and lung malignancy: a retrospective study of 712 cases. Indian J Tuberc. 2015;62.","Role of bronchoscopy in evaluation of cases with sputum smear negative pulmonary tuberculosis, interstitial lung disease and lung malignancy: a retrospective study of 712 cases",Indian J Tuberc,2015,62,,,,,Kumar R; Gupta N
17,Thornton JA. Recent advances in local analgesia. Clinical experience with prilocaine. Proc R Soc Med. 1965;58.,Recent advances in local analgesia. Clinical experience with prilocaine,Proc R Soc Med,1965,58,,,,,Thornton JA
18,"Maranetra N, Pushpakom R, Bovornkitti S. Oxygen desaturation during fibreoptic bronchoscopy. J Med Assoc Thai. 1990;73.",Oxygen desaturation during fibreoptic bronchoscopy,J Med Assoc Thai,1990,73,,,,,Maranetra N; Pushpakom R; Bovornkitti S
19,"Van Vyve T, Chanez P, Bousquet J, Lacoste JY, Michel FB, Godard P. Safety of bronchoalveolar lavage and bronchial biopsies in patients with asthma of variable severity. Am Rev Respir Dis. 1992;146.",Safety of bronchoalveolar lavage and bronchial biopsies in patients with asthma of variable severity,Am Rev Respir Dis,1992,146,,,,,Van Vyve T; Chanez P; Bousquet J; Lacoste JY; Michel FB; Godard P
20,"Niwa H, Tanahashi M, Kondo T, Ohsaki Y, Okada Y, Sato S. Bronchoscopy in Japan: a survey by the Japan Society for Respiratory Endoscopy in 2006. Respirology. 2009;14.",Bronchoscopy in Japan: a survey by the Japan Society for Respiratory Endoscopy in 2006,Respirology,2009,14,,,,,Niwa H; Tanahashi M; Kondo T; Ohsaki Y; Okada Y; Sato S
21,"Simpson FG, Arnold AG, Purvis A, Belfield PW, Muers MF, Cooke NJ. Postal survey of bronchoscopic practice by physicians in the United Kingdom. Thorax. 1986;41.",Postal survey of bronchoscopic practice by physicians in the United Kingdom,Thorax,1986,41,,,,,Simpson FG; Arnold AG; Purvis A; Belfield PW; Muers MF; Cooke NJ
22,"Suratt PM, Smiddy JF, Gruber B. Deaths and complications associated with fiberoptic bronchoscopy. Chest. 1976;69.",Deaths and complications associated with fiberoptic bronchoscopy,Chest,1976,69,,,,,Suratt PM; Smiddy JF; Gruber B
23,"Herman PG, Hessel SJ. The diagnostic accuracy and complications of closed lung biopsies. Radiology. 1977;125.",The diagnostic accuracy and complications of closed lung biopsies,Radiology,1977,125,,,,,Herman PG; Hessel SJ
24,"Facciolongo N, Patelli M, Gasparini S et al.. Incidence of complications in bronchoscopy. Multicentre prospective study of 20,986 bronchoscopies. Monaldi Arch Chest Dis. 2009;71.","Incidence of complications in bronchoscopy. Multicentre prospective study of 20,986 bronchoscopies",Monaldi Arch Chest Dis,2009,71,,,,,Facciolongo N; Patelli M; Gasparini S; Agli L; Salio L; Simonassi M; C
25,"Mcwilliams TJ, Williams TJ, Whitford HM, Snell GI. Surveillance bronchoscopy in lung transplant recipients: risk versus benefit. J Heart Lung Transplant. 2008;27.",Surveillance bronchoscopy in lung transplant recipients: risk versus benefit,J Heart Lung Transplant,2008,27,,,,,Mcwilliams TJ; Williams TJ; Whitford HM; Snell GI
26,"Izbicki G, Shitrit D, Yarmolovsky A, Bendayan D, Miller G, Fink G. Is routine chest radiography after transbronchial biopsy necessary?: a prospective study of 350 cases. Chest. 2006;129.",Is routine chest radiography after transbronchial biopsy necessary?: a prospective study of 350 cases,Chest,2006,129,,,,,Izbicki G; Shitrit D; Yarmolovsky A; Bendayan D; Miller G; Fink G
27,"Chhajed PN, Aboyoun C, Malouf MA, Hopkins PM, Plit ML, Glanville AR. Risk factors and management of bleeding associated with transbronchial lung biopsy in lung transplant recipients. J Heart Lung Transplant. 2003;22.",Risk factors and management of bleeding associated with transbronchial lung biopsy in lung transplant recipients,J Heart Lung Transplant,2003,22,,,,,Chhajed PN; Aboyoun C; Malouf MA; Hopkins PM; Plit ML; Glanville AR
28,"Mtunthama N, Malamba R, French N, Molyneux ME, Zijlstra EE, Gordon SB. Malawians permit research bronchoscopy due to perceived need for healthcare. J Med Ethics. 2008;34.",Malawians permit research bronchoscopy due to perceived need for healthcare,J Med Ethics,2008,34,,,,,Mtunthama N; Malamba R; French N; Molyneux ME; Zijlstra EE; Gordon SB
29,"Fang WF, Chen YC, Chung YH, Woon WT, Tseng CC, Chang HW. Predictors of oxygen desaturation in patients undergoing diagnostic bronchoscopy. Chang Gung Med J. 2006;29.",Predictors of oxygen desaturation in patients undergoing diagnostic bronchoscopy,Chang Gung Med J,2006,29,,,,,Fang WF; Chen YC; Chung YH; Woon WT; Tseng CC; Chang HW
30,"Mitsumune T, Senoh E, Adachi M. Prediction of patient discomfort during fibreoptic bronchoscopy. Respirology. 2005;10.",Prediction of patient discomfort during fibreoptic bronchoscopy,Respirology,2005,10,,,,,Mitsumune T; Senoh E; Adachi M
31,"White P, Bonacum JT, Miller CB. Utility of fiberoptic bronchoscopy in bone marrow transplant patients. Bone Marrow Transplant. 1997;20.",Utility of fiberoptic bronchoscopy in bone marrow transplant patients,Bone Marrow Transplant,1997,20,,,,,White P; Bonacum JT; Miller CB
32,"Dhillon DP, Haslam PL, Townsend PJ, Primett Z, Collins JV, Turner-Warwick M. Bronchoalveolar lavage in patients with interstitial lung diseases: side effects and factors affecting fluid recovery. Eur J Respir Dis. 1986;68.",Bronchoalveolar lavage in patients with interstitial lung diseases: side effects and factors affecting fluid recovery,Eur J Respir Dis,1986,68,,,,,Dhillon DP; Haslam PL; Townsend PJ; Primett Z; Collins JV; Turner-Warwick M
33,"Straja AM, Munro DD, Gilbert RG. Bronchoscopy with the aid of diazepam. Can Anaesth Soc J. 1969;16.",Bronchoscopy with the aid of diazepam,Can Anaesth Soc J,1969,16,,,,,Straja AM; Munro DD; Gilbert RG
34,"Shrader DL, Lakshminarayan S. The effect of fiberoptic bronchoscopy on cardiac rhythm. Chest. 1978;73.",The effect of fiberoptic bronchoscopy on cardiac rhythm,Chest,1978,73,,,,,Shrader DL; Lakshminarayan S
35,"Hernandez Blasco L, Hernandez S, IM et al.. Safety of the transbronchial biopsy in outpatients. Chest. 1991;99.",Safety of the transbronchial biopsy in outpatients,Chest,1991,99,,,,,Hernandez Blasco L; Hernandez S; IM; Garrido V; De V; Poch M; E; Delgado N; M; Abreu A; J
36,"Afsar S, Choudhri AN, Talib A, Farooqi T, Pasha MJ. Oxygen desaturation during fiberoptic bronchoscopy. J Pak Med Assoc. 1992;42.",Oxygen desaturation during fiberoptic bronchoscopy,J Pak Med Assoc,1992,42,,,,,Afsar S; Choudhri AN; Talib A; Farooqi T; Pasha MJ
37,"Graham DR, Hay JG, Clague J, Nisar M, Earis JE. Comparison of three different methods used to achieve local anesthesia for fiberoptic bronchoscopy. Chest. 1992;102.",Comparison of three different methods used to achieve local anesthesia for fiberoptic bronchoscopy,Chest,1992,102,,,,,Graham DR; Hay JG; Clague J; Nisar M; Earis JE
38,"Stather DR, Maceachern P, Chee A, Dumoulin E, Tremblay A. Trainee impact on procedural complications: an analysis of 967 consecutive flexible bronchoscopy procedures in an interventional pulmonology practice. Respiration. 2013;85.",Trainee impact on procedural complications: an analysis of 967 consecutive flexible bronchoscopy procedures in an interventional pulmonology practice,Respiration,2013,85,,,,,Stather DR; Maceachern P; Chee A; Dumoulin E; Tremblay A
39,"Joos L, Patuto N, Chhajed PN, Tamm M. Diagnostic yield of flexible bronchoscopy in current clinical practice. Swiss Med Wkly. 2006;136.",Diagnostic yield of flexible bronchoscopy in current clinical practice,Swiss Med Wkly,2006,136,,,,,Joos L; Patuto N; Chhajed PN; Tamm M
40,"Frazier WD, Pope TL, Jr, Findley LJ. Pneumothorax following transbronchial biopsy. Low diagnostic yield with routine chest roentgenograms. Chest. 1990;97.",Pneumothorax following transbronchial biopsy. Low diagnostic yield with routine chest roentgenograms,Chest,1990,97,,,,,Frazier WD; Pope TL; Jr; Findley LJ
41,"Anders GT, Johnson JE, Bush BA, Matthews JI. Transbronchial biopsy without fluoroscopy. A seven-year perspective. Chest. 1988;94.",Transbronchial biopsy without fluoroscopy. A seven-year perspective,Chest,1988,94,,,,,Anders GT; Johnson JE; Bush BA; Matthews JI
42,"Huang L, Hecht FM, Stansell JD, Montanti R, Hadley WK, Hopewell PC. Suspected Pneumocystis carinii pneumonia with a negative induced sputum examination. Is early bronchoscopy useful?. Am J Respir Crit Care Med. 1995;151.",Suspected Pneumocystis carinii pneumonia with a negative induced sputum examination. Is early bronchoscopy useful?,Am J Respir Crit Care Med,1995,151,,,,,Huang L; Hecht FM; Stansell JD; Montanti R; Hadley WK; Hopewell PC
43,"Mainland PA, Kong AS, Chung DC, Chan CH, Lai CK. Absorption of lidocaine during aspiration anesthesia of the airway. J Clin Anesth. 2001;13.",Absorption of lidocaine during aspiration anesthesia of the airway,J Clin Anesth,2001,13,,,,,Mainland PA; Kong AS; Chung DC; Chan CH; Lai CK
44,"Zainudin BM, Rafia MH, Sufarlan AW. Topical nasal anaesthesia for fibreoptic bronchoscopy: lignocaine spray or gel?. Singapore Med J. 1993;34.",Topical nasal anaesthesia for fibreoptic bronchoscopy: lignocaine spray or gel?,Singapore Med J,1993,34,,,,,Zainudin BM; Rafia MH; Sufarlan AW
45,"Greig JH, Cooper SM, Kasimbazi HJ, Monie RD, Fennerty AG, Watson B. Sedation for fibre optic bronchoscopy. Respir Med. 1995;89.",Sedation for fibre optic bronchoscopy,Respir Med,1995,89,,,,,Greig JH; Cooper SM; Kasimbazi HJ; Monie RD; Fennerty AG; Watson B
46,"Teale C, Gomes PJ, Muers MF, Pearson SB. Local anaesthesia for fibreoptic bronchoscopy: comparison between intratracheal cocaine and lignocaine. Respir Med. 1990;84.",Local anaesthesia for fibreoptic bronchoscopy: comparison between intratracheal cocaine and lignocaine,Respir Med,1990,84,,,,,Teale C; Gomes PJ; Muers MF; Pearson SB
47,"Keane D, Mcnicholas WT. Comparison of nebulized and sprayed topical anaesthesia for fibreoptic bronchoscopy. Eur Respir J. 1992;5.",Comparison of nebulized and sprayed topical anaesthesia for fibreoptic bronchoscopy,Eur Respir J,1992,5,,,,,Keane D; Mcnicholas WT
48,"Hamad S, Al-Alawi M, Devaney N, Subramaniam A, Lane S. Evaluation of the efficacy of transcricoid lignocaine as adjunctive local anaesthesia for fiberoptic bronchoscopy. Ir J Med Sci. 2015;184.",Evaluation of the efficacy of transcricoid lignocaine as adjunctive local anaesthesia for fiberoptic bronchoscopy,Ir J Med Sci,2015,184,,,,,Hamad S; Al-Alawi M; Devaney N; Subramaniam A; Lane S
49,"Griff S, Schonfeld N, Ammenwerth W, Blum TG, Grah C, Bauer TT. Diagnostic yield of transbronchial cryobiopsy in non-neoplastic lung disease: a retrospective case series. BMC Pulm Med. 2014;14:171.",Diagnostic yield of transbronchial cryobiopsy in non-neoplastic lung disease: a retrospective case series,BMC Pulm Med,2014,14,,171,,,Griff S; Schonfeld N; Ammenwerth W; Blum TG; Grah C; Bauer TT
50,"Gilbert CR, Lerner A, Baram M, Awsare BK. Utility of flexible bronchoscopy in the evaluation of pulmonary infiltrates in the hematopoietic stem cell transplant population Á a single center fourteen year experience. Arch Bronconeumol. 2013;49.",Utility of flexible bronchoscopy in the evaluation of pulmonary infiltrates in the hematopoietic stem cell transplant population Á a single center fourteen year experience,Arch Bronconeumol,2013,49,,,,,Gilbert CR; Lerner A; Baram M; Awsare BK
