#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Jemal A, Bray F, Center MM, Ferlay J, Ward E, Forman D. Global cancer statistics. CA Cancer J Clin. 2011;61.",Global cancer statistics,CA Cancer J Clin,2011,61,,,,,Jemal A; Bray F; Center MM; Ferlay J; Ward E; Forman D
2,"Uy KL, Darling G, Xu W et al.. Improved results of induction chemoradiation before surgical intervention for selected patients with stage IIIA-N2 non-small cell lung cancer. J Thorac Cardiovasc Surg. 2007;134.",Improved results of induction chemoradiation before surgical intervention for selected patients with stage IIIA-N2 non-small cell lung cancer,J Thorac Cardiovasc Surg,2007,134,,,,,Uy KL; Darling G; Xu W; Yi QL; Perrot D; Pierre M; AF
3,"Hammoud ZT, Anderson RC, Meyers BF, Guthrie TJ, Roper CL, Cooper JD. The current role of mediastinoscopy in the evaluation of thoracic disease. J Thorac Cardiovasc Surg. 1999;118.",The current role of mediastinoscopy in the evaluation of thoracic disease,J Thorac Cardiovasc Surg,1999,118,,,,,Hammoud ZT; Anderson RC; Meyers BF; Guthrie TJ; Roper CL; Cooper JD
4,"Kirby T, Fell S. Mediastinoscopy. Thoracic Surgery. 2002;None.",Mediastinoscopy,Thoracic Surgery,2002,,,,,,Kirby T; Fell S
5,"Yasufuku K, Fujisawa T. Staging and diagnosis of non-small lung cancer: invasive modalities. Respirology. 2007;12.",Staging and diagnosis of non-small lung cancer: invasive modalities,Respirology,2007,12,,,,,Yasufuku K; Fujisawa T
6,"Detterbeck FC, Jantz MA, Wallace MB, Vansteenkiste J, Silvestri GA. Invasive mediastinal staging of lung cancer. ACCP evidence-based clinical practice guidelines (2nd edition). Chest. 2007;132.",Invasive mediastinal staging of lung cancer. ACCP evidence-based clinical practice guidelines (2nd edition),Chest,2007,132,,,,,Detterbeck FC; Jantz MA; Wallace MB; Vansteenkiste J; Silvestri GA
7,"Yasufuku K, Chiyo M, Sekine Y, Chhajed PN, Shibuya K, Iizasa T. Realtime endobronchial ultrasound-guided transbronchial needle aspiration of mediastinal and hilar lymph nodes. Chest. 2004;126.",Realtime endobronchial ultrasound-guided transbronchial needle aspiration of mediastinal and hilar lymph nodes,Chest,2004,126,,,,,Yasufuku K; Chiyo M; Sekine Y; Chhajed PN; Shibuya K; Iizasa T
8,"Yasufuku K, Chiyo M, Koh E, Moriya Y, Iyoda A, Sekine Y. Endobronchial ultrasound guided transbronchial needle aspiration for staging of lung cancer. Lung Cancer. 2005;50.",Endobronchial ultrasound guided transbronchial needle aspiration for staging of lung cancer,Lung Cancer,2005,50,,,,,Yasufuku K; Chiyo M; Koh E; Moriya Y; Iyoda A; Sekine Y
9,"Herth FJ, Eberhardt R, Vilmann P, Krasnik M, Ernst A. Real-time endobronchial ultrasound guided transbronchial needle aspiration for sampling mediastinal lymph nodes. Thorax. 2006;61.",Real-time endobronchial ultrasound guided transbronchial needle aspiration for sampling mediastinal lymph nodes,Thorax,2006,61,,,,,Herth FJ; Eberhardt R; Vilmann P; Krasnik M; Ernst A
10,"Yasufuku K, Nakajima T, Motoori K, Sekine Y, Shibuya K, Hiroshima K. Comparison of endobronchial ultrasound, positron emission tomography, and CT for lymph node staging of lung cancer. Chest. 2006;130.","Comparison of endobronchial ultrasound, positron emission tomography, and CT for lymph node staging of lung cancer",Chest,2006,130,,,,,Yasufuku K; Nakajima T; Motoori K; Sekine Y; Shibuya K; Hiroshima K
11,"Ernst A, Anantham D, Eberhardt R, Krasnik M, Herth FJ. Diagnosis of mediastinal adenopathy -real-time endobronchial ultrasound guided needle aspiration versus mediastinoscopy. J Thorac Oncol. 2008;3.",Diagnosis of mediastinal adenopathy -real-time endobronchial ultrasound guided needle aspiration versus mediastinoscopy,J Thorac Oncol,2008,3,,,,,Ernst A; Anantham D; Eberhardt R; Krasnik M; Herth FJ
12,"Lee HS, Lee GK, Lee HS, Kim MS, Lee JM, Kim HY. Real-time endobronchial ultrasound-guided transbronchial needle aspiration in mediastinal staging of non-small cell lung cancer: how many aspirations per target lymph node station?. Chest. 2008;134.",Real-time endobronchial ultrasound-guided transbronchial needle aspiration in mediastinal staging of non-small cell lung cancer: how many aspirations per target lymph node station?,Chest,2008,134,,,,,Lee HS; Lee GK; Lee HS; Kim MS; Lee JM; Kim HY
13,"Herth FJ, Annema JT, Eberhardt R, Yasufuku K, Ernst A, Krasnik M. Endobronchial ultrasound with transbronchial needle aspiration for restaging the mediastinum in lung cancer. J Clin Oncol. 2008;26.",Endobronchial ultrasound with transbronchial needle aspiration for restaging the mediastinum in lung cancer,J Clin Oncol,2008,26,,,,,Herth FJ; Annema JT; Eberhardt R; Yasufuku K; Ernst A; Krasnik M
14,"Ernst A, Eberhardt R, Krasnik M, Herth FJ. Efficacy of endobronchial ultrasound-guided transbronchial needle aspiration of hilar lymph nodes for diagnosing and staging cancer. J Thorac Oncol. 2009;4.",Efficacy of endobronchial ultrasound-guided transbronchial needle aspiration of hilar lymph nodes for diagnosing and staging cancer,J Thorac Oncol,2009,4,,,,,Ernst A; Eberhardt R; Krasnik M; Herth FJ
15,"Fujiwara T, Yasufuku K, Nakajima T, Chiyo M, Yoshida S, Suzuki M. The utility of sonographic features during EBUS-TBNA for lymph node staging in patient with lung cancer-a standard EBUS classification system. Chest. 2010;138.",The utility of sonographic features during EBUS-TBNA for lymph node staging in patient with lung cancer-a standard EBUS classification system,Chest,2010,138,,,,,Fujiwara T; Yasufuku K; Nakajima T; Chiyo M; Yoshida S; Suzuki M
16,"Gu P, Zhao YZ, Jiang LY, Zhang W, Xin Y, Han BH. Endobronchial ultrasoundguided transbronchial needle aspiration for staging of lung cancer: a systematic review and meta-analysis. Eur J Cancer. 2009;45.",Endobronchial ultrasoundguided transbronchial needle aspiration for staging of lung cancer: a systematic review and meta-analysis,Eur J Cancer,2009,45,,,,,Gu P; Zhao YZ; Jiang LY; Zhang W; Xin Y; Han BH
