#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Panchabhai TS, Mehta AC. Historical perspectives of bronchoscopy. connecting the dots. Ann Am Thorac Soc. 2015;12(5).",Historical perspectives of bronchoscopy. connecting the dots,Ann Am Thorac Soc,2015,12,5,,,,Panchabhai TS; Mehta AC
2,"Ernst A, Silvestri GA, Johnstone D, College A, Physicians C. Interventional pulmonary procedures: guidelines from the American College of Chest Physicians. Chest. 2003;123(5).",Interventional pulmonary procedures: guidelines from the American College of Chest Physicians,Chest,2003,123,5,,,,Ernst A; Silvestri GA; Johnstone D; College A; Physicians C
3,"Akuthota P, Weller PF. Eosinophilic pneumonias. Clin Microbiol Rev. 2012;25(4).",Eosinophilic pneumonias,Clin Microbiol Rev,2012,25,4,,,,Akuthota P; Weller PF
4,"Meyer KC, Raghu G, Baughman RP. An official American Thoracic Society clinical practice guideline: the clinical utility of bronchoalveolar lavage cellular analysis in interstitial lung disease. Am J Respir Crit Care Med. 2012;185(9).",An official American Thoracic Society clinical practice guideline: the clinical utility of bronchoalveolar lavage cellular analysis in interstitial lung disease,Am J Respir Crit Care Med,2012,185,9,,,,Meyer KC; Raghu G; Baughman RP
5,"Seijo LM, Flandes J, Somiedo MV. A prospective randomized study comparing manual and wall suction in the performance of bronchoalveolar lavage. Respiration. 2016;91(6).",A prospective randomized study comparing manual and wall suction in the performance of bronchoalveolar lavage,Respiration,2016,91,6,,,,Seijo LM; Flandes J; Somiedo MV
6,"Haslam PL, Baughman RP. Report of ERS Task Force: guidelines for measurement of acellular components and standardization of BAL. Eur Respir J. 1999;14(2).",Report of ERS Task Force: guidelines for measurement of acellular components and standardization of BAL,Eur Respir J,1999,14,2,,,,Haslam PL; Baughman RP
7,Fennessy JJ. Bronchial brushing and transbronchial forceps biopsy in the diagnosis of pulmonary lesions. Dis Chest. 1968;53(4).,Bronchial brushing and transbronchial forceps biopsy in the diagnosis of pulmonary lesions,Dis Chest,1968,53,4,,,,Fennessy JJ
8,Andersen HA. Transbronchoscopic lung biopsy for diffuse pulmonary diseases. Results in 939 patients. Chest. 1978;73(suppl 5).,Transbronchoscopic lung biopsy for diffuse pulmonary diseases. Results in 939 patients,Chest,1978,73,suppl 5,,,,Andersen HA
9,"Sehgal IS, Bal A, Dhooria S. Predictors of successful yield of transbronchial lung biopsy in patients with sarcoidosis. J Bronchology Interv Pulmonol. 2018;25(1).",Predictors of successful yield of transbronchial lung biopsy in patients with sarcoidosis,J Bronchology Interv Pulmonol,2018,25,1,,,,Sehgal IS; Bal A; Dhooria S
10,"Roethe RA, Fuller PB, Byrd RB, Hafermann DR. Transbronchoscopic lung biopsy in sarcoidosis. Optimal number and sites for diagnosis. Chest. 1980;77(3).",Transbronchoscopic lung biopsy in sarcoidosis. Optimal number and sites for diagnosis,Chest,1980,77,3,,,,Roethe RA; Fuller PB; Byrd RB; Hafermann DR
11,"Sheth JS, Belperio JA, Fishbein MC. Utility of transbronchial vs surgical lung biopsy in the diagnosis of suspected fibrotic interstitial lung disease. Chest. 2017;151(2).",Utility of transbronchial vs surgical lung biopsy in the diagnosis of suspected fibrotic interstitial lung disease,Chest,2017,151,2,,,,Sheth JS; Belperio JA; Fishbein MC
