#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, 's Advisory Committee on Cancer Statistics. 's Advisory Committee on Cancer Statistics. 2013;None.,'s Advisory Committee on Cancer Statistics,'s Advisory Committee on Cancer Statistics,2013,,,,,,
2,"Carney DN, Hansen HH. Non-small-cell lung cancerestalemate or progress?. N Engl J Med. 2000;343.",Non-small-cell lung cancerestalemate or progress?,N Engl J Med,2000,343,,,,,Carney DN; Hansen HH
3,"Komaki R, Scott CB, Sause WT. Induction cisplatin/vinblastine and irradiation vs. irradiation in unresectable squamous cell lung cancer: failure patterns by cell type in RTOG 88e08/ECOG 4588. Radi. Int J Radiat Oncol Biol Phys. 1997;39.",Induction cisplatin/vinblastine and irradiation vs. irradiation in unresectable squamous cell lung cancer: failure patterns by cell type in RTOG 88e08/ECOG 4588. Radi,Int J Radiat Oncol Biol Phys,1997,39,,,,,Komaki R; Scott CB; Sause WT
4,"Shasha D, Harrison LB. The role of brachytherapy for palliation. Semin Radiat Oncol. 2000;10.",The role of brachytherapy for palliation,Semin Radiat Oncol,2000,10,,,,,Shasha D; Harrison LB
5,"Moghissi K, Bond MG, Sambrook RJ. Treatment of endotracheal or endobronchial obstruction by non-small cell lung cancer: lack of patients in an MRC randomized trial leaves key questions unanswered. Medical Research Council Lung Cancer Working Party. Clin Oncol. 1999;11.",Treatment of endotracheal or endobronchial obstruction by non-small cell lung cancer: lack of patients in an MRC randomized trial leaves key questions unanswered. Medical Research Council Lung Cancer Working Party,Clin Oncol,1999,11,,,,,Moghissi K; Bond MG; Sambrook RJ
6,Yankauer S. Two cases of lung tumor treated bronchoscopically. NY Med J. 1922;115.,Two cases of lung tumor treated bronchoscopically,NY Med J,1922,115,,,,,Yankauer S
7,"Bergman B, Aaronson NK, Ahmedzai S. The EORTC QLQ-LC13: a modular supplement to the EORTC Core Quality of Life Questionnaire (QLQ-C30) for use in lung cancer clinical trials. EORTC Study Group on Quality of Life. Eur J Cancer. 1994;30.",The EORTC QLQ-LC13: a modular supplement to the EORTC Core Quality of Life Questionnaire (QLQ-C30) for use in lung cancer clinical trials. EORTC Study Group on Quality of Life,Eur J Cancer,1994,30,,,,,Bergman B; Aaronson NK; Ahmedzai S
8,"Aaronson NK, Ahmedzai S, Bergman B. The European Organization for Research and Treatment of Cancer QLQ-C30: a quality-of-life instrument for use in international clinical trials in oncology. J Natl Cancer Inst. 1993;85.",The European Organization for Research and Treatment of Cancer QLQ-C30: a quality-of-life instrument for use in international clinical trials in oncology,J Natl Cancer Inst,1993,85,,,,,Aaronson NK; Ahmedzai S; Bergman B
9,"Speiser BL, Spratling L. Remote afterloading brachytherapy for the local control of endobronchial carcinoma. Int J Radiat Oncol Biol Phys. 1993;25.",Remote afterloading brachytherapy for the local control of endobronchial carcinoma,Int J Radiat Oncol Biol Phys,1993,25,,,,,Speiser BL; Spratling L
10,"Kelly JF, Delclos ME, Morice RC. High-dose-rate endobronchial brachytherapy effectively palliates symptoms due to airway tumors: the 10-year M. D. Anderson cancer center experience. Int J Radiat Oncol Biol Phys. 2000;48.",High-dose-rate endobronchial brachytherapy effectively palliates symptoms due to airway tumors: the 10-year M. D. Anderson cancer center experience,Int J Radiat Oncol Biol Phys,2000,48,,,,,Kelly JF; Delclos ME; Morice RC
11,"Goldman JM, Bulman AS, Rathmell AJ. Physiological effect of endobronchial radiotherapy in patients with major airway occlusion by carcinoma. Thorax. 1993;48.",Physiological effect of endobronchial radiotherapy in patients with major airway occlusion by carcinoma,Thorax,1993,48,,,,,Goldman JM; Bulman AS; Rathmell AJ
