#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Light RW. Pleural effusions. Med Clin North Am. 2011;95.,Pleural effusions,Med Clin North Am,2011,95,,,,,Light RW
2,"Penz E, Watt KN, Hergott CA. Management of malignant pleural effusion: challenges and solutions. Cancer Manag Res. 2017;9.",Management of malignant pleural effusion: challenges and solutions,Cancer Manag Res,2017,9,,,,,Penz E; Watt KN; Hergott CA
3,"Neragi-Miandoab S. Malignant pleural effusion, current and evolving approaches for its diagnosis and management. Lung Cancer. 2006;54.","Malignant pleural effusion, current and evolving approaches for its diagnosis and management",Lung Cancer,2006,54,,,,,Neragi-Miandoab S
4,"Lee G, Light YC, RW. Future directions. Textbook of pleural diseases. 2003;None.",Future directions,Textbook of pleural diseases,2003,,,,,,Lee G; Light YC; RW
5,"Antunes G, Neville E, Duffy J. BTS guidelines for the management of malignant pleural effusions. Thorax. 2003;58.",BTS guidelines for the management of malignant pleural effusions,Thorax,2003,58,,,,,Antunes G; Neville E; Duffy J
6,"Clive AO, Kahan BC, Hooper CE. Predicting survival in malignant pleural effusion: development and validation of the LENT prognostic score. Thorax. 2014;69.",Predicting survival in malignant pleural effusion: development and validation of the LENT prognostic score,Thorax,2014,69,,,,,Clive AO; Kahan BC; Hooper CE
7,"Psallidas I, Nikolaos I, Kanellakis S et al.. Development and validation of response markers to predict survival and pleurodesis success in patients with malignant pleural effusion (PROMISE): a multicohort analysis. The Lancet Oncology. 2018;19(7).",Development and validation of response markers to predict survival and pleurodesis success in patients with malignant pleural effusion (PROMISE): a multicohort analysis,The Lancet Oncology,2018,19,7,,,,Psallidas I; Nikolaos I; Kanellakis S; Gerry ML; Thézénas PD; Charles A; Samsonova; Herbert B; Schiller R; Fischer R; Asciak RJ; Hallifax R; Mercer M; Dobson T; Dong ID; Pavord; Gary S Collins; Benedikt M; Kessler HI; Pass N; Maskell; Georgios T Stathopoulos; Najib M; Rahman
8,"Roberts ME, Neville E, Berrisford RG. Management of a malignant pleural effusion: British Thoracic Society pleural disease guideline 2010. Thorax. 2010;65.",Management of a malignant pleural effusion: British Thoracic Society pleural disease guideline 2010,Thorax,2010,65,,,,,Roberts ME; Neville E; Berrisford RG
9,"Zahid I, Routledge T, Billè A. What is the best treatment for malignant pleural effusions?. Interact Cardiovasc Thorac Surg. 2011;12.",What is the best treatment for malignant pleural effusions?,Interact Cardiovasc Thorac Surg,2011,12,,,,,Zahid I; Routledge T; Billè A
10,"Kennedy L, Sahn SA. Talk pleurodesis for the treatment of pneumothorax and pleural effusion. Chest. 1994;106.",Talk pleurodesis for the treatment of pneumothorax and pleural effusion,Chest,1994,106,,,,,Kennedy L; Sahn SA
11,"Huggins JT, Doelken P, Sahn SA. Intrapleural therapy. Respirology. 2011;16.",Intrapleural therapy,Respirology,2011,16,,,,,Huggins JT; Doelken P; Sahn SA
12,"Shimmyo T, Morita K, Mineshita M. Pleuroperitoneal shunt for chylothorax and chylopericardium in lung cancer: a case report. Ann Thorac Cardiovasc Surg. 2011;17.",Pleuroperitoneal shunt for chylothorax and chylopericardium in lung cancer: a case report,Ann Thorac Cardiovasc Surg,2011,17,,,,,Shimmyo T; Morita K; Mineshita M
13,"Artemiou O, Marta GM, Klepetko W. Pleurovenous shunting in the treatment of nonmalignant pleural effusion. Ann Thorac Surg. 2003;76:231.",Pleurovenous shunting in the treatment of nonmalignant pleural effusion,Ann Thorac Surg,2003,76,,231,,,Artemiou O; Marta GM; Klepetko W
