#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Frost EA. Tracing the Tracheostomy. Ann Otol Rhinol Laryngol. 1976;85.,Tracing the Tracheostomy,Ann Otol Rhinol Laryngol,1976,85,,,,,Frost EA
2,Tracheotomy JC. Laryngoscope. Laryngoscope. 1909;9.,Laryngoscope,Laryngoscope,1909,9,,,,,Tracheotomy JC
3,"Rajesh O, Meher R. Historical Review Of Tracheostomy. The Internet Journal of Otorhinolaryngology. 2005;4.",Historical Review Of Tracheostomy,The Internet Journal of Otorhinolaryngology,2005,4,,,,,Rajesh O; Meher R
4,Cameron JL. Tracheostomy. Current Surgical Therapy. 2016;None.,Tracheostomy,Current Surgical Therapy,2016,,,,,,Cameron JL
5,"Zollinger RM, Ellison EC, Bitans M. Zollinger's atlas of surgical operations. Zollinger's atlas of surgical operations. 2003;None.",Zollinger's atlas of surgical operations,Zollinger's atlas of surgical operations,2003,,,,,,Zollinger RM; Ellison EC; Bitans M
6,Cameron JL. Current surgical therapy. Current surgical therapy. 2008;None.,Current surgical therapy,Current surgical therapy,2008,,,,,,Cameron JL
7,Seldinger SI. Catheter replacement of the needle in percutaneous arteriography; a new technique. Acta radiol. 1953;39.,Catheter replacement of the needle in percutaneous arteriography; a new technique,Acta radiol,1953,39,,,,,Seldinger SI
8,Pelausa EO. Percutaneous tracheostomy: ready or not?. J Otolaryngol. 1991;20.,Percutaneous tracheostomy: ready or not?,J Otolaryngol,1991,20,,,,,Pelausa EO
9,"Ciaglia P, Firsching R, Syniec C. Elective percutaneous dilatational tracheostomy. A new simple bedside procedure; preliminary report. Chest. 1985;87.",Elective percutaneous dilatational tracheostomy. A new simple bedside procedure; preliminary report,Chest,1985,87,,,,,Ciaglia P; Firsching R; Syniec C
10,"Griggs WM, Worthley LI, Gilligan JE. A simple percutaneous tracheostomy technique. Surg Gynecol Obstet. 1990;170.",A simple percutaneous tracheostomy technique,Surg Gynecol Obstet,1990,170,,,,,Griggs WM; Worthley LI; Gilligan JE
11,"Fantoni A, Ripamonti D. A non-derivative, non-surgical tracheostomy: the translaryngeal method. Intensive Care Med. 1997;23.","A non-derivative, non-surgical tracheostomy: the translaryngeal method",Intensive Care Med,1997,23,,,,,Fantoni A; Ripamonti D
