#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Trapnell BC, Whitsett JA, Nakata K. Pulmonary alveolar proteinosis. N Engl J Med. 2003;349.",Pulmonary alveolar proteinosis,N Engl J Med,2003,349,,,,,Trapnell BC; Whitsett JA; Nakata K
2,"Jouneau S, Kerjouan M, Briens E et al.. Pulmonary alveolar proteinosis. Gay et al. Respiration. 2014;31. doi:10.1159/000455179206.",Pulmonary alveolar proteinosis,Gay et al. Respiration,2014,31,,,10.1159/000455179206,,Jouneau S; Kerjouan M; Briens E; Lenormand JP; Meunier C; Letheulle J; Chiforeanu D; Laine-Caroff C; Desrues B; Delaval P
3,"Borie R, Danel C, Debray MP et al.. Pulmonary alveolar proteinosis. Eur Respir Rev. 2011;20.",Pulmonary alveolar proteinosis,Eur Respir Rev,2011,20,,,,,Borie R; Danel C; Debray MP; Taille C; Dombret MC; Aubier M; Epaud R; Crestani B
4,"Briens E, Delaval P, Mairesse MP et al.. Pulmonary alveolar proteinosis. Rev Mal Respir. 2002;19.",Pulmonary alveolar proteinosis,Rev Mal Respir,2002,19,,,,,Briens E; Delaval P; Mairesse MP; Valeyre D; Wallaert B; Lazor R; Cordier JF
5,"Wang BM, Stern EJ, Schmidt RA, Pierson DJ. Diagnosing pulmonary alveolar proteinosis. A review and an update. Chest. 1997;111.",Diagnosing pulmonary alveolar proteinosis. A review and an update,Chest,1997,111,,,,,Wang BM; Stern EJ; Schmidt RA; Pierson DJ
6,"Seymour JF, Presneill JJ. Pulmonary alveolar proteinosis: progress in the first 44 years. Am J Respir Crit Care Med. 2002;166.",Pulmonary alveolar proteinosis: progress in the first 44 years,Am J Respir Crit Care Med,2002,166,,,,,Seymour JF; Presneill JJ
7,"Tazawa R, Trapnell BC, Inoue Y et al.. Inhaled granulocyte/ macrophage-colony stimulating factor as therapy for pulmonary alveolar proteinosis. Am J Respir Crit Care Med. 2010;181.",Inhaled granulocyte/ macrophage-colony stimulating factor as therapy for pulmonary alveolar proteinosis,Am J Respir Crit Care Med,2010,181,,,,,Tazawa R; Trapnell BC; Inoue Y; Arai T; Takada T; Nasuhara Y; Hizawa N; Kasahara Y; Tatsumi K; Hojo M; Ishii H; Yokoba M; Tanaka N; Yamaguchi E; Eda R; Tsuchihashi Y; Morimoto K; Akira M; Terada M; Otsuka J; Ebina M; Kaneko C; Nukiwa T; Krischer JP; Akazawa K; Nakata K
8,"Luisetti M, Rodi G, Perotti C et al.. Plasmapheresis for treatment of pulmonary alveolar proteinosis. Eur Respir J. 2009;33.",Plasmapheresis for treatment of pulmonary alveolar proteinosis,Eur Respir J,2009,33,,,,,Luisetti M; Rodi G; Perotti C; Campo I; Mariani F; Pozzi E; Trapnell BC
9,"Kavuru MS, Malur A, Marshall I et al.. An open-label trial of rituximab therapy in pulmonary alveolar proteinosis. Eur Respir J. 2011;38.",An open-label trial of rituximab therapy in pulmonary alveolar proteinosis,Eur Respir J,2011,38,,,,,Kavuru MS; Malur A; Marshall I; Barna BP; Meziane M; Huizar I; Dalrymple H; Karnekar R; Thomassen MJ
10,"Suzuki T, Trapnell BC. Pulmonary alveolar proteinosis syndrome. Clin Chest Med. 2016;37.",Pulmonary alveolar proteinosis syndrome,Clin Chest Med,2016,37,,,,,Suzuki T; Trapnell BC
11,"Ramirez J, Nyka W, Mclaughlin J. Pulmonary alveolar proteinosis. Diagnostic technics and observations. N Engl J Med. 1963;268.",Pulmonary alveolar proteinosis. Diagnostic technics and observations,N Engl J Med,1963,268,,,,,Ramirez J; Nyka W; Mclaughlin J
