#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Jaksch-Wartenhorst R, Polychondropathia. Wien Arch Inn Med. Wien Arch Inn Med. 1923;6.",Wien Arch Inn Med,Wien Arch Inn Med,1923,6,,,,,Jaksch-Wartenhorst R; Polychondropathia
2,"Pearson CM, Kline HM, Newcomer VD. Relapsing polychondritis. N Engl J Med. 1960;263.",Relapsing polychondritis,N Engl J Med,1960,263,,,,,Pearson CM; Kline HM; Newcomer VD
3,"Beck DB, Ferrada MA, Sikora KA. Somatic Mutations in UBA1 and Severe Adult-Onset Autoinflammatory Disease. N Engl J Med. 2020;383.",Somatic Mutations in UBA1 and Severe Adult-Onset Autoinflammatory Disease,N Engl J Med,2020,383,,,,,Beck DB; Ferrada MA; Sikora KA
4,"Belot A, Duquesne A, Job-Deslandre C. Pediatriconset relapsing polychondritis: case series and systematic review. J Pediatr. 2010;156.",Pediatriconset relapsing polychondritis: case series and systematic review,J Pediatr,2010,156,,,,,Belot A; Duquesne A; Job-Deslandre C
5,"Trentham DE, Le CH. Relapsing polychondritis. Ann Intern Med. 1998;129.",Relapsing polychondritis,Ann Intern Med,1998,129,,,,,Trentham DE; Le CH
6,"Ferrada MA, Sikora KA, Luo Y. Somatic Mutations in UBA1 Define a Distinct Subset of Relapsing Polychondritis Patients With VEXAS. Arthritis Rheumatol. 2021;73.",Somatic Mutations in UBA1 Define a Distinct Subset of Relapsing Polychondritis Patients With VEXAS,Arthritis Rheumatol,2021,73,,,,,Ferrada MA; Sikora KA; Luo Y
7,"Khitri MY, Guedon AF, Georgin-Lavialle S. Comparison between idiopathic and VEXAS-relapsing polychondritis: analysis of a French case series of 95 patients. RMD Open. 2022;8:e002255.",Comparison between idiopathic and VEXAS-relapsing polychondritis: analysis of a French case series of 95 patients,RMD Open,2022,8,,e002255,,,Khitri MY; Guedon AF; Georgin-Lavialle S
8,"Bruno A, Gurnari C, Alexander T. Autoimmune manifestations in VEXAS: Opportunities for integration and pitfalls to interpretation. J Allergy Clin Immunol. 2023;151.",Autoimmune manifestations in VEXAS: Opportunities for integration and pitfalls to interpretation,J Allergy Clin Immunol,2023,151,,,,,Bruno A; Gurnari C; Alexander T
9,"Hazra N, Dregan A, Charlton J. Incidence and mortality of relapsing polychondritis in the UK: a population-based cohort study. Rheumatology. 2015;54.",Incidence and mortality of relapsing polychondritis in the UK: a population-based cohort study,Rheumatology,2015,54,,,,,Hazra N; Dregan A; Charlton J
10,"Zeuner M, Straub RH, Rauh G. Relapsing polychondritis: clinical and immunogenetic analysis of 62 patients. J Rheumatol. 1997;24.",Relapsing polychondritis: clinical and immunogenetic analysis of 62 patients,J Rheumatol,1997,24,,,,,Zeuner M; Straub RH; Rauh G
11,"Arnaud L, Mathian A, Haroche J. Pathogenesis of relapsing polychondritis: a 2013 update. Autoimmun Rev. 2014;13.",Pathogenesis of relapsing polychondritis: a 2013 update,Autoimmun Rev,2014,13,,,,,Arnaud L; Mathian A; Haroche J
