#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Ibrahim WH. Massive haemoptysis: the definition should be revised. Eur Respir J. 2008;32(4).,Massive haemoptysis: the definition should be revised,Eur Respir J,2008,32,4,,,,Ibrahim WH
2,"Crocco JA, Rooney JJ, Fankushen DS, Dibenedetto RJ, Lyons HA. Massive hemoptysis. Arch Intern Med. 1968;121(6).",Massive hemoptysis,Arch Intern Med,1968,121,6,,,,Crocco JA; Rooney JJ; Fankushen DS; Dibenedetto RJ; Lyons HA
3,"Garzon AA, Gourin A. Surgical management of massive hemoptysis. A ten-year experience. Ann Surg. 1978;187(3).",Surgical management of massive hemoptysis. A ten-year experience,Ann Surg,1978,187,3,,,,Garzon AA; Gourin A
4,"Tom LM, Palevsky HI, Holsclaw DS. Recurrent bleeding, survival, and longitudinal pulmonary function following bronchial artery embolization for hemoptysis in a U.S. adult population. J Vasc Interv Radiol. 1801;26(12).","Recurrent bleeding, survival, and longitudinal pulmonary function following bronchial artery embolization for hemoptysis in a U.S. adult population",J Vasc Interv Radiol,1801,26,12,,,,Tom LM; Palevsky HI; Holsclaw DS
5,"Chun JY, Morgan R, Belli AM. Radiological management of hemoptysis: a comprehensive review of diagnostic imaging and bronchial arterial embolization. Cardiovasc Intervent Radiol. 2010;33(2).",Radiological management of hemoptysis: a comprehensive review of diagnostic imaging and bronchial arterial embolization,Cardiovasc Intervent Radiol,2010,33,2,,,,Chun JY; Morgan R; Belli AM
6,"Lee BR, Yu JY, Ban HJ. Analysis of patients with hemoptysis in a tertiary referral hospital. Tuberc Respir Dis. 2012;73(2).",Analysis of patients with hemoptysis in a tertiary referral hospital,Tuberc Respir Dis,2012,73,2,,,,Lee BR; Yu JY; Ban HJ
7,"Ong TH, Eng P. Massive hemoptysis requiring intensive care. Intensive Care Med. 2003;29(2).",Massive hemoptysis requiring intensive care,Intensive Care Med,2003,29,2,,,,Ong TH; Eng P
8,"Reechaipichitkul W, Latong S. Etiology and treatment outcomes of massive hemoptysis. Southeast Asian J Trop Med Public Health. 2005;36(2).",Etiology and treatment outcomes of massive hemoptysis,Southeast Asian J Trop Med Public Health,2005,36,2,,,,Reechaipichitkul W; Latong S
9,"Corey R, Hla KM. Major and massive hemoptysis: reassessment of conservative management. Am J Med Sci. 1987;294(5).",Major and massive hemoptysis: reassessment of conservative management,Am J Med Sci,1987,294,5,,,,Corey R; Hla KM
10,"Amirana M, Frater R, Tirschwell P, Janis M, Bloomberg A, State D. An aggressive surgical approach to significant hemoptysis in patients with pulmonary tuberculosis. Am Rev Respir Dis. 1968;97(2).",An aggressive surgical approach to significant hemoptysis in patients with pulmonary tuberculosis,Am Rev Respir Dis,1968,97,2,,,,Amirana M; Frater R; Tirschwell P; Janis M; Bloomberg A; State D
11,"Dweik RA, Stoller JK. Role of bronchoscopy in massive hemoptysis. Clin Chest Med. 1999;20(1).",Role of bronchoscopy in massive hemoptysis,Clin Chest Med,1999,20,1,,,,Dweik RA; Stoller JK
12,"Fartoukh M, Khoshnood B, Parrot A. Early prediction of inhospital mortality of patients with hemoptysis: an approach to defining severe hemoptysis. Respiration. 2012;83(2).",Early prediction of inhospital mortality of patients with hemoptysis: an approach to defining severe hemoptysis,Respiration,2012,83,2,,,,Fartoukh M; Khoshnood B; Parrot A
13,"Patwa A, Shah A. Anatomy and physiology of respiratory system relevant to anaesthesia. Indian J Anaesth. 2015;59(9).",Anatomy and physiology of respiratory system relevant to anaesthesia,Indian J Anaesth,2015,59,9,,,,Patwa A; Shah A
14,"Mondoni M, Carlucci P, Job S. Observational, multicentre study on the epidemiology of haemoptysis. Eur Respir J. 2018;51(1).","Observational, multicentre study on the epidemiology of haemoptysis",Eur Respir J,2018,51,1,,,,Mondoni M; Carlucci P; Job S
15,"Singh SK, Tiwari KK. Etiology of hemoptysis: a retrospective study from a tertiary care hospital from northern Madhya Pradesh, India. Indian J Tuberc. 2016;63(1).","Etiology of hemoptysis: a retrospective study from a tertiary care hospital from northern Madhya Pradesh, India",Indian J Tuberc,2016,63,1,,,,Singh SK; Tiwari KK
