#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Respiration. Respiration. 2018;96. doi:10.1159/000490193.,Respiration,Respiration,2018,96,,,10.1159/000490193,,
2,"Van Geffen WH, Kerstjens H, Slebos DJ. Emerging bronchoscopic treatments for chronic obstructive pulmonary disease. Pharmacol Ther. 2017;179.",Emerging bronchoscopic treatments for chronic obstructive pulmonary disease,Pharmacol Ther,2017,179,,,,,Van Geffen WH; Kerstjens H; Slebos DJ
3,"Shah PL, Herth FJ, Van Geffen WH, Deslee G, Slebos DJ. Lung volume reduction for emphysema. Lancet Respir Med. 2017;5.",Lung volume reduction for emphysema,Lancet Respir Med,2017,5,,,,,Shah PL; Herth FJ; Van Geffen WH; Deslee G; Slebos DJ
4,"Slebos DJ, Hartman JE, Klooster K, Blaas S, Deslee G, Gesierich W. Bronchoscopic coil treatment for patients with severe emphysema: a meta-analysis. Respiration. 2015;90.",Bronchoscopic coil treatment for patients with severe emphysema: a meta-analysis,Respiration,2015,90,,,,,Slebos DJ; Hartman JE; Klooster K; Blaas S; Deslee G; Gesierich W
5,"Herth F, Slebos DJ, Criner GJ, Shah PL. Endoscopic lung volume reduction: an expert panel recommendation -update 2017. Respiration. 2017;94.",Endoscopic lung volume reduction: an expert panel recommendation -update 2017,Respiration,2017,94,,,,,Herth F; Slebos DJ; Criner GJ; Shah PL
6,"Slebos DJ, Shah PL, Herth FJ, Valipour A. Endobronchial valves for endoscopic lung volume reduction: best practice recommendations from Expert Panel on Endoscopic Lung Volume Reduction. Respiration. 2017;93.",Endobronchial valves for endoscopic lung volume reduction: best practice recommendations from Expert Panel on Endoscopic Lung Volume Reduction,Respiration,2017,93,,,,,Slebos DJ; Shah PL; Herth FJ; Valipour A
7,"Klooster K, Hacken T, Hartman NH et al.. Endobronchial valves for emphysema without interlobar collateral ventilation. N Engl J Med. 2015;373.",Endobronchial valves for emphysema without interlobar collateral ventilation,N Engl J Med,2015,373,,,,,Klooster K; Hacken T; Hartman NH; Kerstjens JE; Van Rikxoort HA; Slebos EM; DJ
8,"Vogelmeier CF, Criner GJ, Martinez FJ, Anzueto A, Barnes PJ, Bourbeau J. Global strategy for the diagnosis, management, and prevention of chronic obstructive lung disease 2017 report. GOLD executive summary. Am J Respir Crit Care Med. 2017;195.","Global strategy for the diagnosis, management, and prevention of chronic obstructive lung disease 2017 report. GOLD executive summary",Am J Respir Crit Care Med,2017,195,,,,,Vogelmeier CF; Criner GJ; Martinez FJ; Anzueto A; Barnes PJ; Bourbeau J
9,"Zoumot Z, Kemp SV, Singh S, Bicknell SR, Mc-Nulty WH, Hopkinson NS. Endobronchial coils for severe emphysema are effective up to 12 months following treatment: medium term and cross-over results from a randomised controlled trial. PLoS One. 2015;10:122656.",Endobronchial coils for severe emphysema are effective up to 12 months following treatment: medium term and cross-over results from a randomised controlled trial,PLoS One,2015,10,,122656,,,Zoumot Z; Kemp SV; Singh S; Bicknell SR; Mc-Nulty WH; Hopkinson NS
10,"Slebos DJ, Klooster K, Ernst A, Herth F, Kerstjens H. Bronchoscopic lung volume reduction coil treatment of patients with se-vere heterogeneous emphysema. Chest. 2012;142.",Bronchoscopic lung volume reduction coil treatment of patients with se-vere heterogeneous emphysema,Chest,2012,142,,,,,Slebos DJ; Klooster K; Ernst A; Herth F; Kerstjens H
11,"Shah PL, Zoumot Z, Singh S, Bicknell SR, Ross ET, Quiring J. Endobronchial coils for the treatment of severe emphysema with hyperinflation (RESET): a randomised controlled trial. Lancet Respir Med. 2013;1.",Endobronchial coils for the treatment of severe emphysema with hyperinflation (RESET): a randomised controlled trial,Lancet Respir Med,2013,1,,,,,Shah PL; Zoumot Z; Singh S; Bicknell SR; Ross ET; Quiring J
12,"Sciurba FC, Criner GJ, Strange C, Shah PL, Michaud G, Connolly TA. Effect of endobronchial coils vs usual care on exercise tolerance in patients with severe emphysema: the RENEW randomized clinical trial. JAMA. 2016;315.",Effect of endobronchial coils vs usual care on exercise tolerance in patients with severe emphysema: the RENEW randomized clinical trial,JAMA,2016,315,,,,,Sciurba FC; Criner GJ; Strange C; Shah PL; Michaud G; Connolly TA
13,"Kontogianni K, Gerovasili V, Gompelmann D, Schuhmann M, Heussel CP, Herth FJ. Effectiveness of endobronchial coil treatment for lung volume reduction in patients with severe heterogeneous emphysema and bilateral incomplete fissures: a six-month follow-up. Respiration. 2014;88.",Effectiveness of endobronchial coil treatment for lung volume reduction in patients with severe heterogeneous emphysema and bilateral incomplete fissures: a six-month follow-up,Respiration,2014,88,,,,,Kontogianni K; Gerovasili V; Gompelmann D; Schuhmann M; Heussel CP; Herth FJ
14,"Klooster K, Hacken T, Franz NH et al.. Lung volume reduction coil treatment in chronic obstructive pulmonary disease patients with homogeneous emphysema: a prospective feasibility trial. Respiration. 2014;88.",Lung volume reduction coil treatment in chronic obstructive pulmonary disease patients with homogeneous emphysema: a prospective feasibility trial,Respiration,2014,88,,,,,Klooster K; Hacken T; Franz NH; Kerstjens I; Van Rikxoort HA; Slebos EM; DJ
15,"Herth FJ, Eberhard R, Gompelmann D, Slebos DJ, Ernst A. Bronchoscopic lung volume reduction with a dedicated coil: a clinical pilot study. Ther Adv Respir Dis. 2010;4.",Bronchoscopic lung volume reduction with a dedicated coil: a clinical pilot study,Ther Adv Respir Dis,2010,4,,,,,Herth FJ; Eberhard R; Gompelmann D; Slebos DJ; Ernst A
16,"Gulsen A, Sever F, Girgin P, Tamci NB, Yilmaz H. Evaluation of bronchoscopic lung volume reduction coil treatment results in patients with severe emphysema. Clin Respir J. 2017;11.",Evaluation of bronchoscopic lung volume reduction coil treatment results in patients with severe emphysema,Clin Respir J,2017,11,,,,,Gulsen A; Sever F; Girgin P; Tamci NB; Yilmaz H
17,"Deslee G, Klooster K, Hetzel M, Stanzel F, Kessler R, Marquette CH. Lung volume reduction coil treatment for patients with severe emphysema: a European multicentre trial. Thorax. 2014;69.",Lung volume reduction coil treatment for patients with severe emphysema: a European multicentre trial,Thorax,2014,69,,,,,Deslee G; Klooster K; Hetzel M; Stanzel F; Kessler R; Marquette CH
18,"Deslee G, Mal H, Dutau H, Bourdin A, Vergnon JM, Pison C. Lung volume reduc-tion coil treatment vs usual care in patients with severe emphysema: the REVOLENS randomized clinical trial. JAMA. 2016;315.",Lung volume reduc-tion coil treatment vs usual care in patients with severe emphysema: the REVOLENS randomized clinical trial,JAMA,2016,315,,,,,Deslee G; Mal H; Dutau H; Bourdin A; Vergnon JM; Pison C
19,"Klooster K, Hacken T, Slebos NH, DJ. The lung volume reduction coil for the treatment of emphysema: a new therapy in development. Expert Rev Med Devices. 2014;11.",The lung volume reduction coil for the treatment of emphysema: a new therapy in development,Expert Rev Med Devices,2014,11,,,,,Klooster K; Hacken T; Slebos NH; DJ
20,"Kloth C, Thaiss WM, Hetzel J, Ditt H, Grosse U, Nikolaou K. Impact of endobronchial coiling on segmental bronchial lumen in treated and untreated lung lobes: correlation with changes in lung volume, clinical and pulmonary function tests. Eur Radiol. 2016;26.","Impact of endobronchial coiling on segmental bronchial lumen in treated and untreated lung lobes: correlation with changes in lung volume, clinical and pulmonary function tests",Eur Radiol,2016,26,,,,,Kloth C; Thaiss WM; Hetzel J; Ditt H; Grosse U; Nikolaou K
21,"Palamidas AF, Kemp SV, Shen M, Mcnulty W, Zoumot Z, Hopkinson NS. Putative mechanisms of action of endobronchial coils. Am J Respir Crit Care Med. 2017;196.",Putative mechanisms of action of endobronchial coils,Am J Respir Crit Care Med,2017,196,,,,,Palamidas AF; Kemp SV; Shen M; Mcnulty W; Zoumot Z; Hopkinson NS
22,"Herth FJ, Slebos DJ, Rabe KF, Shah PL. Endoscopic lung volume reduction: an expert panel recommendation. Respiration. 2016;91.",Endoscopic lung volume reduction: an expert panel recommendation,Respiration,2016,91,,,,,Herth FJ; Slebos DJ; Rabe KF; Shah PL
23,"Slebos DJ, Klooster K, Hacken T, NH. Bronchoscopic lung volume reduction. Interventional Pulmonology (ERS Monograph). Sheffield. 2017;None.",Bronchoscopic lung volume reduction,Interventional Pulmonology (ERS Monograph). Sheffield,2017,,,,,,Slebos DJ; Klooster K; Hacken T; NH
24,"Hartman JE, Klooster K, Gortzak K, Hacken T, Slebos NH, DJ. Long-term follow-up after bronchoscopic lung volume reduction treatment with coils in patients with severe emphysema. Respirology. 2015;20.",Long-term follow-up after bronchoscopic lung volume reduction treatment with coils in patients with severe emphysema,Respirology,2015,20,,,,,Hartman JE; Klooster K; Gortzak K; Hacken T; Slebos NH; DJ
25,"Kontogianni K, Gerovasili V, Gompelmann D, Schuhmann M, Hoffmann H, Heussel CP. Coil therapy for patients with severe emphysema and bilateral incomplete fissures -effectiveness and complications after 1-year follow-up: a single-center experience. Int J Chron Obstruct Pulmon Dis. 2017;12.",Coil therapy for patients with severe emphysema and bilateral incomplete fissures -effectiveness and complications after 1-year follow-up: a single-center experience,Int J Chron Obstruct Pulmon Dis,2017,12,,,,,Kontogianni K; Gerovasili V; Gompelmann D; Schuhmann M; Hoffmann H; Heussel CP
