#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Zöllner FG, Killian. father of bronchoscopy. Arch Otolaryngol. 1965;82(06).",father of bronchoscopy,Arch Otolaryngol,1965,82,06,,,,Zöllner FG; Killian
2,Jackson C. The Life of Chevalier Jackson: An Autobiography. The Life of Chevalier Jackson: An Autobiography. 1938;None.,The Life of Chevalier Jackson: An Autobiography,The Life of Chevalier Jackson: An Autobiography,1938,,,,,,Jackson C
3,"Hirshberg B, Biran I, Glazer M, Kramer MR. Hemoptysis: etiology, evaluation, and outcome in a tertiary referral hospital. Chest. 1997;112(02).","Hemoptysis: etiology, evaluation, and outcome in a tertiary referral hospital",Chest,1997,112,02,,,,Hirshberg B; Biran I; Glazer M; Kramer MR
4,"Conlan AA, Hurwitz SS. Management of massive haemoptysis with the rigid bronchoscope and cold saline lavage. Thorax. 1980;35(12).",Management of massive haemoptysis with the rigid bronchoscope and cold saline lavage,Thorax,1980,35,12,,,,Conlan AA; Hurwitz SS
5,"Sehgal IS, Dhooria S, Agarwal R, Behera D. Use of a flexible cryoprobe for removal of tracheobronchial blood clots. Respir Care. 2015;60(07).",Use of a flexible cryoprobe for removal of tracheobronchial blood clots,Respir Care,2015,60,07,,,,Sehgal IS; Dhooria S; Agarwal R; Behera D
6,"Alraiyes AH, Machuzak MS. Rigid bronchoscopy. Semin Respir Crit Care Med. 2014;35(06).",Rigid bronchoscopy,Semin Respir Crit Care Med,2014,35,06,,,,Alraiyes AH; Machuzak MS
7,Nicolai T. Foreign body aspiration in children]. MMW Fortschr Med. 2013;155(16).,Foreign body aspiration in children],MMW Fortschr Med,2013,155,16,,,,Nicolai T
8,"Sriratanaviriyakul N, Lam F, Morrissey BM, Stollenwerk N, Schivo M, Yoneda KY. Safety and clinical utility of flexible bronchoscopic cryoextraction in patients with non-neoplasm tracheobronchial obstruction: a retrospective chart review. J Bronchology Interv Pulmonol. 2015;22(04).",Safety and clinical utility of flexible bronchoscopic cryoextraction in patients with non-neoplasm tracheobronchial obstruction: a retrospective chart review,J Bronchology Interv Pulmonol,2015,22,04,,,,Sriratanaviriyakul N; Lam F; Morrissey BM; Stollenwerk N; Schivo M; Yoneda KY
9,"Petrella F, Borri A, Casiraghi M. Operative rigid bronchoscopy: indications, basic techniques and results. Multimed Man Cardiothorac Surg. 2014;2014:6.","Operative rigid bronchoscopy: indications, basic techniques and results",Multimed Man Cardiothorac Surg,2014,2014,,6,,,Petrella F; Borri A; Casiraghi M
10,"Ernst A, Feller-Kopman D, Becker HD, Mehta AC. Central airway obstruction. Am J Respir Crit Care Med. 2004;169(12).",Central airway obstruction,Am J Respir Crit Care Med,2004,169,12,,,,Ernst A; Feller-Kopman D; Becker HD; Mehta AC
11,"Casas B, Fernández-Bussy D, Folch S et al.. Non-malignant central airway obstruction. Arch Bronconeumol. 2014;50(08).",Non-malignant central airway obstruction,Arch Bronconeumol,2014,50,08,,,,Casas B; Fernández-Bussy D; Folch S; E; Aldeyturriaga F; Majid J; A
12,"Ost DE, Ernst A, Grosu HB. Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life. Chest. 2015;147(05).",Therapeutic bronchoscopy for malignant central airway obstruction: success rates and impact on dyspnea and quality of life,Chest,2015,147,05,,,,Ost DE; Ernst A; Grosu HB
