#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"O'brian B, Davis S, Toth E-, P. G-tube site care: a practical guide. RN. 1999;62(2).",G-tube site care: a practical guide,RN,1999,62,2,,,,O'brian B; Davis S; Toth E-; P
2,"Bannerman E, Pendlebury J, Phillips F, Ghosh S. A cross-sectional and longitudinal study of health-related quality of life after percutaneous gastrostomy. Eur J Gastroenterol Hepatol. 2000;12(10).",A cross-sectional and longitudinal study of health-related quality of life after percutaneous gastrostomy,Eur J Gastroenterol Hepatol,2000,12,10,,,,Bannerman E; Pendlebury J; Phillips F; Ghosh S
3,"Cosentini EP, Sautner T, Gnant M, Winkelbauer F, Teleky B, Jakesz R. Outcomes of surgical, percutaneous endoscopic, and percutaneous radiologic gastrostomies. Arch Surgery. 1998;133(10).","Outcomes of surgical, percutaneous endoscopic, and percutaneous radiologic gastrostomies",Arch Surgery,1998,133,10,,,,Cosentini EP; Sautner T; Gnant M; Winkelbauer F; Teleky B; Jakesz R
4,Walton GM. Complications of percutaneous gastrostomy in patients with head and neck cancer -an analysis of 42 consecutive patients. Ann R Coll Surg Engl. 1999;81.,Complications of percutaneous gastrostomy in patients with head and neck cancer -an analysis of 42 consecutive patients,Ann R Coll Surg Engl,1999,81,,,,,Walton GM
5,"Moller P, Lindberg CG, Zilling T. Gastrostomy by various techniques: evaluation of indications, outcome, and complications. Scand J Gastroenterol. 1999;10.","Gastrostomy by various techniques: evaluation of indications, outcome, and complications",Scand J Gastroenterol,1999,10,,,,,Moller P; Lindberg CG; Zilling T
6,"Wollman B, Agostino D, HB. Percutaneous radiologic and endoscopic gastrostomy: a three-year institutional analysis of procedure performance. AJR. 1997;169.",Percutaneous radiologic and endoscopic gastrostomy: a three-year institutional analysis of procedure performance,AJR,1997,169,,,,,Wollman B; Agostino D; HB
7,"Thornton FJ, Varghese JC, Haslam PJ, Mcgrath FP, Keeling F, Lee MJ. Percutaneous gastrostomy in patients who fail or are unsuitable for endoscopic gastrostomy. Cardiovasc Intervent Radiol. 2000;23.",Percutaneous gastrostomy in patients who fail or are unsuitable for endoscopic gastrostomy,Cardiovasc Intervent Radiol,2000,23,,,,,Thornton FJ; Varghese JC; Haslam PJ; Mcgrath FP; Keeling F; Lee MJ
8,"Myssiorek D, Siegel D, Vambutas A. Fluoroscopically placed percutaneous gastrostomies in the head and neck patient. Laryngoscope. 1998;108(10).",Fluoroscopically placed percutaneous gastrostomies in the head and neck patient,Laryngoscope,1998,108,10,,,,Myssiorek D; Siegel D; Vambutas A
9,"Dewald CL, Hiette PO, Sewall LE, Fredenberg PG, Palestrant AM. Percutaneous gastrostomy and gastrojejunostomy with gastropexy: experience in 701 procedures. Radiology. 1999;211(3).",Percutaneous gastrostomy and gastrojejunostomy with gastropexy: experience in 701 procedures,Radiology,1999,211,3,,,,Dewald CL; Hiette PO; Sewall LE; Fredenberg PG; Palestrant AM
10,"Dravid VS, Gupta A, Zegel HG, Morales AV, Rabinowitz B, Freiman DB. Investigation of antibiotic prophylaxis usage for vascular and nonvascular interventional procedures. J Vasc Interv Radiol. 1998;9(3).",Investigation of antibiotic prophylaxis usage for vascular and nonvascular interventional procedures,J Vasc Interv Radiol,1998,9,3,,,,Dravid VS; Gupta A; Zegel HG; Morales AV; Rabinowitz B; Freiman DB
11,"Gauderer MW, Ponsky JL, Jr I, RJ. Gastrostomy without laparotomy: a percutaneous endoscopic technique. J Pediatr Surgery. 1980;15(6).",Gastrostomy without laparotomy: a percutaneous endoscopic technique,J Pediatr Surgery,1980,15,6,,,,Gauderer MW; Ponsky JL; Jr I; RJ
