#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Paston F, Bye M. Tracheomalacia. Pediatr Rev. 1996;17:328.",Tracheomalacia,Pediatr Rev,1996,17,,328,,,Paston F; Bye M
2,"Wright CD, Tracheomalacia. Chest Surg Clin N Am. Chest Surg Clin N Am. 2003;13.",Chest Surg Clin N Am,Chest Surg Clin N Am,2003,13,,,,,Wright CD; Tracheomalacia
3,"Carden KA, Boiselle PM, Waltz DA. Tracheomalacia and tracheobronchomalacia in children and adults: an in-depth review. Chest. 2005;127.",Tracheomalacia and tracheobronchomalacia in children and adults: an in-depth review,Chest,2005,127,,,,,Carden KA; Boiselle PM; Waltz DA
4,Boiselle PM. Tracheomalacia: functional imaging of the large airways with multidetector-row CT. New techniques in cardiothoracic imaging. 2007;None.,Tracheomalacia: functional imaging of the large airways with multidetector-row CT,New techniques in cardiothoracic imaging,2007,,,,,,Boiselle PM
5,"Fraser RS, Colman N, Mu ¨ller Nl. Upper airway obstruction. Upper airway obstruction. 2005;None.",Upper airway obstruction,Upper airway obstruction,2005,,,,,,Fraser RS; Colman N; Mu ¨ller Nl
6,"Lee KS, Sun ME, Ernst A. Comparison of dynamic expiratory CT with bronchoscopy in diagnosing airway malacia. Chest. 2007;131.",Comparison of dynamic expiratory CT with bronchoscopy in diagnosing airway malacia,Chest,2007,131,,,,,Lee KS; Sun ME; Ernst A
7,"Gilkeson RC, Ciancibello LM, Hejal RB. Tracheobronchomalacia: dynamic airway evaluation with multidetector CT. AJR Am J Roentgenol. 2001;176.",Tracheobronchomalacia: dynamic airway evaluation with multidetector CT,AJR Am J Roentgenol,2001,176,,,,,Gilkeson RC; Ciancibello LM; Hejal RB
8,"Lee EY, Mason KP, Zurakowski D. MDCTassessment of tracheomalacia in symptomatic infants with mediastinal aortic vascular anomalies: preliminary technical experience. Pediatr Radiol. 2008;38.",MDCTassessment of tracheomalacia in symptomatic infants with mediastinal aortic vascular anomalies: preliminary technical experience,Pediatr Radiol,2008,38,,,,,Lee EY; Mason KP; Zurakowski D
9,"Lee EY, Zurakowski D, Waltz DA. MDCT evaluation of the prevalence of tracheomalacia in children with mediastinal aortic vascular anomalies. J Thorac Imaging. 2008;23(4).",MDCT evaluation of the prevalence of tracheomalacia in children with mediastinal aortic vascular anomalies,J Thorac Imaging,2008,23,4,,,,Lee EY; Zurakowski D; Waltz DA
10,"Baroni RH, Feller-Kopman D, Nishino M. Tracheobronchomalacia: comparison between endexpiratory and dynamic expiratory CT for evaluation of central airway collapse. Radiology. 2005;235(2).",Tracheobronchomalacia: comparison between endexpiratory and dynamic expiratory CT for evaluation of central airway collapse,Radiology,2005,235,2,,,,Baroni RH; Feller-Kopman D; Nishino M
11,"Stern EJ, Graham CM, Webb WR. Normal trachea during forced expiration: dynamic CT measurements. Radiology. 1993;187(1).",Normal trachea during forced expiration: dynamic CT measurements,Radiology,1993,187,1,,,,Stern EJ; Graham CM; Webb WR
