#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1," 9 7.482 0.001 Serum biochemical markers LDH (IU/L, median) 241. Pulmonary function test FVC%Pred (%. 4.3 (3.0-6.6)* 7.6 (5.1-15;79(6 80).","9 7.482 0.001 Serum biochemical markers LDH (IU/L, median) 241",Pulmonary function test FVC%Pred (%,4.3 (3.0-6.6)* 7.6 (5.1-15,79,6 80,,,,
2, *Range. PAP: Pulmonary alveolar proteinosis; WLL: Whole lung lavage; PaO 2 : Partial pressure of oxygen in arterial blood; PA-aO 2 : Alveolar-arterial O 2 gradient; FVC: Forced vital capacity; %Pred: Percentage of the predicted value; FEV1: Forced expiratory volume in one second; DLCO: Diffusing capacity of the lung for carbon monoxide; TLC: Total lung capacity; LDH: Lactate dehydrogenase; CEA: Carcinoembryonic antigen; NSE: Neuron-specific enolase; TC: Cholesterol; TG: Triglyceride; SD: Standard deviation. 1 mmHg = 0.133 KPa. calculated by comparing the baseline parameters among the three groups according to the WLL times. None;None.,*Range. PAP: Pulmonary alveolar proteinosis; WLL: Whole lung lavage; PaO 2 : Partial pressure of oxygen in arterial blood; PA-aO 2 : Alveolar-arterial O 2 gradient; FVC: Forced vital capacity; %Pred: Percentage of the predicted value; FEV1: Forced expiratory volume in one second; DLCO: Diffusing capacity of the lung for carbon monoxide; TLC: Total lung capacity; LDH: Lactate dehydrogenase; CEA: Carcinoembryonic antigen; NSE: Neuron-specific enolase; TC: Cholesterol; TG: Triglyceride; SD: Standard deviation. 1 mmHg = 0.133 KPa,calculated by comparing the baseline parameters among the three groups according to the WLL times,,,,,,,
3,"Rosen SH, Castleman B, Liebow AA. Pulmonary alveolar proteinosis. N Engl J Med. 1958;258.",Pulmonary alveolar proteinosis,N Engl J Med,1958,258,,,,,Rosen SH; Castleman B; Liebow AA
4,"Leth S, Bendstrup E, Vestergaard H, Hilberg O. Autoimmune pulmonary alveolar proteinosis: Treatment options in year 2013. Respirology. 2013;18.",Autoimmune pulmonary alveolar proteinosis: Treatment options in year 2013,Respirology,2013,18,,,,,Leth S; Bendstrup E; Vestergaard H; Hilberg O
5,"Trapnell BC, Whitsett JA, Nakata K. Pulmonary alveolar proteinosis. N Engl J Med. 2003;349.",Pulmonary alveolar proteinosis,N Engl J Med,2003,349,,,,,Trapnell BC; Whitsett JA; Nakata K
6,"Luisetti M, Kadija Z, Mariani F, Rodi G, Campo I, Trapnell BC. Therapy options in pulmonary alveolar proteinosis. Ther Adv Respir Dis. 2010;4.",Therapy options in pulmonary alveolar proteinosis,Ther Adv Respir Dis,2010,4,,,,,Luisetti M; Kadija Z; Mariani F; Rodi G; Campo I; Trapnell BC
7,"Seymour JF, Presneill JJ. Pulmonary alveolar proteinosis: Progress in the first 44 years. Am J Respir Crit Care Med. 2002;166.",Pulmonary alveolar proteinosis: Progress in the first 44 years,Am J Respir Crit Care Med,2002,166,,,,,Seymour JF; Presneill JJ
8,"Inoue Y, Trapnell BC, Tazawa R, Arai T, Takada T, Hizawa N. Characteristics of a large cohort of patients with autoimmune pulmonary alveolar proteinosis in Japan. Am J Respir Crit Care Med. 2008;177.",Characteristics of a large cohort of patients with autoimmune pulmonary alveolar proteinosis in Japan,Am J Respir Crit Care Med,2008,177,,,,,Inoue Y; Trapnell BC; Tazawa R; Arai T; Takada T; Hizawa N
9,"Bonella F, Bauer PC, Griese M, Ohshimo S, Guzman J, Costabel U. Pulmonary alveolar proteinosis: New insights from a single-center cohort of 70 patients. Respir Med. 2011;105.",Pulmonary alveolar proteinosis: New insights from a single-center cohort of 70 patients,Respir Med,2011,105,,,,,Bonella F; Bauer PC; Griese M; Ohshimo S; Guzman J; Costabel U
10,"Byun MK, Kim DS, Kim YW, Chung MP, Shim JJ, Cha SI. Clinical features and outcomes of idiopathic pulmonary alveolar proteinosis in Korean population. J Korean Med Sci. 2010;25.",Clinical features and outcomes of idiopathic pulmonary alveolar proteinosis in Korean population,J Korean Med Sci,2010,25,,,,,Byun MK; Kim DS; Kim YW; Chung MP; Shim JJ; Cha SI
11,"Campo I, Mariani F, Rodi G, Paracchini E, Tsana E, Piloni D. Assessment and management of pulmonary alveolar proteinosis in a reference center. Orphanet J Rare Dis. 2013;8:40.",Assessment and management of pulmonary alveolar proteinosis in a reference center,Orphanet J Rare Dis,2013,8,,40,,,Campo I; Mariani F; Rodi G; Paracchini E; Tsana E; Piloni D
12,"Ben-Dov I, Segel MJ. Autoimmune pulmonary alveolar proteinosis: Clinical course and diagnostic criteria. Autoimmun Rev. 2014;13.",Autoimmune pulmonary alveolar proteinosis: Clinical course and diagnostic criteria,Autoimmun Rev,2014,13,,,,,Ben-Dov I; Segel MJ
13,"Brooks D, Solway S, Gibbons WJ. ATS statement on six-minute walk test. Am J Respir Crit Care Med. 2003;167:1287.",ATS statement on six-minute walk test,Am J Respir Crit Care Med,2003,167,,1287,,,Brooks D; Solway S; Gibbons WJ
14,"Michaud G, Reddy C, Ernst A. Whole-lung lavage for pulmonary alveolar proteinosis. Chest. 2009;136.",Whole-lung lavage for pulmonary alveolar proteinosis,Chest,2009,136,,,,,Michaud G; Reddy C; Ernst A
15,"Beccaria M, Luisetti M, Rodi G, Corsico A, Zoia MC, Colato S. Long-term durable benefit after whole lung lavage in pulmonary alveolar proteinosis. Eur Respir J. 2004;23.",Long-term durable benefit after whole lung lavage in pulmonary alveolar proteinosis,Eur Respir J,2004,23,,,,,Beccaria M; Luisetti M; Rodi G; Corsico A; Zoia MC; Colato S
16,"Ramirez J, Kieffer RF, Jr, Ball WC. Bronchopulmonary lavage in man. Ann Intern Med. 1965;63.",Bronchopulmonary lavage in man,Ann Intern Med,1965,63,,,,,Ramirez J; Kieffer RF; Jr; Ball WC
17,"Whitsett JA, Wert SE, Weaver TE. Alveolar surfactant homeostasis and the pathogenesis of pulmonary disease. Annu Rev Med. 2010;61.",Alveolar surfactant homeostasis and the pathogenesis of pulmonary disease,Annu Rev Med,2010,61,,,,,Whitsett JA; Wert SE; Weaver TE
18,"Bonella F, Ohshimo S, Miaotian C, Griese M, Guzman J, Costabel U. Serum KL-6 is a predictor of outcome in pulmonary alveolar proteinosis. Orphanet J Rare Dis. 2013;8:53.",Serum KL-6 is a predictor of outcome in pulmonary alveolar proteinosis,Orphanet J Rare Dis,2013,8,,53,,,Bonella F; Ohshimo S; Miaotian C; Griese M; Guzman J; Costabel U
19,"Hy Y, Xf S, Yx W, Zj X, Huang H. Whole lung lavage combined with Granulocyte-macrophage colony stimulating factor inhalation for an adult case of refractory pulmonary alveolar proteinosis. BMC Pulm Med. 2014;14:87.",Whole lung lavage combined with Granulocyte-macrophage colony stimulating factor inhalation for an adult case of refractory pulmonary alveolar proteinosis,BMC Pulm Med,2014,14,,87,,,Hy Y; Xf S; Yx W; Zj X; Huang H
20,"Ben-Abraham R, Greenfeld A, Rozenman J, Ben-Dov I. Pulmonary alveolar proteinosis: Step-by-step perioperative care of whole lung lavage procedure. Heart Lung. 2002;31.",Pulmonary alveolar proteinosis: Step-by-step perioperative care of whole lung lavage procedure,Heart Lung,2002,31,,,,,Ben-Abraham R; Greenfeld A; Rozenman J; Ben-Dov I
21,"Khan A, Agarwal R, Aggarwal AN. Effectiveness of granulocyte-macrophage colony-stimulating factor therapy in autoimmune pulmonary alveolar proteinosis: A meta-analysis of observational studies. Chest. 2012;141.",Effectiveness of granulocyte-macrophage colony-stimulating factor therapy in autoimmune pulmonary alveolar proteinosis: A meta-analysis of observational studies,Chest,2012,141,,,,,Khan A; Agarwal R; Aggarwal AN
22,"Tazawa R, Trapnell BC, Inoue Y, Arai T, Takada T, Nasuhara Y. Inhaled granulocyte/macrophage-colony stimulating factor as therapy for pulmonary alveolar proteinosis. Am J Respir Crit Care Med. 2010;181.",Inhaled granulocyte/macrophage-colony stimulating factor as therapy for pulmonary alveolar proteinosis,Am J Respir Crit Care Med,2010,181,,,,,Tazawa R; Trapnell BC; Inoue Y; Arai T; Takada T; Nasuhara Y
23,"Tazawa R, Inoue Y, Arai T, Takada T, Kasahara Y, Hojo M. Duration of benefit in patients with autoimmune pulmonary alveolar proteinosis after inhaled granulocyte-macrophage colony-stimulating factor therapy. Chest. 2014;145.",Duration of benefit in patients with autoimmune pulmonary alveolar proteinosis after inhaled granulocyte-macrophage colony-stimulating factor therapy,Chest,2014,145,,,,,Tazawa R; Inoue Y; Arai T; Takada T; Kasahara Y; Hojo M
24,"Seymour JF, Presneill JJ, Schoch OD, Downie GH, Moore PE, Doyle IR. Therapeutic efficacy of granulocyte-macrophage colony-stimulating factor in patients with idiopathic acquired alveolar proteinosis. Am J Respir Crit Care Med. 2001;163.",Therapeutic efficacy of granulocyte-macrophage colony-stimulating factor in patients with idiopathic acquired alveolar proteinosis,Am J Respir Crit Care Med,2001,163,,,,,Seymour JF; Presneill JJ; Schoch OD; Downie GH; Moore PE; Doyle IR
25,"Bonfield TL, Kavuru MS, Thomassen MJ. Anti-GM-CSF titer predicts response to GM-CSF therapy in pulmonary alveolar proteinosis. Clin Immunol. 2002;105.",Anti-GM-CSF titer predicts response to GM-CSF therapy in pulmonary alveolar proteinosis,Clin Immunol,2002,105,,,,,Bonfield TL; Kavuru MS; Thomassen MJ
26,"Venkateshiah SB, Yan TD, Bonfield TL, Thomassen MJ, Meziane M, Czich C. An open-label trial of granulocyte macrophage colony stimulating factor therapy for moderate symptomatic pulmonary alveolar proteinosis. Chest. 2006;130.",An open-label trial of granulocyte macrophage colony stimulating factor therapy for moderate symptomatic pulmonary alveolar proteinosis,Chest,2006,130,,,,,Venkateshiah SB; Yan TD; Bonfield TL; Thomassen MJ; Meziane M; Czich C
27,"Malur A, Kavuru MS, Marshall I, Barna BP, Huizar I, Karnekar R. Rituximab therapy in pulmonary alveolar proteinosis improves alveolar macrophage lipid homeostasis. Respir Res. 2012;13:46.",Rituximab therapy in pulmonary alveolar proteinosis improves alveolar macrophage lipid homeostasis,Respir Res,2012,13,,46,,,Malur A; Kavuru MS; Marshall I; Barna BP; Huizar I; Karnekar R
28,"Kavuru MS, Malur A, Marshall I, Barna BP, Meziane M, Huizar I. An open-label trial of rituximab therapy in pulmonary alveolar proteinosis. Eur Respir J. 2011;38.",An open-label trial of rituximab therapy in pulmonary alveolar proteinosis,Eur Respir J,2011,38,,,,,Kavuru MS; Malur A; Marshall I; Barna BP; Meziane M; Huizar I
29,"Amital A, Dux S, Shitrit D, Shpilberg O, Kramer MR. Therapeutic effectiveness of rituximab in a patient with unresponsive autoimmune pulmonary alveolar proteinosis. Thorax. 2010;65.",Therapeutic effectiveness of rituximab in a patient with unresponsive autoimmune pulmonary alveolar proteinosis,Thorax,2010,65,,,,,Amital A; Dux S; Shitrit D; Shpilberg O; Kramer MR
30,"Garber B, Albores J, Wang T, Neville TH. A plasmapheresis protocol for refractory pulmonary alveolar proteinosis. Lung. 2015;193.",A plasmapheresis protocol for refractory pulmonary alveolar proteinosis,Lung,2015,193,,,,,Garber B; Albores J; Wang T; Neville TH
31,"Luisetti M, Rodi G, Perotti C, Campo I, Mariani F, Pozzi E. Plasmapheresis for treatment of pulmonary alveolar proteinosis. Eur Respir J. 2009;33.",Plasmapheresis for treatment of pulmonary alveolar proteinosis,Eur Respir J,2009,33,,,,,Luisetti M; Rodi G; Perotti C; Campo I; Mariani F; Pozzi E
