#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"López-Campos JL, Tan W, Soriano JB. Global burden of COPD. Respirology. 2016;21(1).",Global burden of COPD,Respirology,2016,21,1,,,,López-Campos JL; Tan W; Soriano JB
2,"Bagdonas E, Raudoniute J, Bruzauskaite I, Aldonyte R. Novel aspects of pathogenesis and regeneration mechanisms in COPD. Int J Chron Obstruct Pulmon Dis. 2015;10.",Novel aspects of pathogenesis and regeneration mechanisms in COPD,Int J Chron Obstruct Pulmon Dis,2015,10,,,,,Bagdonas E; Raudoniute J; Bruzauskaite I; Aldonyte R
3,"Demedts IK, Demoor T, Bracke KR, Joos GF, Brusselle GG. Role of apoptosis in the pathogenesis of COPD and pulmonary emphysema. Respir Res. 2006;7(1):53.",Role of apoptosis in the pathogenesis of COPD and pulmonary emphysema,Respir Res,2006,7,1,53,,,Demedts IK; Demoor T; Bracke KR; Joos GF; Brusselle GG
4,Gold. None. None. 2017;None.,,,2017,,,,,,Gold
5,Nice. Endobronchial valve insertion to reduce lung volume in emphysema. Endobronchial valve insertion to reduce lung volume in emphysema. 2018;None.,Endobronchial valve insertion to reduce lung volume in emphysema,Endobronchial valve insertion to reduce lung volume in emphysema,2018,,,,,,Nice
6,"Slebos DJ, Shah PL, Herth FJ, Valipour A. Endobronchial valves for endoscopic lung volume reduction: best practice recommendations from expert panel on endoscopic lung volume reduction. Respiration. 2017;93(2).",Endobronchial valves for endoscopic lung volume reduction: best practice recommendations from expert panel on endoscopic lung volume reduction,Respiration,2017,93,2,,,,Slebos DJ; Shah PL; Herth FJ; Valipour A
7,"Sciurba FC, Ernst A, Herth FJ, Strange C, Criner GJ, Marquette CH. A randomized study of endobronchial valves for advanced emphysema. N Engl J Med. 2010;363(13).",A randomized study of endobronchial valves for advanced emphysema,N Engl J Med,2010,363,13,,,,Sciurba FC; Ernst A; Herth FJ; Strange C; Criner GJ; Marquette CH
8,"Herth FJ, Noppen M, Valipour A, Leroy S, Vergnon JM, Ficker JH. Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort. Eur Respir J. 2012;39.",Efficacy predictors of lung volume reduction with Zephyr valves in a European cohort,Eur Respir J,2012,39,,,,,Herth FJ; Noppen M; Valipour A; Leroy S; Vergnon JM; Ficker JH
9,"Davey C, Zoumot Z, Jordan S, Mcnulty WH, Carr DH, Hind MD. Bronchoscopic lung volume reduction with endobronchial valves for patients with heterogeneous emphysema and intact interlobar fissures (the BeLieVeR-HIFi study): a randomised controlled trial. Lancet. 2015;386.",Bronchoscopic lung volume reduction with endobronchial valves for patients with heterogeneous emphysema and intact interlobar fissures (the BeLieVeR-HIFi study): a randomised controlled trial,Lancet,2015,386,,,,,Davey C; Zoumot Z; Jordan S; Mcnulty WH; Carr DH; Hind MD
10,"Klooster K, Ten Hacken NH, Hartman JE, Kerstjens HA, Van Rikxoort EM, Slebos DJ. Endobronchial valves for emphysema without interlobar collateral ventilation. N Engl J Med. 2015;373(24).",Endobronchial valves for emphysema without interlobar collateral ventilation,N Engl J Med,2015,373,24,,,,Klooster K; Ten Hacken NH; Hartman JE; Kerstjens HA; Van Rikxoort EM; Slebos DJ
11,"Kemp SV, Slebos DJ, Kirk A et al.. A multicenter RCT of Zephyr ® endobronchial valve treatment in heterogeneous emphysema (TRANS-FORM). Am J Respir Crit Care Med. 2017;196.",A multicenter RCT of Zephyr ® endobronchial valve treatment in heterogeneous emphysema (TRANS-FORM),Am J Respir Crit Care Med,2017,196,,,,,Kemp SV; Slebos DJ; Kirk A; Kornaszewska M; Carron K; Ek L; Study; Team
