#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, Respiration. Respiration. 2018;96. doi:10.1159/000490732.,Respiration,Respiration,2018,96,,,10.1159/000490732,,
2,Light RW. Clinical practice. Pleural effusion. N Engl J Med. 2002;346.,Clinical practice. Pleural effusion,N Engl J Med,2002,346,,,,,Light RW
3,"Owings MF, Kozak LJ. Ambulatory and Inpatient Procedures in the United States. Data from the National Health Survey. 1996;13.",Ambulatory and Inpatient Procedures in the United States,Data from the National Health Survey,1996,13,,,,,Owings MF; Kozak LJ
4,"Kvale PA, Selecky PA, Prakash UB. Palliative care in lung cancer: ACCP evidence-based clinical practice guidelines (2nd edition). Chest. 2007;132.",Palliative care in lung cancer: ACCP evidence-based clinical practice guidelines (2nd edition),Chest,2007,132,,,,,Kvale PA; Selecky PA; Prakash UB
5,"Clive AO, Kahan BC, Hooper CE et al.. Predicting survival in malignant pleural effusion: development and validation of the LENT prognostic score. Thorax. 2014;69.",Predicting survival in malignant pleural effusion: development and validation of the LENT prognostic score,Thorax,2014,69,,,,,Clive AO; Kahan BC; Hooper CE; Bhatnagar R; Morley AJ; Zahan-Evans N; Bintcliffe OJ; Boshuizen RC; Fysh ET; Tobin CL; Medford AR; Harvey JE; Van Den Heuvel MM; Lee YC; Maskell NA
6,"Bielsa S, Panades MJ, Egido R et al.. Accuracy of pleural fluid cytology in malignant effusions). An Med Interna. 2008;25.",Accuracy of pleural fluid cytology in malignant effusions),An Med Interna,2008,25,,,,,Bielsa S; Panades MJ; Egido R; Rue M; Salud A; Matias-Guiu X; Rodriguez-Panadero F; Porcel JM
7,"Prakash UB, Reiman HM. Comparison of needle biopsy with cytologic analysis for the evaluation of pleural effusion: analysis of 414 cases. Mayo Clin Proc. 1985;60.",Comparison of needle biopsy with cytologic analysis for the evaluation of pleural effusion: analysis of 414 cases,Mayo Clin Proc,1985,60,,,,,Prakash UB; Reiman HM
8,"Hooper C, Lee YC, Maskell N. Investigation of a unilateral pleural effusion in adults: British Thoracic Society Pleural Disease Guideline 2010. Thorax. 2010;65(suppl 2).",Investigation of a unilateral pleural effusion in adults: British Thoracic Society Pleural Disease Guideline 2010,Thorax,2010,65,suppl 2,,,,Hooper C; Lee YC; Maskell N
9,"Adams RF, Gray W, Davies RJ, Gleeson FV. Percutaneous image-guided cutting needle biopsy of the pleura in the diagnosis of malignant mesothelioma. Chest. 2001;120.",Percutaneous image-guided cutting needle biopsy of the pleura in the diagnosis of malignant mesothelioma,Chest,2001,120,,,,,Adams RF; Gray W; Davies RJ; Gleeson FV
10,"Benamore RE, Scott K, Richards CJ, Entwisle JJ. Image-guided pleural biopsy: diagnostic yield and complications. Clin Radiol. 2006;61.",Image-guided pleural biopsy: diagnostic yield and complications,Clin Radiol,2006,61,,,,,Benamore RE; Scott K; Richards CJ; Entwisle JJ
11,"Scott EM, Marshall TJ, Flower CD, Stewart S. Diffuse pleural thickening: percutaneous CTguided cutting needle biopsy. Radiology. 1995;194.",Diffuse pleural thickening: percutaneous CTguided cutting needle biopsy,Radiology,1995,194,,,,,Scott EM; Marshall TJ; Flower CD; Stewart S
