#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Reed MF, Mathisen DJ. Tracheoesophageal fistula. Chest 20 cm 20 cm 20 cm. Surg Clin N Am. 2003;13.",Tracheoesophageal fistula. Chest 20 cm 20 cm 20 cm,Surg Clin N Am,2003,13,,,,,Reed MF; Mathisen DJ
2,"Sahnoun L, Aloui S, Nouri S. Isolated congenital tracheoesophageal fistula. Arch Pediatr. 2013;20.",Isolated congenital tracheoesophageal fistula,Arch Pediatr,2013,20,,,,,Sahnoun L; Aloui S; Nouri S
3,"Gudovsky LM, Koroleva NS, Biryukov YB. Tracheoesophageal fistulas. Ann Thorac Surg. 1993;55.",Tracheoesophageal fistulas,Ann Thorac Surg,1993,55,,,,,Gudovsky LM; Koroleva NS; Biryukov YB
4,"Hürtgen M, Herber SC. Treatment of malignant tracheoesophageal fistula. Thorac Surg Clin. 2014;24.",Treatment of malignant tracheoesophageal fistula,Thorac Surg Clin,2014,24,,,,,Hürtgen M; Herber SC
5,"Burt M, Diehl W, Martini N. Malignant esophagorespiratory fistula: management options and survival. Ann Thorac Surg. 1991;52.",Malignant esophagorespiratory fistula: management options and survival,Ann Thorac Surg,1991,52,,,,,Burt M; Diehl W; Martini N
6,"Balazs A, Kupcsulik PK, Galambos Z. Esophagorespiratory fistulas of tumorous origin. Non-operative management of 264 cases in a 20-year period. Eur J Cardiothorac Surg. 2008;34.",Esophagorespiratory fistulas of tumorous origin. Non-operative management of 264 cases in a 20-year period,Eur J Cardiothorac Surg,2008,34,,,,,Balazs A; Kupcsulik PK; Galambos Z
7,Schowengerdt CG. Tracheoesophageal fistula caused by a self-expanding esophageal stent. Ann Thorac Surg. 1999;67.,Tracheoesophageal fistula caused by a self-expanding esophageal stent,Ann Thorac Surg,1999,67,,,,,Schowengerdt CG
8,"Filston HC, Rankin JS, Kirks DR. The diagnosis of primary and recurrent tracheoesophageal fistulas: value of selective catheterization. J Pediatr Surg. 1982;17.",The diagnosis of primary and recurrent tracheoesophageal fistulas: value of selective catheterization,J Pediatr Surg,1982,17,,,,,Filston HC; Rankin JS; Kirks DR
9,Scott DA. Esophageal Atresia/Tracheoesophageal Fistula Overview. Esophageal Atresia/Tracheoesophageal Fistula Overview. 1993;None.,Esophageal Atresia/Tracheoesophageal Fistula Overview,Esophageal Atresia/Tracheoesophageal Fistula Overview,1993,,,,,,Scott DA
10,"Rodriguez AN, Diaz-Jimenez JP. Malignant respiratorydigestive fistulas. Curr Opin Pulm Med. 2010;16.",Malignant respiratorydigestive fistulas,Curr Opin Pulm Med,2010,16,,,,,Rodriguez AN; Diaz-Jimenez JP
11,"Mathisen DJ, Grillo HC, Wain JC. Management of acquired nonmalignant tracheoesophageal fistula. Ann Thorac Surg. 1991;52.",Management of acquired nonmalignant tracheoesophageal fistula,Ann Thorac Surg,1991,52,,,,,Mathisen DJ; Grillo HC; Wain JC
12,"Freitag L, Tekolf E, Steveling H. Management of malignant esophagotracheal fistulas with airway stenting and double stenting. Chest. 1996;110.",Management of malignant esophagotracheal fistulas with airway stenting and double stenting,Chest,1996,110,,,,,Freitag L; Tekolf E; Steveling H
13,"Scappaticci E, Ardissone F, Baldi S. Closure of an iatrogenic tracheo-esophageal fistula with bronchoscopic gluing in a mechanically ventilated adult patient. Ann Thorac Surg. 2004;77.",Closure of an iatrogenic tracheo-esophageal fistula with bronchoscopic gluing in a mechanically ventilated adult patient,Ann Thorac Surg,2004,77,,,,,Scappaticci E; Ardissone F; Baldi S
14,"Rakoczy G, Brown B, Barman D. KTP laser: an important tool in refractory recurrent tracheo-esophageal fistula in children. Int J Pediatr Otorhinolaryngol. 2010;74.",KTP laser: an important tool in refractory recurrent tracheo-esophageal fistula in children,Int J Pediatr Otorhinolaryngol,2010,74,,,,,Rakoczy G; Brown B; Barman D
15,"Bhatnagar V, Lal R, Sriniwas M. Endoscopic treatment of tracheoesophageal fistula using electrocautery and the Nd:YAG laser. J Pediatr Surg. 1999;34.",Endoscopic treatment of tracheoesophageal fistula using electrocautery and the Nd:YAG laser,J Pediatr Surg,1999,34,,,,,Bhatnagar V; Lal R; Sriniwas M
16,"Jiang BT, Li GH, Li RH. The value of clinical application of covered esophageal stent in the treatment of malignant esophageal stenosis and esophago-tracheal fistula under endoscope. Modern Digestion & Intervention. None;2014.",The value of clinical application of covered esophageal stent in the treatment of malignant esophageal stenosis and esophago-tracheal fistula under endoscope,Modern Digestion & Intervention,,2014,,,,,Jiang BT; Li GH; Li RH
17,"Wang TX, Jiang RH. 42 cases observation of covered stent placed by endoscopy to treat tracheoesophageal fistula after esophageal radiotherapy. China Journal of Endoscopy. None;2014.",42 cases observation of covered stent placed by endoscopy to treat tracheoesophageal fistula after esophageal radiotherapy,China Journal of Endoscopy,,2014,,,,,Wang TX; Jiang RH
18,Dumon JF. A dedicated tracheobronchial stent. Chest. 1990;97.,A dedicated tracheobronchial stent,Chest,1990,97,,,,,Dumon JF
19,"Han XW, Li TX, Wang RL. Cancerous esophagotracheal fistula: treatment of placement with covered self-expanding metallic Stent. Chinese Journal of Radiology. 1997;None.",Cancerous esophagotracheal fistula: treatment of placement with covered self-expanding metallic Stent,Chinese Journal of Radiology,1997,,,,,,Han XW; Li TX; Wang RL
20,"Koeda K, Ishida K, Sato N. Clinical experiences with the insertion of dynamic stent for the patients with esophago-tracheal fistula due to advanced esophageal carcinoma--two case reports. Nihon Kyobu Geka Gakkai Zasshi. 1997;45.",Clinical experiences with the insertion of dynamic stent for the patients with esophago-tracheal fistula due to advanced esophageal carcinoma--two case reports,Nihon Kyobu Geka Gakkai Zasshi,1997,45,,,,,Koeda K; Ishida K; Sato N
21,"Qi XW, Zhang XL. 16 cases analysis of covered esophageal stenting in the treatment of esophago-tracheal fistula. Chinese Journal of Misdiagnostics. None;2007.",16 cases analysis of covered esophageal stenting in the treatment of esophago-tracheal fistula,Chinese Journal of Misdiagnostics,,2007,,,,,Qi XW; Zhang XL
22,"Mitsuoka M, Sakuragi T, Itoh T. Clinical benefits and complications of Dumon stent insertion for the treatment of severe central airway stenosis or airway fistula. Gen Thorac Cardiovasc Surg. 2007;55.",Clinical benefits and complications of Dumon stent insertion for the treatment of severe central airway stenosis or airway fistula,Gen Thorac Cardiovasc Surg,2007,55,,,,,Mitsuoka M; Sakuragi T; Itoh T
