#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1, The WHO family of international classifications. The WHO family of international classifications. 2006;None.,The WHO family of international classifications,The WHO family of international classifications,2006,,,,,,
2,"Murgu SD, Colt HG. Description of a multidimensional classification system for patients with expiratory central airway collapse. Respirology. 2007;12.",Description of a multidimensional classification system for patients with expiratory central airway collapse,Respirology,2007,12,,,,,Murgu SD; Colt HG
3,"Murgu SD, Colt HG. Tracheobronchomalacia and excessive dynamic airway collapse. Respirology. 2006;11.",Tracheobronchomalacia and excessive dynamic airway collapse,Respirology,2006,11,,,,,Murgu SD; Colt HG
4,"Park JG, Edell ES. Dynamic airway collapse. Different from tracheomalacia. Rev Port Pneumol. 2005;11.",Dynamic airway collapse. Different from tracheomalacia,Rev Port Pneumol,2005,11,,,,,Park JG; Edell ES
5,"Kalra A, Abouzgheib W, Gajera M. Excessive dynamic airway collapse for the internist: new nomenclature or different entity?. Postgrad Med J. 2011;87.",Excessive dynamic airway collapse for the internist: new nomenclature or different entity?,Postgrad Med J,2011,87,,,,,Kalra A; Abouzgheib W; Gajera M
6,"Boiselle PM, Michaud G, Roberts DH. Dynamic expiratory tracheal collapse in COPD: correlation with clinical and physiological parameters. Chest. 2012;142(6).",Dynamic expiratory tracheal collapse in COPD: correlation with clinical and physiological parameters,Chest,2012,142,6,,,,Boiselle PM; Michaud G; Roberts DH
7,"Aquino SL, Shepard JA, Ginns LC. Acquired tracheomalacia: detection by expiratory CT scan. J Comput Assist Tomogr. 2001;25.",Acquired tracheomalacia: detection by expiratory CT scan,J Comput Assist Tomogr,2001,25,,,,,Aquino SL; Shepard JA; Ginns LC
8,"Stern EJ, Graham CM, Webb WR. Normal trachea during forced expiration: dynamic CT measurements. Radiology. 1993;187.",Normal trachea during forced expiration: dynamic CT measurements,Radiology,1993,187,,,,,Stern EJ; Graham CM; Webb WR
9,Nuutinen J. Acquired tracheobronchomalacia. A clinical study with bronchological correlations. Ann Clin Res. 1977;9.,Acquired tracheobronchomalacia. A clinical study with bronchological correlations,Ann Clin Res,1977,9,,,,,Nuutinen J
10,"Masaoka A, Yamakawa Y, Niwa H. Pediatric and adult tracheobronchomalacia. Eur J Cardiothorac Surg. 1996;10.",Pediatric and adult tracheobronchomalacia,Eur J Cardiothorac Surg,1996,10,,,,,Masaoka A; Yamakawa Y; Niwa H
11,"Sverzellati N, Rastelli A, Chetta A. Airway malacia in chronic obstructive pulmonary disease: prevalence, morphology and relationship with emphysema, bronchiectasis and bronchial wall thickening. Eur Radiol. 2009;19.","Airway malacia in chronic obstructive pulmonary disease: prevalence, morphology and relationship with emphysema, bronchiectasis and bronchial wall thickening",Eur Radiol,2009,19,,,,,Sverzellati N; Rastelli A; Chetta A
12,"Boiselle PM, Donnell O, Bankier CR, AA. Tracheal collapsibility in healthy volunteers during forced expiration: assessment with multidetector CT. Radiology. 2009;252.",Tracheal collapsibility in healthy volunteers during forced expiration: assessment with multidetector CT,Radiology,2009,252,,,,,Boiselle PM; Donnell O; Bankier CR; AA
13,Rayl JE. Tracheobronchial collapse during cough. Radiology. 1965;85.,Tracheobronchial collapse during cough,Radiology,1965,85,,,,,Rayl JE
14,"Johnson TH, Mikita JJ, Wilson RJ. Acquired tracheomalacia. Radiology. 1973;109.",Acquired tracheomalacia,Radiology,1973,109,,,,,Johnson TH; Mikita JJ; Wilson RJ
15,"Feist JH, Johnson TH, Wilson RJ. Acquired tracheomalacia: etiology and differential diagnosis. Chest. 1975;68.",Acquired tracheomalacia: etiology and differential diagnosis,Chest,1975,68,,,,,Feist JH; Johnson TH; Wilson RJ
16,"Thiriet M, Maarek JM, Chartrand DA. Transverse images of the human thoracic trachea during forced expiration. J Appl Physiol. 1989;67.",Transverse images of the human thoracic trachea during forced expiration,J Appl Physiol,1989,67,,,,,Thiriet M; Maarek JM; Chartrand DA
17,"Litmanovich D, Donnell O, Bankier CR, AA. Bronchial collapsibility at forced expiration in healthy volunteers: assessment with multidetector CT. Radiology. 2010;257.",Bronchial collapsibility at forced expiration in healthy volunteers: assessment with multidetector CT,Radiology,2010,257,,,,,Litmanovich D; Donnell O; Bankier CR; AA
18,"Brouns M, Jayaraju ST, Lacor C. Tracheal stenosis: a flow dynamics study. J Appl Physiol. 2007;102.",Tracheal stenosis: a flow dynamics study,J Appl Physiol,2007,102,,,,,Brouns M; Jayaraju ST; Lacor C
19,"Jokinen K, Palva T, Sutinen S. Acquired tracheobronchomalacia. Ann Clin Res. 1977;9.",Acquired tracheobronchomalacia,Ann Clin Res,1977,9,,,,,Jokinen K; Palva T; Sutinen S
20,"Joosten S, Macdonald M, Lau KK. Excessive dynamic airway collapse co-morbid with COPD diagnosed using 320-slice dynamic CT scanning technology. Thorax. 2012;67.",Excessive dynamic airway collapse co-morbid with COPD diagnosed using 320-slice dynamic CT scanning technology,Thorax,2012,67,,,,,Joosten S; Macdonald M; Lau KK
21,"¨lu ¨kbas B, Bergmann S, Fisseler-Eckhoff T, A. Short-and long-term outcome of sleeve resections in the elderly. Eur J Cardiothorac Surg. 2010;37.",Short-and long-term outcome of sleeve resections in the elderly,Eur J Cardiothorac Surg,2010,37,,,,,¨lu ¨kbas B; Bergmann S; Fisseler-Eckhoff T; A
22,"Represas R, C, ´ndez-Villar F, Garcı ´a-Tejedor A, JL. Excessive dynamic airway collapse: a new disease. Rev Clin Esp. 2010;210.",Excessive dynamic airway collapse: a new disease,Rev Clin Esp,2010,210,,,,,Represas R; C; ´ndez-Villar F; Garcı ´a-Tejedor A; JL
23,"Tamura Y, Sakatani K, Yamakoshi N. A case of severe COPD associated with tracheo-bronchial stenosis, treated with non-invasive positive pressure ventilation. Nihon Kokyuki Gakkai Zasshi. 2008;46.","A case of severe COPD associated with tracheo-bronchial stenosis, treated with non-invasive positive pressure ventilation",Nihon Kokyuki Gakkai Zasshi,2008,46,,,,,Tamura Y; Sakatani K; Yamakoshi N
24,"O'donnell CR, Litmanovich D, Loring SH. Age and gender dependence of forced expiratory central airway collapse in healthy volunteers. Chest. 2012;142(1).",Age and gender dependence of forced expiratory central airway collapse in healthy volunteers,Chest,2012,142,1,,,,O'donnell CR; Litmanovich D; Loring SH
25,"Healy F, Wilson AF, Fairshter RD. Physiologic correlates of airway collapse in chronic airflow obstruction. Chest. 1984;85.",Physiologic correlates of airway collapse in chronic airflow obstruction,Chest,1984,85,,,,,Healy F; Wilson AF; Fairshter RD
26,"Campbell AH, Faulks LW. Expiratory air-flow pattern in tracheobronchial collapse. Am Rev Respir Dis. 1965;92.",Expiratory air-flow pattern in tracheobronchial collapse,Am Rev Respir Dis,1965,92,,,,,Campbell AH; Faulks LW
27,"Baydur A, Wilkinson L, Mehdian R. Extrathoracic expiratory flow limitation in obesity and obstructive and restrictive disorders: effects of increasing negative expiratory pressure. Chest. 2004;125.",Extrathoracic expiratory flow limitation in obesity and obstructive and restrictive disorders: effects of increasing negative expiratory pressure,Chest,2004,125,,,,,Baydur A; Wilkinson L; Mehdian R
28,"Behazin N, Jones SB, Cohen RI. Respiratory restriction and elevated pleural and esophageal pressures in morbid obesity. J Appl Physiol. 2010;108.",Respiratory restriction and elevated pleural and esophageal pressures in morbid obesity,J Appl Physiol,2010,108,,,,,Behazin N; Jones SB; Cohen RI
29,"Steier J, Jolley CJ, Seymour J. Obese patients develop an intrinsic positive end expiratory pressure (PEEP) when supine. Am J Respir Crit Care Med. 2008;177:A275.",Obese patients develop an intrinsic positive end expiratory pressure (PEEP) when supine,Am J Respir Crit Care Med,2008,177,,A275,,,Steier J; Jolley CJ; Seymour J
30,"Mead J, Turner JM, Macklem PT. Significance of the relationship between lung recoil and maximum expiratory flow. J Appl Physiol. 1967;22.",Significance of the relationship between lung recoil and maximum expiratory flow,J Appl Physiol,1967,22,,,,,Mead J; Turner JM; Macklem PT
31,"Dawson SV, Elliott EA. Wave-speed limitation on expiratory flow-a unifying concept. J Appl Physiol. 1977;43.",Wave-speed limitation on expiratory flow-a unifying concept,J Appl Physiol,1977,43,,,,,Dawson SV; Elliott EA
32,"Macklem PT, Fraser RG, Brown WG. The detection of the flow-limiting bronchi in bronchitis and emphysema by airway pressure measurements. Med Thorac. 1965;22.",The detection of the flow-limiting bronchi in bronchitis and emphysema by airway pressure measurements,Med Thorac,1965,22,,,,,Macklem PT; Fraser RG; Brown WG
33,"Macklem PT, Wilson NJ. Measurement of intrabronchial pressure in man. J Appl Physiol. 1965;20.",Measurement of intrabronchial pressure in man,J Appl Physiol,1965,20,,,,,Macklem PT; Wilson NJ
34,"Smaldone GC, Smith PL. Location of flow-limiting segments via airway catheters near residual volume in humans. J Appl Physiol. 1985;59.",Location of flow-limiting segments via airway catheters near residual volume in humans,J Appl Physiol,1985,59,,,,,Smaldone GC; Smith PL
35,"Baram D, Smaldone G. Tracheal collapse versus tracheobronchomalacia: normal function versus disease. Am J Respir Crit Care Med. 2006;174:724.",Tracheal collapse versus tracheobronchomalacia: normal function versus disease,Am J Respir Crit Care Med,2006,174,,724,,,Baram D; Smaldone G
36,"Pedersen OF, Brackel HJ, Bogaard JM. Wave-speed-determined flow limitation at peak flow in normal and asthmatic subjects. J Appl Physiol. 1997;83.",Wave-speed-determined flow limitation at peak flow in normal and asthmatic subjects,J Appl Physiol,1997,83,,,,,Pedersen OF; Brackel HJ; Bogaard JM
37,"Nishine H, Hiramoto T, Kida H. Assessing the site of maximal obstruction in the trachea using lateral pressure measurement during bronchoscopy. Am J Respir Crit Care Med. 2012;185.",Assessing the site of maximal obstruction in the trachea using lateral pressure measurement during bronchoscopy,Am J Respir Crit Care Med,2012,185,,,,,Nishine H; Hiramoto T; Kida H
38,"Pedersen OF, Ingram RH. Configuration of maximum expiratory flow volume curve: model experiments with physiological implications. J Appl Physiol. 1985;58.",Configuration of maximum expiratory flow volume curve: model experiments with physiological implications,J Appl Physiol,1985,58,,,,,Pedersen OF; Ingram RH
39,"Miyazawa T, Nishine H, Handa H. Migration of the choke point in relapsing polychondritis after stenting. Chest. 2009;136:81S.",Migration of the choke point in relapsing polychondritis after stenting,Chest,2009,136,,81S,,,Miyazawa T; Nishine H; Handa H
40,"Miyazawa T, Miyazu Y, Iwamoto Y. Stenting at the flow-limiting segment in tracheobronchial stenosis due to lung cancer. Am J Respir Crit Care Med. 2004;169.",Stenting at the flow-limiting segment in tracheobronchial stenosis due to lung cancer,Am J Respir Crit Care Med,2004,169,,,,,Miyazawa T; Miyazu Y; Iwamoto Y
41,"Brackel HJ, Pedersen OF, Mulder PG. Central airways behave more stiffly during forced expiration in patients with asthma. Am J Respir Crit Care Med. 2000;162(3 Pt 1).",Central airways behave more stiffly during forced expiration in patients with asthma,Am J Respir Crit Care Med,2000,162,3 Pt 1,,,,Brackel HJ; Pedersen OF; Mulder PG
42,"Enright PL, Kronmal RA, Manolio TA. Respiratory muscle strength in the elderly. Correlates and reference values. Cardiovascular Health Study Research Group. Am J Respir Crit Care Med. 1994;149(2 Pt 1).",Respiratory muscle strength in the elderly. Correlates and reference values. Cardiovascular Health Study Research Group,Am J Respir Crit Care Med,1994,149,2 Pt 1,,,,Enright PL; Kronmal RA; Manolio TA
43,"Hogg JC, Macklem PT, Thurlbeck WM. Site and nature of airway obstruction in chronic obstructive lung disease. N Engl J Med. 1968;278.",Site and nature of airway obstruction in chronic obstructive lung disease,N Engl J Med,1968,278,,,,,Hogg JC; Macklem PT; Thurlbeck WM
44,"Despas PJ, Leroux M, Macklem PT. Site of airway obstruction in asthma as determined by measuring maximal expiratory flow breathing air and a heliumoxygen mixture. J Clin Invest. 1972;51.",Site of airway obstruction in asthma as determined by measuring maximal expiratory flow breathing air and a heliumoxygen mixture,J Clin Invest,1972,51,,,,,Despas PJ; Leroux M; Macklem PT
45,Mink SN. Expiratory flow limitation and the response to breathing a helium-oxygen gas mixture in a canine model of pulmonary emphysema. J Clin Invest. 1984;73.,Expiratory flow limitation and the response to breathing a helium-oxygen gas mixture in a canine model of pulmonary emphysema,J Clin Invest,1984,73,,,,,Mink SN
46,"Tiddens HA, Bogaard JM, De Jongste JC. Physiological and morphological determinants of maximal expiratory flow in chronic obstructive lung disease. Eur Respir J. 1996;9.",Physiological and morphological determinants of maximal expiratory flow in chronic obstructive lung disease,Eur Respir J,1996,9,,,,,Tiddens HA; Bogaard JM; De Jongste JC
47,"Tandon MK, Campbell AH. Bronchial cartilage in chronic bronchitis. Thorax. 1969;24.",Bronchial cartilage in chronic bronchitis,Thorax,1969,24,,,,,Tandon MK; Campbell AH
48,"Nagai A, West WW, Paul JL. The National Institutes of Health Intermittent Positive-Pressure Breathing trial: pathology studies. I. Interrelationship between morphologic lesions. Am Rev Respir Dis. 1985;132.",The National Institutes of Health Intermittent Positive-Pressure Breathing trial: pathology studies. I. Interrelationship between morphologic lesions,Am Rev Respir Dis,1985,132,,,,,Nagai A; West WW; Paul JL
