#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Noppen M, Keukeleire D, T. Pneumothorax. Respiration. 2008;76.",Pneumothorax,Respiration,2008,76,,,,,Noppen M; Keukeleire D; T
2,"Chee CB, Abisheganaden J, Yeo JK. Persistent airleak in spontaneous pneumothorax--clinical course and outcome. Respir Med. 1998;92.",Persistent airleak in spontaneous pneumothorax--clinical course and outcome,Respir Med,1998,92,,,,,Chee CB; Abisheganaden J; Yeo JK
3,"Decamp MM, Blackstone EH, Naunheim KS. Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial. Ann Thorac Surg. 2006;82.",Patient and surgical factors influencing air leak after lung volume reduction surgery: lessons learned from the National Emphysema Treatment Trial,Ann Thorac Surg,2006,82,,,,,Decamp MM; Blackstone EH; Naunheim KS
4,"Liberman M, Muzikansky A, Wright CD. Incidence and risk factors of persistent air leak after major pulmonary resection and use of chemical pleurodesis. Ann Thorac Surg. 2010;89.",Incidence and risk factors of persistent air leak after major pulmonary resection and use of chemical pleurodesis,Ann Thorac Surg,2010,89,,,,,Liberman M; Muzikansky A; Wright CD
5,"Dumire R, Crabbe MM, Mappin FG. Autologous ""blood patch"" pleurodesis for persistent pulmonary air leak. Chest. 1992;101.","Autologous ""blood patch"" pleurodesis for persistent pulmonary air leak",Chest,1992,101,,,,,Dumire R; Crabbe MM; Mappin FG
6,"Varela G, Jimenez MF, Novoa N. Estimating hospital costs attributable to prolonged air leak in pulmonary lobectomy. Eur J Cardiothorac Surg. 2005;27.",Estimating hospital costs attributable to prolonged air leak in pulmonary lobectomy,Eur J Cardiothorac Surg,2005,27,,,,,Varela G; Jimenez MF; Novoa N
7,"Macduff A, Arnold A, Harvey J. Management of spontaneous pneumothorax: British Thoracic Society Pleural Disease Guideline 2010. Thorax. 2010;65.",Management of spontaneous pneumothorax: British Thoracic Society Pleural Disease Guideline 2010,Thorax,2010,65,,,,,Macduff A; Arnold A; Harvey J
8,"Mathur R, Cullen J, Kinnear WJ. Time course of resolution of persistent air leak in spontaneous pneumothorax. Respir Med. 1995;89.",Time course of resolution of persistent air leak in spontaneous pneumothorax,Respir Med,1995,89,,,,,Mathur R; Cullen J; Kinnear WJ
9,"Lois M, Noppen M. Bronchopleural fistulas: an overview of the problem with special focus on endoscopic management. Chest. 2005;128.",Bronchopleural fistulas: an overview of the problem with special focus on endoscopic management,Chest,2005,128,,,,,Lois M; Noppen M
10,"Stolz AJ, Schutzner J, Lischke R. Predictors of prolonged air leak following pulmonary lobectomy. Eur J Cardiothorac Surg. 2005;27.",Predictors of prolonged air leak following pulmonary lobectomy,Eur J Cardiothorac Surg,2005,27,,,,,Stolz AJ; Schutzner J; Lischke R
11,"Brunelli A, Monteverde M, Borri A. Predictors of prolonged air leak after pulmonary lobectomy. Ann Thorac Surg. 2004;77.",Predictors of prolonged air leak after pulmonary lobectomy,Ann Thorac Surg,2004,77,,,,,Brunelli A; Monteverde M; Borri A
