#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Pratt LW, Ferlito A, RA. Tracheotomy: historical review. Laryngoscope. 2008;118(9).",Tracheotomy: historical review,Laryngoscope,2008,118,9,,,,Pratt LW; Ferlito A; RA
2,"Ciaglia P, Firsching R, Syniec C. Elective percutaneous dilatational tracheostomy. A new simple bedside procedure; preliminary report. Chest. 1985;87(6).",Elective percutaneous dilatational tracheostomy. A new simple bedside procedure; preliminary report,Chest,1985,87,6,,,,Ciaglia P; Firsching R; Syniec C
3,"Ciaglia P. Technique, complications, and improvements in percutaneous dilatational tracheostomy. Chest. 1999;115(5).","Technique, complications, and improvements in percutaneous dilatational tracheostomy",Chest,1999,115,5,,,,Ciaglia P
4,"Griggs WM, Worthley LI, Gilligan JE, Thomas PD, Myburg JA. A simple percutaneous tracheostomy technique. Surg Gynecol Obstet. 1990;170(6).",A simple percutaneous tracheostomy technique,Surg Gynecol Obstet,1990,170,6,,,,Griggs WM; Worthley LI; Gilligan JE; Thomas PD; Myburg JA
5,"Frova G, Quintel M. A new simple method for percutaneous tracheostomy: controlled rotating dilation. A preliminary report. Intensive Care Med. 2002;28(3).",A new simple method for percutaneous tracheostomy: controlled rotating dilation. A preliminary report,Intensive Care Med,2002,28,3,,,,Frova G; Quintel M
6,"Zgoda MA, Berger R. Balloon-facilitated percutaneous dilational tracheostomy tube placement: preliminary report of a novel technique. Chest. 2005;128(5).",Balloon-facilitated percutaneous dilational tracheostomy tube placement: preliminary report of a novel technique,Chest,2005,128,5,,,,Zgoda MA; Berger R
7,"Cianchi G, Zagli G, Bonizzoli M, Batacchi S, Cammelli R, Biondi S. Comparison between single-step and balloon dilatational tracheostomy in intensive care unit: a single-centre, randomized controlled study. Br J Anaesth. 2010;104(6).","Comparison between single-step and balloon dilatational tracheostomy in intensive care unit: a single-centre, randomized controlled study",Br J Anaesth,2010,104,6,,,,Cianchi G; Zagli G; Bonizzoli M; Batacchi S; Cammelli R; Biondi S
8,"Fantoni A, Ripamonti D. A non-derivative, non-surgical tracheostomy: the translaryngeal method. Intensive Care Med. 1997;23(4).","A non-derivative, non-surgical tracheostomy: the translaryngeal method",Intensive Care Med,1997,23,4,,,,Fantoni A; Ripamonti D
9,"Cabrini L, Monti G, Landoni G, Biondi-Zoccai G, Boroli F, Mamo D. Percutaneous tracheostomy, a systematic review. Acta Anaesthesiol Scand. 2012;56(3).","Percutaneous tracheostomy, a systematic review",Acta Anaesthesiol Scand,2012,56,3,,,,Cabrini L; Monti G; Landoni G; Biondi-Zoccai G; Boroli F; Mamo D
10,"Byhahn C, Westphal K, Meininger D, Gu ¨rke B, Kessler P, Lischke V. Single-dilator percutaneous tracheostomy: a comparison of Per-cuTwist and Ciaglia Blue Rhino techniques. Intensive Care Med. 2002;28(9).",Single-dilator percutaneous tracheostomy: a comparison of Per-cuTwist and Ciaglia Blue Rhino techniques,Intensive Care Med,2002,28,9,,,,Byhahn C; Westphal K; Meininger D; Gu ¨rke B; Kessler P; Lischke V
11,"Ambesh SP, Pandey CK, Srivastava S, Agarwal A, Singh DK. Percutaneous tracheostomy with single dilatation technique: a prospective, randomized comparison of Ciaglia Blue Rhino versus Griggs' guidewire dilating forceps. Anesth Analg. 2002;95(6).","Percutaneous tracheostomy with single dilatation technique: a prospective, randomized comparison of Ciaglia Blue Rhino versus Griggs' guidewire dilating forceps",Anesth Analg,2002,95,6,,,,Ambesh SP; Pandey CK; Srivastava S; Agarwal A; Singh DK
