#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Light RW. Pleural effusions. Med Clin North Am. 2011;95(6).,Pleural effusions,Med Clin North Am,2011,95,6,,,,Light RW
2,"Wrightson JM, Davies HE, Lee GY. Pleural effusion, empyema and pneumothorax. Clinical respiratory medicine. 2012;None.","Pleural effusion, empyema and pneumothorax",Clinical respiratory medicine,2012,,,,,,Wrightson JM; Davies HE; Lee GY
3,"Antony V, Loddenkemper R, Astoul P. Management of malignant pleural effusions. Am J Respir Crit Care Med. 2000;162.",Management of malignant pleural effusions,Am J Respir Crit Care Med,2000,162,,,,,Antony V; Loddenkemper R; Astoul P
4,"Miller RJ, Chrissian AA, Lee Y. AABIP evidence-informed guidelines and expert panel report for the management of indwelling pleural catheters. J Bronchol Interv Pulmonol. 2020;27(4).",AABIP evidence-informed guidelines and expert panel report for the management of indwelling pleural catheters,J Bronchol Interv Pulmonol,2020,27,4,,,,Miller RJ; Chrissian AA; Lee Y
5,"Koegelenberg C, Shaw JA, Irusen EM. Contemporary best practice in the management of malignant pleural effusion. Ther Adv Respir Dis. 2018;12:1753466618785098.",Contemporary best practice in the management of malignant pleural effusion,Ther Adv Respir Dis,2018,12,,1753466618785098,,,Koegelenberg C; Shaw JA; Irusen EM
6,"Roberts ME, Neville E, Berrisford RG. Management of a malignant pleural effusion: British Thoracic Society pleural disease guideline 2010. Thorax. 2010;65(Suppl 2).",Management of a malignant pleural effusion: British Thoracic Society pleural disease guideline 2010,Thorax,2010,65,Suppl 2,,,,Roberts ME; Neville E; Berrisford RG
7,"Feller-Kopman DJ, Reddy CB, Decamp MM. Management of malignant pleural effusions. An Official ATS/STS/STR clinical practice guideline. Am J Respir Crit Care Med. 2018;198(7).",Management of malignant pleural effusions. An Official ATS/STS/STR clinical practice guideline,Am J Respir Crit Care Med,2018,198,7,,,,Feller-Kopman DJ; Reddy CB; Decamp MM
8,"Bibby AC, Dorn P, Psallidas I. ERS/EACTS statement on the management of malignant pleural effusions. Eur Respir J. 2018;52(1):1800349.",ERS/EACTS statement on the management of malignant pleural effusions,Eur Respir J,2018,52,1,1800349,,,Bibby AC; Dorn P; Psallidas I
9,"Ost DE, Niu J, Zhao H. Quality gaps and comparative effectiveness of management strategies for recurrent malignant pleural effusions. Chest. 2018;153(2).",Quality gaps and comparative effectiveness of management strategies for recurrent malignant pleural effusions,Chest,2018,153,2,,,,Ost DE; Niu J; Zhao H
10,"Davies HE, Mishra EK, Kahan BC. Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial. JAMA. 2012;307(22).",Effect of an indwelling pleural catheter vs chest tube and talc pleurodesis for relieving dyspnea in patients with malignant pleural effusion: the TIME2 randomized controlled trial,JAMA,2012,307,22,,,,Davies HE; Mishra EK; Kahan BC
11,"Thomas R, Fysh E, Smith NA. Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial. JAMA. 2017;318(19).",Effect of an indwelling pleural catheter vs talc pleurodesis on hospitalization days in patients with malignant pleural effusion: the AMPLE randomized clinical trial,JAMA,2017,318,19,,,,Thomas R; Fysh E; Smith NA
12,"Boshuizen RC, Noort V, Burgers V, JA. A randomized controlled trial comparing indwelling pleural catheters with talc pleurodesis (NVALT-14). Lung Cancer. 2017;108.",A randomized controlled trial comparing indwelling pleural catheters with talc pleurodesis (NVALT-14),Lung Cancer,2017,108,,,,,Boshuizen RC; Noort V; Burgers V; JA
13,"Putnam JB, Light RW, Rodriguez RM. A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions. Cancer. 1999;86.",A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions,Cancer,1999,86,,,,,Putnam JB; Light RW; Rodriguez RM
14,"Gilbert CR, Wahidi MM, Light RW. Management of indwelling tunneled pleural catheters: a modified Delphi consensus statement. Chest. 2020;158(5).",Management of indwelling tunneled pleural catheters: a modified Delphi consensus statement,Chest,2020,158,5,,,,Gilbert CR; Wahidi MM; Light RW
15,"Ost DE, Jimenez CA, Lei X. Quality-adjusted survival following treatment of malignant pleural effusions with indwelling pleural catheters. Chest. 2014;145(6).",Quality-adjusted survival following treatment of malignant pleural effusions with indwelling pleural catheters,Chest,2014,145,6,,,,Ost DE; Jimenez CA; Lei X
16,"Bhatnagar R, Keenan EK, Morley AJ. Outpatient talc administration by indwelling pleural catheter for malignant effusion. N Engl J Med. 2018;378(14).",Outpatient talc administration by indwelling pleural catheter for malignant effusion,N Engl J Med,2018,378,14,,,,Bhatnagar R; Keenan EK; Morley AJ
17,"Gilbert CR, Lee HJ, Akulian JA. A quality improvement intervention to reduce indwelling tunneled pleural catheter infection rates. Ann Am Thorac Soc. 2015;12(6).",A quality improvement intervention to reduce indwelling tunneled pleural catheter infection rates,Ann Am Thorac Soc,2015,12,6,,,,Gilbert CR; Lee HJ; Akulian JA
