#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Light RW. Pleural effusions. Med Clin North Am. 2011;95.,Pleural effusions,Med Clin North Am,2011,95,,,,,Light RW
2,"Gilbert CR, Wahidi MM, Light RW. Management of indwelling tunneled pleural catheters: a modified delphi consensus statement. Chest. 2020;158.",Management of indwelling tunneled pleural catheters: a modified delphi consensus statement,Chest,2020,158,,,,,Gilbert CR; Wahidi MM; Light RW
3,"Clive AO, Bhatnagar R, Psallidas I. Individualised management of malignant pleural effusion. Lancet Respir Med. 2015;3.",Individualised management of malignant pleural effusion,Lancet Respir Med,2015,3,,,,,Clive AO; Bhatnagar R; Psallidas I
4,"Dibonito L, Falconieri G, Colautti I. The positive pleural effusion. A retrospective study of cytopathologic diagnoses with autopsy confirmation. Acta Cytol. 1992;36.",The positive pleural effusion. A retrospective study of cytopathologic diagnoses with autopsy confirmation,Acta Cytol,1992,36,,,,,Dibonito L; Falconieri G; Colautti I
5,"Dipper A, Jones HE, Bhatnagar R. Interventions for the management of malignant pleural effusions: a network meta-analysis. Cochrane Database Syst Rev. 2020;4:10529.",Interventions for the management of malignant pleural effusions: a network meta-analysis,Cochrane Database Syst Rev,2020,4,,10529,,,Dipper A; Jones HE; Bhatnagar R
6,"Chalhoub M, Saqib A, Castellano M. Indwelling pleural catheters: complications and management strategies. J Thorac Dis. 2018;10.",Indwelling pleural catheters: complications and management strategies,J Thorac Dis,2018,10,,,,,Chalhoub M; Saqib A; Castellano M
7,"Psallidas I, Kalomenidis I, Porcel JM. Malignant pleural effusion: from bench to bedside. Eur Respir Rev. 2016;25(141):360.",Malignant pleural effusion: from bench to bedside,Eur Respir Rev,2016,25,141,360,,,Psallidas I; Kalomenidis I; Porcel JM
8,"Bintcliffe OJ, Lee GY, Rahman NM. The management of benign non-infective pleural effusions. Eur Respir Rev. 2016;25.",The management of benign non-infective pleural effusions,Eur Respir Rev,2016,25,,,,,Bintcliffe OJ; Lee GY; Rahman NM
9,"Masuno T, Kishimoto S, Ogura T. A comparative trial of LC9018 plus doxorubicin and doxorubicin alone for the treatment of malignant pleural effusion secondary to lung cancer. Cancer. 1991;68.",A comparative trial of LC9018 plus doxorubicin and doxorubicin alone for the treatment of malignant pleural effusion secondary to lung cancer,Cancer,1991,68,,,,,Masuno T; Kishimoto S; Ogura T
10,"Mishra EK, Clive AO, Wills GH. Randomized controlled trial of urokinase versus placebo for nondraining malignant pleural effusion. Am J Respir Crit Care Med. 2018;197(8).",Randomized controlled trial of urokinase versus placebo for nondraining malignant pleural effusion,Am J Respir Crit Care Med,2018,197,8,,,,Mishra EK; Clive AO; Wills GH
11,"Kasahara K, Shibata K, Shintani H. Randomized phase II trial of OK-432 in patients with malignant pleural effusion due to non-small cell lung cancer. Anticancer Res. 2006;26(2B).",Randomized phase II trial of OK-432 in patients with malignant pleural effusion due to non-small cell lung cancer,Anticancer Res,2006,26,2B,,,,Kasahara K; Shibata K; Shintani H
12,"Burrows CM, Mathews WC, Colt HG. Predicting survival in patients with recurrent symptomatic malignant pleural effusions: an assessment of the prognostic values of physiologic, morphologic, and quality of life measures of extent of disease. Chest. 2000;117.","Predicting survival in patients with recurrent symptomatic malignant pleural effusions: an assessment of the prognostic values of physiologic, morphologic, and quality of life measures of extent of disease",Chest,2000,117,,,,,Burrows CM; Mathews WC; Colt HG
13,"Debiasi EM, Pisani MA, Murphy TE. Mortality among patients with pleural effusion undergoing thoracentesis. Eur Respir J. 2015;46.",Mortality among patients with pleural effusion undergoing thoracentesis,Eur Respir J,2015,46,,,,,Debiasi EM; Pisani MA; Murphy TE
14,"Putnam JB, Light RW, Rodriguez RM. A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions. Cancer. 1999;86.",A randomized comparison of indwelling pleural catheter and doxycycline pleurodesis in the management of malignant pleural effusions,Cancer,1999,86,,,,,Putnam JB; Light RW; Rodriguez RM
15, Premarket Notification. Premarket Notification. 2022;None:510.,Premarket Notification,Premarket Notification,2022,,,510,,,
16, Premarket Notification. Premarket Notification. 2022;None:510.,Premarket Notification,Premarket Notification,2022,,,510,,,
