#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Gould MK, Tang T, Liu IL. Recent trends in the identification of incidental pulmonary nodules. Am J. Respir Crit Care Med. 2015;192(10).",Recent trends in the identification of incidental pulmonary nodules,Am J. Respir Crit Care Med,2015,192,10,,,,Gould MK; Tang T; Liu IL
2,"Aberle DR, Adams AM, Berg CD. Reduced lung-cancer mortality with low-dose computed tomographic screening. N Engl J Med. 2011;365(5).",Reduced lung-cancer mortality with low-dose computed tomographic screening,N Engl J Med,2011,365,5,,,,Aberle DR; Adams AM; Berg CD
3,"Rivera MP, Mehta AC, Wahidi MM. Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines. Chest. 2013;143(5).","Establishing the diagnosis of lung cancer: diagnosis and management of lung cancer, 3rd ed: American College of Chest Physicians evidence-based clinical practice guidelines",Chest,2013,143,5,,,,Rivera MP; Mehta AC; Wahidi MM
4,"Memoli W, Nietert JS, Silvestri PJ, GA. Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule. Chest. 2012;142(2).",Meta-analysis of guided bronchoscopy for the evaluation of the pulmonary nodule,Chest,2012,142,2,,,,Memoli W; Nietert JS; Silvestri PJ; GA
5,"Ost DE, Ernst A, Lei X. Diagnostic yield and complications of bronchoscopy for peripheral lung lesions: results of the AQuIRE Registry. Am J Respir Crit Care Med. 2016;193(1).",Diagnostic yield and complications of bronchoscopy for peripheral lung lesions: results of the AQuIRE Registry,Am J Respir Crit Care Med,2016,193,1,,,,Ost DE; Ernst A; Lei X
6,"Ost DE, Gould MK. Decision making in patients with pulmonary nodules. Am J Respir Crit Care Med. 2012;185(4).",Decision making in patients with pulmonary nodules,Am J Respir Crit Care Med,2012,185,4,,,,Ost DE; Gould MK
7,"Whitney DH, Elashoff MR, Porta-Smith K. Derivation of a bronchial genomic classifier for lung cancer in a prospective study of patients undergoing diagnostic bronchoscopy. BMC Med Genomics. 2015;8(1):18.",Derivation of a bronchial genomic classifier for lung cancer in a prospective study of patients undergoing diagnostic bronchoscopy,BMC Med Genomics,2015,8,1,18,,,Whitney DH; Elashoff MR; Porta-Smith K
8,"Silvestri GA, Vachani A, Whitney D. A bronchial genomic classifier for the diagnostic evaluation of lung cancer. N Engl J Med. 2015;373(3).",A bronchial genomic classifier for the diagnostic evaluation of lung cancer,N Engl J Med,2015,373,3,,,,Silvestri GA; Vachani A; Whitney D
9,"Spira A, Beane J, Shah V. Effects of cigarette smoke on the human airway epithelial cell transcriptome. Proc Natl Acad Sci. 2004;101(27).",Effects of cigarette smoke on the human airway epithelial cell transcriptome,Proc Natl Acad Sci,2004,101,27,,,,Spira A; Beane J; Shah V
10,"Spira A, Beane JE, Shah V. Airway epithelial gene expression in the diagnostic evaluation of smokers with suspect lung cancer. Nat Med. 2007;13(3).",Airway epithelial gene expression in the diagnostic evaluation of smokers with suspect lung cancer,Nat Med,2007,13,3,,,,Spira A; Beane JE; Shah V
11,"Saghir Z, Dirksen A, Ashraf H. CT screening for lung cancer brings forward early disease. The randomised Danish Lung Cancer Screening Trial: status after five annual screening rounds with low-dose CT. Thorax. 2012;67(4).",CT screening for lung cancer brings forward early disease. The randomised Danish Lung Cancer Screening Trial: status after five annual screening rounds with low-dose CT,Thorax,2012,67,4,,,,Saghir Z; Dirksen A; Ashraf H
