#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Ikeda S, Tsuboi E, Ono R, Ishikawa S. Flexible Bronchofiberscope. Jap J Clin Oncol. 1971;1.",Flexible Bronchofiberscope,Jap J Clin Oncol,1971,1,,,,,Ikeda S; Tsuboi E; Ono R; Ishikawa S
2,"Herth F, Eberhardt R, Anantham D, Gompelmann D, Zakaria M, Ernst A. Narrow-Band Imaging Bronchoscopy Increases the Specificity of Bronchoscopic Early Lung Cancer Detection. Journal of Thoracic Oncology. 2009;4.",Narrow-Band Imaging Bronchoscopy Increases the Specificity of Bronchoscopic Early Lung Cancer Detection,Journal of Thoracic Oncology,2009,4,,,,,Herth F; Eberhardt R; Anantham D; Gompelmann D; Zakaria M; Ernst A
3,"Lam B, Wong M, Fung S, Lam D, Wong P, Mok T. The clinical value of autofluorescence bronchoscopy for the diagnosis of lung cancer. Eur Respir J. 2006;28.",The clinical value of autofluorescence bronchoscopy for the diagnosis of lung cancer,Eur Respir J,2006,28,,,,,Lam B; Wong M; Fung S; Lam D; Wong P; Mok T
4,"Shibuya K, Hoshino H, Chiyo M, Yasufuku K, Iizasa T, Saitoh Y. Subepithelial vascular patterns in bronchial dysplasias using a high magnification bronchovideoscope. Thorax. 2002;57.",Subepithelial vascular patterns in bronchial dysplasias using a high magnification bronchovideoscope,Thorax,2002,57,,,,,Shibuya K; Hoshino H; Chiyo M; Yasufuku K; Iizasa T; Saitoh Y
5,"Kurimoto N, Miyazawa T, Okimasa S, Maeda A, Oiwa H, Miyazu Y. Endobronchial Ultrasonography Using a Guide Sheath Increases the Ability ToDiagnose Peripheral Pulmonary Lesions Endoscopically. Chest. 2004;126.",Endobronchial Ultrasonography Using a Guide Sheath Increases the Ability ToDiagnose Peripheral Pulmonary Lesions Endoscopically,Chest,2004,126,,,,,Kurimoto N; Miyazawa T; Okimasa S; Maeda A; Oiwa H; Miyazu Y
6,"Sheski F, Mathur P. Endobronchial Ultrasound. Chest. 2008;133.",Endobronchial Ultrasound,Chest,2008,133,,,,,Sheski F; Mathur P
7,"Hautmann H, Schneider A, Pinkau T, Peltz F, Feussner H. Electromagnetic Catheter Navigation During Bronchoscopy. Chest. 2005;128.",Electromagnetic Catheter Navigation During Bronchoscopy,Chest,2005,128,,,,,Hautmann H; Schneider A; Pinkau T; Peltz F; Feussner H
8,"Thiberville L, Salaün M, Lachkar S, Dominique S, Moreno-Swirc S, Vever-Bizet C. Confocal Fluorescence Endomicroscopy of the Human Airways. The Proceedings of the American Thoracic Society. 2009;6.",Confocal Fluorescence Endomicroscopy of the Human Airways,The Proceedings of the American Thoracic Society,2009,6,,,,,Thiberville L; Salaün M; Lachkar S; Dominique S; Moreno-Swirc S; Vever-Bizet C
9,"Williamson J, Mclaughlin R, Phillips M, Armstrong J, Becker S, Walsh J. Using Optical Coherence Tomography To Improve Diagnostic and Therapeutic Bronchoscopy. Chest. 2009;136.",Using Optical Coherence Tomography To Improve Diagnostic and Therapeutic Bronchoscopy,Chest,2009,136,,,,,Williamson J; Mclaughlin R; Phillips M; Armstrong J; Becker S; Walsh J
10,"Fernández-Villar A, González A, Leiro V et al.. Effect of Different Bronchial Washing Sequences on Diagnostic Yield in Endoscopically Visible Lung Cancer. Arch Bronconeumol. 2006;42.",Effect of Different Bronchial Washing Sequences on Diagnostic Yield in Endoscopically Visible Lung Cancer,Arch Bronconeumol,2006,42,,,,,Fernández-Villar A; González A; Leiro V; Represas C; Botana MI; Blanco P; Mosteiro M
11,"Lee H, Kwon S, Kim D, Yoon H, Lee S, Lee J. Bronchial washing yield before and after forceps biopsy in patients with endoscopically visible lung cancers. Respirology. 2007;12.",Bronchial washing yield before and after forceps biopsy in patients with endoscopically visible lung cancers,Respirology,2007,12,,,,,Lee H; Kwon S; Kim D; Yoon H; Lee S; Lee J
