#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,Campos JH. Progress in lung separation. Thorac Surg Clin. 2005;75.,Progress in lung separation,Thorac Surg Clin,2005,75,,,,,Campos JH
2,"Hautmann H, Bauer M, Pfeifer KJ. Flexible bronchoscopy: a safe method for metal stent implantation in bronchial disease. Ann Thorac Surg. 2000;69.",Flexible bronchoscopy: a safe method for metal stent implantation in bronchial disease,Ann Thorac Surg,2000,69,,,,,Hautmann H; Bauer M; Pfeifer KJ
3,"Hautmann H, Gamarra F, Henke M. High frequency jet ventilation in interventional fiberoptic bronchoscopy. Anesth Analg. 2000;90.",High frequency jet ventilation in interventional fiberoptic bronchoscopy,Anesth Analg,2000,90,,,,,Hautmann H; Gamarra F; Henke M
4,Boiselle PM. Imaging of the large airways. Clin Chest Med. 2008;29.,Imaging of the large airways,Clin Chest Med,2008,29,,,,,Boiselle PM
5,Seymour AH. The relationship between the diameters of the adult cricoid ring and main tracheobronchial tree: a cadaver study to investigate the basis for double-lumen tube selection. J Cardiothorac Vasc Anesth. 2003;17.,The relationship between the diameters of the adult cricoid ring and main tracheobronchial tree: a cadaver study to investigate the basis for double-lumen tube selection,J Cardiothorac Vasc Anesth,2003,17,,,,,Seymour AH
6,"Minnich DJ, Mathisen DJ. Anatomy of the trachea, carina and bronchi. Thorac Surg Clin. 2007;17.","Anatomy of the trachea, carina and bronchi",Thorac Surg Clin,2007,17,,,,,Minnich DJ; Mathisen DJ
7,"Ramachandran N, Owens CM. Imaging of the airways with multidetector row computed tomography. Paediatr Respir Rev. 2008;9.",Imaging of the airways with multidetector row computed tomography,Paediatr Respir Rev,2008,9,,,,,Ramachandran N; Owens CM
8,"Klein U, Karzai W, Bloos F. Role of fiberoptic bronchoscopy in conjunction with the use of double-lumen tubes for thoracic anesthesia. Anesthesiology. 1998;88.",Role of fiberoptic bronchoscopy in conjunction with the use of double-lumen tubes for thoracic anesthesia,Anesthesiology,1998,88,,,,,Klein U; Karzai W; Bloos F
9,"Campos JH, Hallam EA, Van Natta T. Devices for lung isolation used by anesthesiologists with limited thoracic experience: comparison of double-lumen endotracheal tube, Univent torque control blocker, and Arndt wire-guided endobronchial blocker. Anesthesiology. 2006;104.","Devices for lung isolation used by anesthesiologists with limited thoracic experience: comparison of double-lumen endotracheal tube, Univent torque control blocker, and Arndt wire-guided endobronchial blocker",Anesthesiology,2006,104,,,,,Campos JH; Hallam EA; Van Natta T
10,"Campos JH, Kernstine KH. A comparison of a left-sided Broncho-Cath with the torque control blocker univent and the wire-guided blocker. Anesth Analg. 2003;96.",A comparison of a left-sided Broncho-Cath with the torque control blocker univent and the wire-guided blocker,Anesth Analg,2003,96,,,,,Campos JH; Kernstine KH
11,Campos JH. An update on bronchial blockers during lung separation techniques in adults. Anesth Analg. 2003;97.,An update on bronchial blockers during lung separation techniques in adults,Anesth Analg,2003,97,,,,,Campos JH
