#,ama,title,journal,year,volume,issue,pages,doi,pmid,authors
1,"Murray CJ, Lopez AD. Measuring the global burden of disease. N Engl J Med. 2013;369(5).",Measuring the global burden of disease,N Engl J Med,2013,369,5,,,,Murray CJ; Lopez AD
2,"Vogelmeier CF, Criner GJ, Martinez FJ, Anzueto A, Barnes PJ, Bourbeau J. Global Strategy for the Diagnosis, Management, and Prevention of Chronic Obstructive Lung Disease 2017 Report. Global Strategy for the Di-agnosis, Management, and Prevention of Chronic Obstructive Lung Disease 2017 Report. GOLD Executive Summary. Am J Respir Crit Care Med. 2017;195(5).","Global Strategy for the Diagnosis, Management, and Prevention of Chronic Obstructive Lung Disease 2017 Report. Global Strategy for the Di-agnosis, Management, and Prevention of Chronic Obstructive Lung Disease 2017 Report. GOLD Executive Summary",Am J Respir Crit Care Med,2017,195,5,,,,Vogelmeier CF; Criner GJ; Martinez FJ; Anzueto A; Barnes PJ; Bourbeau J
3,"Kim V, Criner GJ. Chronic bronchitis and chronic obstructive pulmonary disease. Am J Respir Crit Care Med. 2013;187(3). doi:10.1159/000496122.",Chronic bronchitis and chronic obstructive pulmonary disease,Am J Respir Crit Care Med,2013,187,3,,10.1159/000496122,,Kim V; Criner GJ
4,"Hogg JC, Paré PD, Hackett TL. The Contribution of Small Airway Obstruction to the Pathogenesis of Chronic Obstructive Pulmonary Disease. Physiol Rev. 2017;97(2).",The Contribution of Small Airway Obstruction to the Pathogenesis of Chronic Obstructive Pulmonary Disease,Physiol Rev,2017,97,2,,,,Hogg JC; Paré PD; Hackett TL
5,"Marchetti N, Criner GJ. Surgical Approaches to Treating Emphysema: Lung Volume Reduction Surgery, Bullectomy, and Lung Transplantation. Semin Respir Crit Care Med. 2015;36(4).","Surgical Approaches to Treating Emphysema: Lung Volume Reduction Surgery, Bullectomy, and Lung Transplantation",Semin Respir Crit Care Med,2015,36,4,,,,Marchetti N; Criner GJ
6,"Halbert RJ, Natoli JL, Gano A, Badamgarav E, Buist AS, Mannino DM. Global burden of COPD: systematic review and meta-analysis. Eur Respir J. 2006;28(3).",Global burden of COPD: systematic review and meta-analysis,Eur Respir J,2006,28,3,,,,Halbert RJ; Natoli JL; Gano A; Badamgarav E; Buist AS; Mannino DM
7,"Herth FJ, Slebos DJ, Rabe KF, Shah PL. Endoscopic Lung Volume Reduction: An Expert Panel Recommendation. Respiration. 2016;91(3).",Endoscopic Lung Volume Reduction: An Expert Panel Recommendation,Respiration,2016,91,3,,,,Herth FJ; Slebos DJ; Rabe KF; Shah PL
8,"Herth FJ, Slebos DJ, Criner GJ, Shah PL. Endoscopic Lung Volume Reduction: An Expert Panel Recommendation -Update 2017. Respiration. 2017;94(4).",Endoscopic Lung Volume Reduction: An Expert Panel Recommendation -Update 2017,Respiration,2017,94,4,,,,Herth FJ; Slebos DJ; Criner GJ; Shah PL
9, 9 The Global Strategy for Diagnosis. Management and Prevention of COPD. 9 The Global Strategy for Diagnosis. Management and Prevention of COPD. 2019;None.,9 The Global Strategy for Diagnosis. Management and Prevention of COPD,9 The Global Strategy for Diagnosis. Management and Prevention of COPD,2019,,,,,,
10,Excellence NI. Endobronchial valve insertion to reduce lung volume in emphysema. Endobronchial valve insertion to reduce lung volume in emphysema. 2017;None.,Endobronchial valve insertion to reduce lung volume in emphysema,Endobronchial valve insertion to reduce lung volume in emphysema,2017,,,,,,Excellence NI
11,"Van Geffen WH, Herth FJ, Kemp SV, Weder W, Shah PL. Surgical and endoscopic interventions that reduce lung volume for emphysema: a systemic review and meta-analysis. Lancet Respir Med. Forthcoming. 2018;None.",Surgical and endoscopic interventions that reduce lung volume for emphysema: a systemic review and meta-analysis,Lancet Respir Med. Forthcoming,2018,,,,,,Van Geffen WH; Herth FJ; Kemp SV; Weder W; Shah PL
