file,issues,error
out/batch_processed/3D printing for airway disease.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING,AUTHORS_EMPTY",
out/batch_processed/A Multicenter RCT of Zephyr Endobronchial Valv.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/batch_processed/A Prospective Multicenter Trial of a Self-expanding Hybrid.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/batch_processed/A Randomized Trial of 1% vs 2% Lignocaine by the Spray-as-You-Go Technique.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/batch_processed/A Systematic Review and Meta-Analysis Comparin.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/batch_processed/A predictive model for respiratorye events after rigid..json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/batch_processed/A prospective CT of EBUS compared with mediastinoscopy for staging of lung cancer.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/batch_processed/A prospective analysis of high-dose-rate endob.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
"out/batch_processed/A prospective, randomized trial for the comparison of 19-g and 22-g EBUS.json","META_DOI_MISSING,META_JOURNAL_MISSING",
out/batch_processed/A randomized study of endobronchial valves for.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/batch_processed/AMPLE2.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/batch_processed/ASAP trial.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/batch_processed/Acquisition and Handling of Endobronchial Ultrasound Transbronchial Needle Samples..json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/batch_processed/Adequacy of small biopsy and cytology for immune checkpoint inhibitor and targeted therapy.json,"META_DOI_MISSING,META_JOURNAL_MISSING,AUTHORS_EMPTY",
out/batch_processed/Advanced Diagnostic and Therapeutic Bronchoscopy .json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
