file,status,changes
out/batch_processed/3D printing for airway disease.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2019-02-13"", ""new"": 2019}}"
out/batch_processed/A Multicenter RCT of Zephyr Endobronchial Valv.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-05-22"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Nicholas Pastis"", ""Study Group""], ""new"": [""Nicholas Pastis"", ""Study Group""]}}"
out/batch_processed/A Prospective Multicenter Trial of a Self-expanding Hybrid.json,dry-run,"{""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Thomas R. Gildea"", ""Gordon Downie"", ""Georgie Eapen"", ""Felix Herth"", ""Michael Jantz"", ""Lutz Freitag""], ""new"": [""Thomas R. Gildea"", ""Gordon Downie"", ""Georgie Eapen"", ""Felix Herth"", ""Michael Jantz"", ""Lutz Freitag""]}}"
out/batch_processed/A Randomized Trial of 1% vs 2% Lignocaine by the Spray-as-You-Go Technique.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2015-03-26"", ""new"": 2015}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Harpreet Kaur"", ""Sahajal Dhooria"", ""Ashutosh N. Aggarwal"", ""Dheeraj Gupta"", ""Digambar Behera"", ""Ritesh Agarwal""], ""new"": [""Harpreet Kaur"", ""Sahajal Dhooria"", ""Ashutosh N. Aggarwal"", ""Dheeraj Gupta"", ""Digambar Behera"", ""Ritesh Agarwal""]}}"
out/batch_processed/A Systematic Review and Meta-Analysis Comparin.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-05"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Huan Chang"", ""No Kang"", ""Yi Chiu"", ""Han Chiu""], ""new"": [""Huan Chang"", ""No Kang"", ""Yi Chiu"", ""Han Chiu""]}}"
out/batch_processed/A predictive model for respiratorye events after rigid..json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2023-08-25"", ""new"": 2023}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Predictive Model"", ""Major Postoperative"", ""Respiratory Adverse"", ""Pediatric Patients"", ""Undergoing Rigid"", ""Foreign Body""], ""new"": [""Predictive Model"", ""Major Postoperative"", ""Respiratory Adverse"", ""Pediatric Patients"", ""Undergoing Rigid"", ""Foreign Body""]}}"
out/batch_processed/A prospective CT of EBUS compared with mediastinoscopy for staging of lung cancer.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2011-12"", ""new"": 2011}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Kazuhiro Yasufuku"", ""Andrew Pierre"", ""Gail Darling"", ""Thomas Waddell"", ""Michael Johnston"", ""Cunha Santos"", ""William Geddie"", ""Scott Boerner"", ""Lisa W. Le"", ""Shaf Keshavjee""], ""new"": [""Kazuhiro Yasufuku"", ""Andrew Pierre"", ""Gail Darling"", ""Thomas Waddell"", ""Michael Johnston"", ""Cunha Santos"", ""William Geddie"", ""Scott Boerner"", ""Lisa W. Le"", ""Shaf Keshavjee""]}}"
out/batch_processed/A prospective analysis of high-dose-rate endob.json,dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2015-09"", ""new"": 2015}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Mira Goldberg"", ""Emilia Timotin"", ""Tom Farrell"", ""Serge Puksa"", ""Bernard Donde"", ""Ranjan Sur""], ""new"": [""Mira Goldberg"", ""Emilia Timotin"", ""Tom Farrell"", ""Serge Puksa"", ""Bernard Donde"", ""Ranjan Sur""]}}"
"out/batch_processed/A prospective, randomized trial for the comparison of 19-g and 22-g EBUS.json",dry-run,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2019-05"", ""new"": 2019}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Blood Content"", ""Celina Wolters"", ""Kaid Darwiche"", ""Daniel Franzen"", ""Thomas Hager"", ""Peter J. Kneuertz"", ""Kai He"", ""Michael Koenig"", ""Lutz Freitag"", ""Lai Wei"", ""Stephan Eisenmann"", ""Christian Taube"", ""Gerhard Weinreich""], ""new"": [""Blood Content"", ""Celina Wolters"", ""Kaid Darwiche"", ""Daniel Franzen"", ""Thomas Hager"", ""Peter J. Kneuertz"", ""Kai He"", ""Michael Koenig"", ""Lutz Freitag"", ""Lai Wei"", ""Stephan Eisenmann"", ""Christian Taube"", ""Gerhard Weinreich""]}}"
out/batch_processed/A randomized study of endobronchial valves for.json,dry-run,"{""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Frank C. Sciurba"", ""Armin Ernst"", ""Charlie Strange"", ""Gerard J. Criner"", ""Charles H. Marquette"", ""Kevin L. Kovitz"", ""Richard P. Chiacchierini"", ""Jonathan Goldin""], ""new"": [""Frank C. Sciurba"", ""Armin Ernst"", ""Charlie Strange"", ""Gerard J. Criner"", ""Charles H. Marquette"", ""Kevin L. Kovitz"", ""Richard P. Chiacchierini"", ""Jonathan Goldin""]}}"
