file,status,changes
out/hardened/3D printing for airway disease.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2019-02-13"", ""new"": 2019}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Abdul Hamid Alraiyes"", ""Sameer K. Avasarala"", ""Michael S. Machuzak"", ""Thomas R. Gildea""], ""new"": [""Abdul Hamid Alraiyes"", ""Sameer K. Avasarala"", ""Michael S. Machuzak"", ""Thomas R. Gildea""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""AME Medical Journal""}}"
out/hardened/A Multicenter RCT of Zephyr Endobronchial Valv.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-05-22"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Gerard J. Criner"", ""Richard Sue"", ""Shawn Wright"", ""Mark Dransfield"", ""Hiram Rivas-Perez"", ""Tanya Wiese"", ""Frank C. Sciurba"", ""Pallav L. Shah"", ""Momen M. Wahidi"", ""Hugo Goulart De Oliveira"", ""Brian Morrissey"", ""Paulo F. G. Cardoso"", ""Steven Hays"", ""Adnan Majid"", ""Nicholas Pastis"", ""Lisa Kopas"", ""Mark Vollenweider"", ""P. Michael McFadden"", ""Michael Machuzak"", ""David W. Hsia"", ""Arthur Sung"", ""Nabil Jarad"", ""Malgorzata Kornaszewska"", ""Stephen Hazelrigg"", ""Ganesh Krishna"", ""Brian Armstrong"", ""Narinder S. Shargill"", ""Dirk-Jan Slebos"", ""Gerard J. Criner"", ""Francis Cordova"", ""Parag Desai"", ""Nathaniel Marchetti"", ""Victor Kim"", ""Kartik Shenoy"", ""John Travaline"", ""Jiji Thomas"", ""Lii-Yoong H. Criner"", ""Richard Sue"", ""Shawn Wright"", ""Aaron Thornburg"", ""Terry Thomas"", ""Mark Dransfield"", ""Surya Bhatt"", ""James Michael Wells"", ""Necole Seabron-Harris"", ""Hiram Rivas-Perez"", ""Umair Gauhar"", ""Tanya Wiese"", ""Crissie Despirito"", ""Frank Sciurba"", ""Jessica Bon Field"", ""Divay Chandra"", ""Joseph Leader"", ""Roy Semaan"", ""Christina Ledezma"", ""Pallav Shah"", ""Samuel Kemp"", ""Justin Garner"", ""Arafa Aboelhassan"", ""Karthi Srikanthan"", ""Eric Tenda"", ""Anita Abraham"", ""Cai Sim"", ""Momen Wahidi"", ""Kamran Mahmood"", ""Scott Shofer"", ""Kathleen Coles"", ""Hugo Goulart De Oliveira"", ""Guilherme Augusto Oliveira"", ""Betina Machado"", ""Igor Benedetto"", ""Fabio Svartman"", ""Amarilio De Macedo Neto"", ""Leonardo Schreiner"", ""Taiane Vieira"", ""Brian Morrissey"", ""Ken Yoneda"", ""Tina Tham"", ""Daniel Tompkins"", ""Paulo F. Guerreiro Cardoso"", ""Rodrigo Athanazio"", ""Felipe Nominando"", ""Samia Rached"", ""Luciana Cassimiro"", ""Steven Hays"", ""Eric Seeley"", ""Pavan Shrestha"", ""Gabriela R. Dincheva"", ""Adnan Majid"", ""Daniel Alape-Moya"", ""Mihir Parikh"", ""Alichia Paton"", ""Alexis Agnew"", ""Nicholas Pastis"", ""Charlie Strange"", ""Tatsiana Beiko"", ""Danielle Woodford"", ""Mary Blanton"", ""Lisa Kopas"", ""Timothy Connolly"", ""Jose Fernando Santacruz"", ""Bhavin Shah"", ""Mark Vollenweider"", ""Luis Herrera"", ""Rumi Khan"", ""Kristine Sernulka"", ""P. Michael McFadden"", ""Richard Barbers"", ""Michelle Hernandez"", ""Michael Machuzak"", ""Francisco Almeida"", ""Joseph Cicenia"", ""Thomas Gildea"", ""Atul Mehta"", ""Sonali Sethi"", ""Yvonne Meli"", ""David Hsia"", ""Richard Casaburi"", ""William Stringer"", ""Leticia Diaz"", ""Arthur Sung"", ""Meghan Ramsey"", ""Ryan Van Wert"", ""Karen Morris"", ""Nabil Jarad"", ""Tim Batchelor"", ""Iara Sequeiros"", ""Katy Tucker"", ""Malgorzata Kornaszweska"", ""Hazem Fallouh"", ""Ramsey Sabit"", ""Hatam Naase"", ""Joseph George"", ""Azin Salimian"", ""Helen Dyer"", ""Stephen Hazelrigg"", ""Kristal Adams"", ""Karen Bade"", ""Ganesh Krishna"", ""Bryan S. Benn"", ""Michelle Canfield"", ""Sharmila Vetri Villalan"", ""Travis Stewart"", ""Dirk-Jan Slebos"", ""Nick H. T. Ten Hacken"", ""Karin Klooster"", ""Jorine Hartman"", ""Sonja Augustijn""], ""new"": [""Gerard J. Criner"", ""Richard Sue"", ""Shawn Wright"", ""Mark Dransfield"", ""Hiram Rivas-Perez"", ""Tanya Wiese"", ""Frank C. Sciurba"", ""Pallav L. Shah"", ""Momen M. Wahidi"", ""Hugo Goulart De Oliveira"", ""Brian Morrissey"", ""Paulo F. G. Cardoso"", ""Steven Hays"", ""Adnan Majid"", ""Nicholas Pastis"", ""Lisa Kopas"", ""Mark Vollenweider"", ""P. Michael McFadden"", ""Michael Machuzak"", ""David W. Hsia"", ""Arthur Sung"", ""Nabil Jarad"", ""Malgorzata Kornaszewska"", ""Stephen Hazelrigg"", ""Ganesh Krishna"", ""Brian Armstrong"", ""Narinder S. Shargill"", ""Dirk-Jan Slebos"", ""Francis Cordova"", ""Parag Desai"", ""Nathaniel Marchetti"", ""Victor Kim"", ""Kartik Shenoy"", ""John Travaline"", ""Jiji Thomas"", ""Lii-Yoong H. Criner"", ""Aaron Thornburg"", ""Terry Thomas"", ""Surya Bhatt"", ""James Michael Wells"", ""Necole Seabron-Harris"", ""Umair Gauhar"", ""Crissie Despirito"", ""Frank Sciurba"", ""Jessica Bon Field"", ""Divay Chandra"", ""Joseph Leader"", ""Roy Semaan"", ""Christina Ledezma"", ""Pallav Shah"", ""Samuel Kemp"", ""Justin Garner"", ""Arafa Aboelhassan"", ""Karthi Srikanthan"", ""Eric Tenda"", ""Anita Abraham"", ""Cai Sim"", ""Momen Wahidi"", ""Kamran Mahmood"", ""Scott Shofer"", ""Kathleen Coles"", ""Guilherme Augusto Oliveira"", ""Betina Machado"", ""Igor Benedetto"", ""Fabio Svartman"", ""Amarilio De Macedo Neto"", ""Leonardo Schreiner"", ""Taiane Vieira"", ""Ken Yoneda"", ""Tina Tham"", ""Daniel Tompkins"", ""Paulo F. Guerreiro Cardoso"", ""Rodrigo Athanazio"", ""Felipe Nominando"", ""Samia Rached"", ""Luciana Cassimiro"", ""Eric Seeley"", ""Pavan Shrestha"", ""Gabriela R. Dincheva"", ""Daniel Alape-Moya"", ""Mihir Parikh"", ""Alichia Paton"", ""Alexis Agnew"", ""Charlie Strange"", ""Tatsiana Beiko"", ""Danielle Woodford"", ""Mary Blanton"", ""Timothy Connolly"", ""Jose Fernando Santacruz"", ""Bhavin Shah"", ""Luis Herrera"", ""Rumi Khan"", ""Kristine Sernulka"", ""Richard Barbers"", ""Michelle Hernandez"", ""Francisco Almeida"", ""Joseph Cicenia"", ""Thomas Gildea"", ""Atul Mehta"", ""Sonali Sethi"", ""Yvonne Meli"", ""David Hsia"", ""Richard Casaburi"", ""William Stringer"", ""Leticia Diaz"", ""Meghan Ramsey"", ""Ryan Van Wert"", ""Karen Morris"", ""Tim Batchelor"", ""Iara Sequeiros"", ""Katy Tucker"", ""Malgorzata Kornaszweska"", ""Hazem Fallouh"", ""Ramsey Sabit"", ""Hatam Naase"", ""Joseph George"", ""Azin Salimian"", ""Helen Dyer"", ""Kristal Adams"", ""Karen Bade"", ""Bryan S. Benn"", ""Michelle Canfield"", ""Sharmila Vetri Villalan"", ""Travis Stewart"", ""Nick H. T. Ten Hacken"", ""Karin Klooster"", ""Jorine Hartman"", ""Sonja Augustijn""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""American Journal of Respiratory and Critical Care Medicine""}}"
out/hardened/A Prospective Multicenter Trial of a Self-expanding Hybrid.json,changed,"{""year"": {""action"": ""from_year_norm"", ""old"": null, ""new"": 2008}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Thomas R Gildea"", ""Gordon Downie"", ""Michael Jantz"", ""Lutz Freitag""], ""new"": [""Thomas R Gildea"", ""Gordon Downie"", ""Michael Jantz"", ""Lutz Freitag""]}}"
out/hardened/A Randomized Trial of 1% vs 2% Lignocaine by the Spray-as-You-Go Technique.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2015-03-26"", ""new"": 2015}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Harpreet Kaur"", ""Sahajal Dhooria"", ""Ashutosh N. Aggarwal"", ""Dheeraj Gupta"", ""Digambar Behera"", ""Ritesh Agarwal""], ""new"": [""Harpreet Kaur"", ""Sahajal Dhooria"", ""Ashutosh N. Aggarwal"", ""Dheeraj Gupta"", ""Digambar Behera"", ""Ritesh Agarwal""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""CHEST""}}"
out/hardened/A Systematic Review and Meta-Analysis Comparin.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2018-05"", ""new"": 2018}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Su-Huan Chang"", ""Yi-No Kang"", ""Hsin-Yi Chiu"", ""Yu-Han Chiu""], ""new"": [""Su-Huan Chang"", ""Yi-No Kang"", ""Hsin-Yi Chiu"", ""Yu-Han Chiu""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Chest""}}"
out/hardened/A predictive model for respiratorye events after rigid..json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2023-08-25"", ""new"": 2023}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Xiuwen Yi"", ""Wenwen Ni"", ""Yuan Han"", ""Wenxian Li""], ""new"": [""Xiuwen Yi"", ""Wenwen Ni"", ""Yuan Han"", ""Wenxian Li""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Journal of Clinical Medicine""}}"
out/hardened/A prospective CT of EBUS compared with mediastinoscopy for staging of lung cancer.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2011-12"", ""new"": 2011}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Kazuhiro Yasufuku"", ""Andrew Pierre"", ""Gail Darling"", ""Marc De Perrot"", ""Thomas Waddell"", ""Michael Johnston"", ""Gilda Da Cunha Santos"", ""William Geddie"", ""Scott Boerner"", ""Lisa W. Le"", ""Shaf Keshavjee""], ""new"": [""Kazuhiro Yasufuku"", ""Andrew Pierre"", ""Gail Darling"", ""Marc De Perrot"", ""Thomas Waddell"", ""Michael Johnston"", ""Gilda Da Cunha Santos"", ""William Geddie"", ""Scott Boerner"", ""Lisa W. Le"", ""Shaf Keshavjee""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""The Journal of Thoracic and Cardiovascular Surgery""}}"
out/hardened/A prospective analysis of high-dose-rate endob.json,changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2015-09"", ""new"": 2015}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Mira Goldberg"", ""Emilia Timotin"", ""Tom Farrell"", ""Serge Puksa"", ""Bernard Donde"", ""Ranjan Sur""], ""new"": [""Mira Goldberg"", ""Emilia Timotin"", ""Tom Farrell"", ""Serge Puksa"", ""Bernard Donde"", ""Ranjan Sur""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Brachytherapy""}}"
"out/hardened/A prospective, randomized trial for the comparison of 19-g and 22-g EBUS.json",changed,"{""year"": {""action"": ""normalize:iso"", ""old"": ""2019-05"", ""new"": 2019}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Celina Wolters"", ""Kaid Darwiche"", ""Daniel Franzen"", ""Thomas Hager"", ""Beata Bode-Lesnievska"", ""Peter J. Kneuertz"", ""Kai He"", ""Michael Koenig"", ""Lutz Freitag"", ""Lai Wei"", ""Stephan Eisenmann"", ""Christian Taube"", ""Gerhard Weinreich"", ""Filiz Oezkan""], ""new"": [""Celina Wolters"", ""Kaid Darwiche"", ""Daniel Franzen"", ""Thomas Hager"", ""Beata Bode-Lesnievska"", ""Peter J. Kneuertz"", ""Kai He"", ""Michael Koenig"", ""Lutz Freitag"", ""Lai Wei"", ""Stephan Eisenmann"", ""Christian Taube"", ""Gerhard Weinreich"", ""Filiz Oezkan""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""Clinical Lung Cancer""}}"
out/hardened/A randomized study of endobronchial valves for.json,changed,"{""year"": {""action"": ""from_year_norm"", ""old"": null, ""new"": 2010}, ""authors"": {""action"": ""filtered_ack_like"", ""old"": [""Frank C. Sciurba"", ""Armin Ernst"", ""Felix J.F. Herth"", ""Charlie Strange"", ""Gerard J. Criner"", ""Charles H. Marquette"", ""Kevin L. Kovitz"", ""Richard P. Chiacchierini"", ""Jonathan Goldin"", ""Geoffrey McLennan""], ""new"": [""Frank C. Sciurba"", ""Armin Ernst"", ""Felix J.F. Herth"", ""Charlie Strange"", ""Gerard J. Criner"", ""Charles H. Marquette"", ""Kevin L. Kovitz"", ""Richard P. Chiacchierini"", ""Jonathan Goldin"", ""Geoffrey McLennan""]}, ""journal_full"": {""action"": ""canonicalize"", ""old"": null, ""new"": ""New England Journal of Medicine""}}"
