file,issues,error
out/hardened/3D printing for airway disease.json,,
out/hardened/A Multicenter RCT of Zephyr Endobronchial Valv.json,,
out/hardened/A Prospective Multicenter Trial of a Self-expanding Hybrid.json,,
out/hardened/A Randomized Trial of 1% vs 2% Lignocaine by the Spray-as-You-Go Technique.json,,
out/hardened/A Systematic Review and Meta-Analysis Comparin.json,,
out/hardened/A predictive model for respiratorye events after rigid..json,,
out/hardened/A prospective CT of EBUS compared with mediastinoscopy for staging of lung cancer.json,,
out/hardened/A prospective analysis of high-dose-rate endob.json,,
"out/hardened/A prospective, randomized trial for the comparison of 19-g and 22-g EBUS.json",,
out/hardened/A randomized study of endobronchial valves for.json,,
out/hardened/AMPLE2.json,,
out/hardened/ASAP trial.json,,
out/hardened/Acquisition and Handling of Endobronchial Ultrasound Transbronchial Needle Samples..json,ABSTRACT_MISSING,
out/hardened/Adequacy of small biopsy and cytology for immune checkpoint inhibitor and targeted therapy.json,,
out/hardened/Advanced Diagnostic and Therapeutic Bronchoscopy .json,ABSTRACT_MISSING,
out/hardened/Advanced diagnostic and therapeutic bronchoscopy technology and reimbursement.json,ABSTRACT_MISSING,
out/hardened/Advanced in Treatment of PPNs.json,,
out/hardened/Advances in IP.json,ABSTRACT_MISSING,
out/hardened/Advances in Interventional Pulmonology 2018.json,ABSTRACT_MISSING,
out/hardened/Advances in pleuroscopy.json,,
out/hardened/Advantages of US in percutaneous dilatational.json,ABSTRACT_MISSING,
out/hardened/Aggressive versus symptom-guided drainage of m.json,,
out/hardened/Airway spray cryotherapy initial outcomes from.json,ABSTRACT_MISSING,
out/hardened/Airway stabilization with silicone stents for.json,,
out/hardened/Airway stents.json,ABSTRACT_MISSING,
out/hardened/Aldaghlawi-2020-A Systematic Review of Digital.json,,
out/hardened/Alsunaid-2021-Wound care management_ tracheost.json,,
out/hardened/Ambulatory management of primary spontaneous p.json,,
out/hardened/American Brachytherapy Society consensus guide.json,,
out/hardened/An updated review in percutaneous tracheostomy.json,,
out/hardened/Andriolo-2015-Early versus late tracheostomy f.json,,
out/hardened/Anesthesia and Upper and Lower Airway.json,ABSTRACT_MISSING,
out/hardened/Anesthesia for bronchoscopy and update 2024.json,,
out/hardened/Anesthetic considerations for bronchoscopic procedures.json,,
out/hardened/Angel-2020-Novel Percutaneous Tracheostomy for.json,ABSTRACT_MISSING,
out/hardened/Approach to hemoptysis in the modern era.json,,
out/hardened/Arnold-2018-Investigating unilateral pleural e.json,,
"out/hardened/Audit of the autoantibody test, EarlyCDT.json",,
out/hardened/Awab-2017-Whole lung lavage-technical details.json,,
out/hardened/BLVR comprehensive 2025.json,,
out/hardened/BLVR with endobronchial valves for patients wi.json,,
out/hardened/BTS guideline for diagnostic flexible bronchoscopy in adults.json,ABSTRACT_MISSING,
out/hardened/BTS pleural guidelines2.json,ABSTRACT_MISSING,
"out/hardened/Basic Bronchoscopy Technology, Techniques, and Professional Fees.json",ABSTRACT_MISSING,
out/hardened/Basic and advanced pleural procedures coding and professional fees update for pulmonologists.json,ABSTRACT_MISSING,
out/hardened/Bhatnagar-2018-Outpatient Talc Administration.json,,
out/hardened/Bhatnagar-2020-Effect of Thoracoscopic Talc Po.json,,
out/hardened/Bhora-2016-Treatment of Benign Tracheal Stenos.json,,
out/hardened/Bibby-2018-ERS_EACTS statement on the manageme.json,,
out/hardened/Bintcliffe-2016-The management of benign non-i.json,,
out/hardened/Biopsy of peripheral lung nodules utilizing cone beam w wo TB access tool.json,,
out/hardened/Brass-2016-Percutaneous techniques versus surg.json,,
out/hardened/Breathlessness Predicts Survival in Patients W.json,ABSTRACT_MISSING,
out/hardened/Bronchial Thermoplasty in Patients With Severe.json,ABSTRACT_MISSING,
out/hardened/Bronchoscope-Guided Percutaneous Endoscopic Ga.json,,
out/hardened/Bronchoscopes of the Twenty-First Century.json,ABSTRACT_MISSING,
out/hardened/Bronchoscopic Techniques Used in the Diagnosis and Staging of Lung Cancer.json,,
out/hardened/Bronchoscopic lung volume reduction with endob.json,,
out/hardened/Bronchoscopic transparenchymal nodule access (BTPNA).json,,
out/hardened/Bronchoscopy Education An Experiential Learning Theory Perspective.json,,
out/hardened/CHEST CAO.json,,
out/hardened/COLDICE study.json,,
out/hardened/Central Airway Obstruction Benign Strictures.json,ABSTRACT_MISSING,
out/hardened/Chan-2021-Transbronchial microwave ablation of.json,,
out/hardened/Chemical pleurodesis.json,,
out/hardened/Chen-2018-Photodynamic therapeutic ablation fo.json,,
out/hardened/Cheng-2016-Three-dimensional Printing and 3D S.json,ABSTRACT_MISSING,
out/hardened/Chhatre-2021-Survival Outcomes with Photodynam.json,,
out/hardened/Clinical Success Stenting Distal Bronchi.json,,
out/hardened/Clinical Utility of a Bronchial Genomic Classi.json,,
out/hardened/Clinical and quality of life outcomes vs. exte.json,,
out/hardened/Clinical trial of photodynamic therapy for per.json,,
"out/hardened/Combined EBUS  EUS for the diagnosis and staging of lung cancer ESGE, ERS, ESTS Guideline.json",ABSTRACT_MISSING,
out/hardened/Combined Nd-YAG laser HDR brachytherapy versus.json,,
out/hardened/Community hospital experience using ENB integrating tidal volume computed tomography mapping.json,ABSTRACT_MISSING,
out/hardened/Comparing the Diagnostic Performance of Lung Ultrasonography and Chest Radiography for Detecting Pneumothorax.json,,
out/hardened/Comparision of valves.json,,
out/hardened/Comparison of HFNC  and Conventional O2 during bronc.json,,
out/hardened/Competency-based medical education in interventional pulmonology_ current state and future opportunities.json,,
out/hardened/Complete unilateral vs partial bilateral BLVR.json,,
out/hardened/Complications Following Therapeutic B.json,,
out/hardened/Complications and discomfort of bronchoscopy a systematic review.json,,
out/hardened/Complications of cricothyroidotomy versus tracheostomy.json,,
"out/hardened/Complications, and practice patterns of EBUS  AQuIRE registry.json",,
out/hardened/Comprehensive Review of Chest Tube Management_A Review.json,ABSTRACT_MISSING,
out/hardened/Concurrent Intrapleural Instillation of Tissue.json,,
out/hardened/Cone beam CT imaging for bronchoscopy a technical review.json,,
out/hardened/Cone-beam computed tomography-guided electromagnetic navigation for peripheral lung nodules.json,,
out/hardened/Cone-beam computed tomography-guided shape-sensing robot.json,,
out/hardened/Conservative versus Interventional Treatment f.json,,
out/hardened/Conservative versus Interventional Treatment for spont PTX.json,,
out/hardened/Coping with airway emergencies_.json,,
out/hardened/Covid-19 impact on interventional pulmonology training.json,,
out/hardened/Criner-2019-Improving Lung Function in Severe.json,,
out/hardened/Cryosurgery for malignant endobronchial tumors.json,ABSTRACT_MISSING,
out/hardened/Current practice in management of exudative pleural effusions AABIP survey.json,,
out/hardened/Cyrany-2016-Buried bumper syndrome_ A complica.json,,
out/hardened/DY and Synergy of Needle and Forceps w ENB.json,ABSTRACT_MISSING,
out/hardened/Database to Inform Revisions.json,,
out/hardened/Davies-2012-Effect of an indwelling pleural ca.json,ABSTRACT_MISSING,
out/hardened/Deslee-2014-Lung volume reduction coil treatme.json,,
out/hardened/Developing an IP Service in a Community Practice.json,ABSTRACT_MISSING,
out/hardened/Development of a Tool to Assess Basic Competen.json,,
out/hardened/Dexmedetomidine-fentanyl versus propofol-fentanyl.json,,
out/hardened/Diagnostic Yield and Bleeding Complications.json,,
out/hardened/Diagnostic accuracy of transbronchial lung cry.json,,
out/hardened/Diagnostic flexible bronchoscopy and accessory techniques.json,,
out/hardened/Diagnostic value of EBUS elastography for the differentiation.json,,
out/hardened/Diagnostic yield and safety of navigation bronchoscopy.json,,
out/hardened/Differentiating malignant and benign nodes with elastography.json,,
out/hardened/Documentation Tips for Pulmonary.json,ABSTRACT_MISSING,
out/hardened/Dransfield-2020-Effect of Zephyr Endobronchial.json,,
out/hardened/Dresler-2005-Phase III intergroup study of tal.json,,
out/hardened/EBUS  vs conventional TBNA  in the diagnosis of sarcoidosis.json,,
out/hardened/EBUS for the Diagnosis and Subtyping of Lymphoma.json,,
out/hardened/EBUS-TBNA and EUS-FNA Risk Assessment for Clopidogrel.json,,
"out/hardened/ENB for PPNs One-Year Results of the Prospective, Multicenter NAVIGATE Study.json",,
out/hardened/ENB-directed dye marking for locating pulmonary nodules.json,,
out/hardened/ERSATS statement on IP.json,ABSTRACT_MISSING,
out/hardened/Eberhardt-2021-Endobronchial Valve (Zephyr) Tr.json,,
out/hardened/Effectiveness of Elastography.json,,
out/hardened/Efficacy and Safety of Airway Stent in TEF.json,,
out/hardened/Efficacy and safety of cone-beam computed tomography-guided bronchoscopy.json,,
out/hardened/Efficacy ofWhole-LungLavageinPulmonaryAlveolar.json,,
out/hardened/Electromagnetic navigation bronchoscopy a comprehensive review.json,,
out/hardened/Electromagnetic navigation bronchoscopy to access lung lesions in.json,,
out/hardened/Endobronchial Valves for Emphysema without Int.json,,
out/hardened/Endobronchial epinephrine confusion is in the air.json,ABSTRACT_MISSING,
out/hardened/Endobronchial tumor debulking with a flexible.json,,
out/hardened/Endosonography for mediastinal disease EUS vs EBUS.json,ABSTRACT_MISSING,
out/hardened/Equipment and procedural setup for IP.json,,
out/hardened/Eur Respir Rev-2020-DeMaio-200028.json,,
out/hardened/Evaluating the Patient With a Pulmonary Nodule_A Review.json,ABSTRACT_MISSING,
out/hardened/Evaluation of Safety and Short-term.json,,
out/hardened/Evaluation of a EBUS  forceps in enlarged mediastinal lymph nodes.json,,
out/hardened/Evaluation of individuals with pulmonary nodules when is it lung cancer.json,,
out/hardened/External irradiation versus external irradiati.json,,
out/hardened/Fiducial marker placement with ENB.json,,
out/hardened/Financial Justification for IP Programs.json,ABSTRACT_MISSING,
out/hardened/First Human Use of a New Robotic-Assisted Fiber Optic Sensing Navigation System for Small Peripheral Pulmonary Nodules.json,,
out/hardened/Flexible Bronchoscope Use by Pulmonologists.json,ABSTRACT_MISSING,
out/hardened/Flexible bronchoscopy.json,ABSTRACT_MISSING,
out/hardened/Forbearance With Bronchoscopy.json,,
out/hardened/Foreign body aspiration.json,,
out/hardened/Foreign body inhalation in the adult population.json,ABSTRACT_MISSING,
out/hardened/Garner-2020-A prospective safety and feasibili.json,,
out/hardened/Ghattas-2021-State of the art_ percutaneous tr.json,,
out/hardened/Gomes-2015-Percutaneous endoscopic gastrostomy.json,,
out/hardened/Grosu-2013-Stents are associated with increase.json,,
out/hardened/Grosu-2018-Sensitivity of Initial Thoracentesi.json,,
out/hardened/Grosu-2019-Secondary spontaneous pneumothorax.json,,
out/hardened/Hartman-2021-New bronchoscopic treatment modal.json,,
out/hardened/Havelock-2010-Pleural procedures and thoracic.json,ABSTRACT_MISSING,
out/hardened/Herth-2019-Endoscopic Lung Volume Reduction_ A.json,,
out/hardened/High-dose-rate endobronchial brachytherapy eff.json,,
