2025-08-31 19:08:14.602 | INFO     | __main__:main:173 - ============================================================
2025-08-31 19:08:14.603 | INFO     | __main__:main:174 - Starting batch PDF processing
2025-08-31 19:08:14.603 | INFO     | __main__:main:175 - ============================================================
2025-08-31 19:08:14.604 | INFO     | __main__:find_all_pdfs:41 - Found 414 PDF files in input
2025-08-31 19:08:14.604 | INFO     | __main__:main:189 - [1/414] Processing Safety and effectiveness of microdebrider bron.pdf
2025-08-31 19:08:14.604 | INFO     | __main__:process_single_pdf:52 - Processing Safety and effectiveness of microdebrider bron.pdf...
2025-08-31 19:09:11.660 | SUCCESS  | __main__:process_single_pdf:71 - ✓ Successfully processed Safety and effectiveness of microdebrider bron
2025-08-31 19:09:11.660 | INFO     | __main__:main:189 - [2/414] Processing Combined Nd-YAG laser HDR brachytherapy versus.pdf
2025-08-31 19:09:11.660 | INFO     | __main__:process_single_pdf:52 - Processing Combined Nd-YAG laser HDR brachytherapy versus.pdf...
2025-08-31 19:10:41.852 | SUCCESS  | __main__:process_single_pdf:71 - ✓ Successfully processed Combined Nd-YAG laser HDR brachytherapy versus
2025-08-31 19:10:41.852 | INFO     | __main__:main:189 - [3/414] Processing Cone beam CT imaging for bronchoscopy a technical review.pdf
2025-08-31 19:10:41.852 | INFO     | __main__:process_single_pdf:52 - Processing Cone beam CT imaging for bronchoscopy a technical review.pdf...
2025-08-31 19:12:25.801 | SUCCESS  | __main__:process_single_pdf:71 - ✓ Successfully processed Cone beam CT imaging for bronchoscopy a technical review
2025-08-31 19:12:25.801 | INFO     | __main__:main:189 - [4/414] Processing AMPLE2.pdf
2025-08-31 19:12:25.801 | INFO     | __main__:process_single_pdf:52 - Processing AMPLE2.pdf...
2025-08-31 19:14:02.329 | SUCCESS  | __main__:process_single_pdf:71 - ✓ Successfully processed AMPLE2
2025-08-31 19:14:02.329 | INFO     | __main__:main:189 - [5/414] Processing Rashid-2017-Percutaneous tracheostomy_ a compr.pdf
2025-08-31 19:14:02.329 | INFO     | __main__:process_single_pdf:52 - Processing Rashid-2017-Percutaneous tracheostomy_ a compr.pdf...
2025-08-31 19:19:52.699 | SUCCESS  | __main__:process_single_pdf:71 - ✓ Successfully processed Rashid-2017-Percutaneous tracheostomy_ a compr
2025-08-31 19:19:52.699 | INFO     | __main__:main:189 - [6/414] Processing fistula Youness-2018-Bronchoscopic advances in the man.pdf
2025-08-31 19:19:52.699 | INFO     | __main__:process_single_pdf:52 - Processing fistula Youness-2018-Bronchoscopic advances in the man.pdf...
2025-08-31 19:24:37.841 | SUCCESS  | __main__:process_single_pdf:71 - ✓ Successfully processed fistula Youness-2018-Bronchoscopic advances in the man
2025-08-31 19:24:37.842 | INFO     | __main__:main:189 - [7/414] Processing Diagnostic accuracy of transbronchial lung cry.pdf
2025-08-31 19:24:37.842 | INFO     | __main__:process_single_pdf:52 - Processing Diagnostic accuracy of transbronchial lung cry.pdf...
2025-08-31 19:25:52.195 | SUCCESS  | __main__:process_single_pdf:71 - ✓ Successfully processed Diagnostic accuracy of transbronchial lung cry
2025-08-31 19:25:52.196 | INFO     | __main__:main:189 - [8/414] Processing Central Airway Obstruction Benign Strictures.pdf
2025-08-31 19:25:52.196 | INFO     | __main__:process_single_pdf:52 - Processing Central Airway Obstruction Benign Strictures.pdf...
2025-08-31 19:28:40.964 | SUCCESS  | __main__:process_single_pdf:71 - ✓ Successfully processed Central Airway Obstruction Benign Strictures
2025-08-31 19:28:40.964 | INFO     | __main__:main:189 - [9/414] Processing Sanabria-2014-Which percutaneous tracheostomy.pdf
2025-08-31 19:28:40.965 | INFO     | __main__:process_single_pdf:52 - Processing Sanabria-2014-Which percutaneous tracheostomy.pdf...
2025-08-31 19:30:24.709 | SUCCESS  | __main__:process_single_pdf:71 - ✓ Successfully processed Sanabria-2014-Which percutaneous tracheostomy
2025-08-31 19:30:24.709 | INFO     | __main__:main:189 - [10/414] Processing The Proposed Ninth Edition TNM Classification of Lung Cancer.pdf
