file,issues,error
out/hardened/3D printing for airway disease.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING,AUTHORS_EMPTY",
out/hardened/A Multicenter RCT of Zephyr Endobronchial Valv.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/A Prospective Multicenter Trial of a Self-expanding Hybrid.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/A Randomized Trial of 1% vs 2% Lignocaine by the Spray-as-You-Go Technique.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/A Systematic Review and Meta-Analysis Comparin.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/A predictive model for respiratorye events after rigid..json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/A prospective CT of EBUS compared with mediastinoscopy for staging of lung cancer.json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/A prospective analysis of high-dose-rate endob.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
"out/hardened/A prospective, randomized trial for the comparison of 19-g and 22-g EBUS.json","META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/A randomized study of endobronchial valves for.json,"META_YEAR_MISSING,META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/AMPLE2.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/ASAP trial.json,"META_DOI_MISSING,META_JOURNAL_MISSING",
out/hardened/Acquisition and Handling of Endobronchial Ultrasound Transbronchial Needle Samples..json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
out/hardened/Adequacy of small biopsy and cytology for immune checkpoint inhibitor and targeted therapy.json,"META_DOI_MISSING,META_JOURNAL_MISSING,AUTHORS_EMPTY",
out/hardened/Advanced Diagnostic and Therapeutic Bronchoscopy .json,"META_DOI_MISSING,META_JOURNAL_MISSING,ABSTRACT_MISSING",
